measurement_id,kind,label,observed,threshold_or_expected,passes
sector_diag_00,sector_diagonal,X0Z0,0.93000000,0.90000000,True
sector_off_00_01,sector_off_diagonal,X0Z0->X1Z0,0.00875000,0.02000000,True
sector_off_00_02,sector_off_diagonal,X0Z0->X2Z0,0.00875000,0.02000000,True
sector_off_00_03,sector_off_diagonal,X0Z0->X0Z1,0.00875000,0.02000000,True
sector_off_00_04,sector_off_diagonal,X0Z0->X0Z2,0.00875000,0.02000000,True
sector_off_00_05,sector_off_diagonal,X0Z0->X1Z1,0.00875000,0.02000000,True
sector_off_00_06,sector_off_diagonal,X0Z0->X1Z2,0.00875000,0.02000000,True
sector_off_00_07,sector_off_diagonal,X0Z0->X2Z1,0.00875000,0.02000000,True
sector_off_00_08,sector_off_diagonal,X0Z0->X2Z2,0.00875000,0.02000000,True
sector_diag_01,sector_diagonal,X1Z0,0.93000000,0.90000000,True
sector_off_01_00,sector_off_diagonal,X1Z0->X0Z0,0.00875000,0.02000000,True
sector_off_01_02,sector_off_diagonal,X1Z0->X2Z0,0.00875000,0.02000000,True
sector_off_01_03,sector_off_diagonal,X1Z0->X0Z1,0.00875000,0.02000000,True
sector_off_01_04,sector_off_diagonal,X1Z0->X0Z2,0.00875000,0.02000000,True
sector_off_01_05,sector_off_diagonal,X1Z0->X1Z1,0.00875000,0.02000000,True
sector_off_01_06,sector_off_diagonal,X1Z0->X1Z2,0.00875000,0.02000000,True
sector_off_01_07,sector_off_diagonal,X1Z0->X2Z1,0.00875000,0.02000000,True
sector_off_01_08,sector_off_diagonal,X1Z0->X2Z2,0.00875000,0.02000000,True
sector_diag_02,sector_diagonal,X2Z0,0.93000000,0.90000000,True
sector_off_02_00,sector_off_diagonal,X2Z0->X0Z0,0.00875000,0.02000000,True
sector_off_02_01,sector_off_diagonal,X2Z0->X1Z0,0.00875000,0.02000000,True
sector_off_02_03,sector_off_diagonal,X2Z0->X0Z1,0.00875000,0.02000000,True
sector_off_02_04,sector_off_diagonal,X2Z0->X0Z2,0.00875000,0.02000000,True
sector_off_02_05,sector_off_diagonal,X2Z0->X1Z1,0.00875000,0.02000000,True
sector_off_02_06,sector_off_diagonal,X2Z0->X1Z2,0.00875000,0.02000000,True
sector_off_02_07,sector_off_diagonal,X2Z0->X2Z1,0.00875000,0.02000000,True
sector_off_02_08,sector_off_diagonal,X2Z0->X2Z2,0.00875000,0.02000000,True
sector_diag_03,sector_diagonal,X0Z1,0.93000000,0.90000000,True
sector_off_03_00,sector_off_diagonal,X0Z1->X0Z0,0.00875000,0.02000000,True
sector_off_03_01,sector_off_diagonal,X0Z1->X1Z0,0.00875000,0.02000000,True
sector_off_03_02,sector_off_diagonal,X0Z1->X2Z0,0.00875000,0.02000000,True
sector_off_03_04,sector_off_diagonal,X0Z1->X0Z2,0.00875000,0.02000000,True
sector_off_03_05,sector_off_diagonal,X0Z1->X1Z1,0.00875000,0.02000000,True
sector_off_03_06,sector_off_diagonal,X0Z1->X1Z2,0.00875000,0.02000000,True
sector_off_03_07,sector_off_diagonal,X0Z1->X2Z1,0.00875000,0.02000000,True
sector_off_03_08,sector_off_diagonal,X0Z1->X2Z2,0.00875000,0.02000000,True
sector_diag_04,sector_diagonal,X0Z2,0.93000000,0.90000000,True
sector_off_04_00,sector_off_diagonal,X0Z2->X0Z0,0.00875000,0.02000000,True
sector_off_04_01,sector_off_diagonal,X0Z2->X1Z0,0.00875000,0.02000000,True
sector_off_04_02,sector_off_diagonal,X0Z2->X2Z0,0.00875000,0.02000000,True
sector_off_04_03,sector_off_diagonal,X0Z2->X0Z1,0.00875000,0.02000000,True
sector_off_04_05,sector_off_diagonal,X0Z2->X1Z1,0.00875000,0.02000000,True
sector_off_04_06,sector_off_diagonal,X0Z2->X1Z2,0.00875000,0.02000000,True
sector_off_04_07,sector_off_diagonal,X0Z2->X2Z1,0.00875000,0.02000000,True
sector_off_04_08,sector_off_diagonal,X0Z2->X2Z2,0.00875000,0.02000000,True
sector_diag_05,sector_diagonal,X1Z1,0.93000000,0.90000000,True
sector_off_05_00,sector_off_diagonal,X1Z1->X0Z0,0.00875000,0.02000000,True
sector_off_05_01,sector_off_diagonal,X1Z1->X1Z0,0.00875000,0.02000000,True
sector_off_05_02,sector_off_diagonal,X1Z1->X2Z0,0.00875000,0.02000000,True
sector_off_05_03,sector_off_diagonal,X1Z1->X0Z1,0.00875000,0.02000000,True
sector_off_05_04,sector_off_diagonal,X1Z1->X0Z2,0.00875000,0.02000000,True
sector_off_05_06,sector_off_diagonal,X1Z1->X1Z2,0.00875000,0.02000000,True
