w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,missing_symbols
0,1,2,F35,C27,C06,9,012
0,1,3,F35,C27,C08,9,9ab
0,20,21,F35,C09,C25,9,345
0,34,36,F35,C15,C22,9,9ab
1,9,12,C27,C20,C05,9,9ab
1,18,21,C27,C11,C25,9,012
1,24,27,C27,C23,C12,9,9ab
2,7,11,C06,C24,C33,9,012
2,14,18,C06,C18,C11,9,012
2,15,16,C06,C34,C30,9,678
2,32,37,C06,C29,C37,9,012
2,33,34,C06,X36,C15,9,012
2,33,38,C06,X36,C01,9,678
3,14,16,C08,C18,C30,9,9ab
3,24,28,C08,C23,F36,9,9ab
3,26,28,C08,C21,F36,9,678
3,32,34,C08,C29,C15,9,9ab
3,33,35,C08,X36,C17,9,678
4,13,31,C07,C10,X35,9,012
4,14,32,C07,C18,C29,9,012
4,20,29,C07,C09,C16,9,345
4,21,30,C07,C25,C03,9,012
5,8,11,C14,C04,C33,9,345
5,15,22,C14,C34,C26,9,678
5,21,28,C14,C25,F36,9,345
5,23,33,C14,C32,X36,9,345
5,28,38,C14,F36,C01,9,678
6,8,10,C02,C04,C19,9,345
6,17,25,C02,C13,C28,9,345
6,22,33,C02,C26,X36,9,345
7,13,37,C24,C10,C37,9,012
8,18,28,C04,C11,F36,9,678
8,21,22,C04,C25,C26,9,345
8,22,35,C04,C26,C17,9,678
8,26,39,C04,C21,C31,9,678
9,13,27,C20,C10,C12,9,9ab
9,16,32,C20,C30,C29,9,9ab
9,29,31,C20,C16,X35,9,9ab
10,13,34,C19,C10,C15,9,012
12,16,24,C05,C30,C23,9,9ab
12,29,34,C05,C16,C15,9,9ab
13,24,32,C10,C23,C29,9,9ab
13,28,34,C10,F36,C15,9,9ab
13,29,36,C10,C16,C22,9,9ab
14,24,31,C18,C23,X35,9,9ab
15,28,35,C34,F36,C17,9,678
18,22,38,C11,C26,C01,9,678
20,25,33,C09,C28,X36,9,345
33,36,39,X36,C22,C31,9,678
0,10,11,F35,C19,C33,6,012345
0,28,29,F35,F36,C16,6,3459ab
10,21,33,C19,C25,X36,6,012345
16,28,31,C30,F36,X35,6,6789ab
