w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,missing_symbols
0,2,3,F35,C06,C08,12,
0,7,8,F35,C24,C04,12,
0,7,9,F35,C24,C20,12,
0,8,9,F35,C04,C20,12,
0,10,12,F35,C19,C05,12,
0,11,12,F35,C33,C05,12,
0,16,17,F35,C30,C13,12,
0,16,18,F35,C30,C11,12,
0,17,18,F35,C13,C11,12,
0,19,20,F35,C00,C09,12,
0,19,21,F35,C00,C25,12,
0,25,26,F35,C28,C21,12,
0,25,27,F35,C28,C12,12,
0,26,27,F35,C21,C12,12,
0,28,30,F35,F36,C03,12,
0,29,30,F35,C16,C03,12,
0,34,35,F35,C15,C17,12,
0,35,36,F35,C17,C22,12,
0,37,38,F35,C37,C01,12,
0,37,39,F35,C37,C31,12,
0,38,39,F35,C01,C31,12,
1,2,3,C27,C06,C08,12,
1,5,8,C27,C14,C04,12,
1,5,11,C27,C14,C33,12,
1,6,9,C27,C02,C20,12,
1,6,12,C27,C02,C05,12,
1,8,11,C27,C04,C33,12,
1,14,17,C27,C18,C13,12,
1,14,20,C27,C18,C09,12,
1,15,18,C27,C34,C11,12,
1,15,21,C27,C34,C25,12,
1,17,20,C27,C13,C09,12,
1,23,26,C27,C32,C21,12,
1,23,29,C27,C32,C16,12,
1,24,30,C27,C23,C03,12,
1,26,29,C27,C21,C16,12,
1,27,30,C27,C12,C03,12,
1,32,35,C27,C29,C17,12,
1,32,38,C27,C29,C01,12,
1,33,36,C27,X36,C22,12,
1,33,39,C27,X36,C31,12,
1,35,38,C27,C17,C01,12,
1,36,39,C27,C22,C31,12,
2,5,9,C06,C14,C20,12,
2,5,10,C06,C14,C19,12,
2,6,7,C06,C02,C24,12,
2,6,11,C06,C02,C33,12,
2,9,10,C06,C20,C19,12,
2,14,19,C06,C18,C00,12,
2,15,20,C06,C34,C09,12,
2,16,20,C06,C30,C09,12,
2,18,19,C06,C11,C00,12,
2,23,27,C06,C32,C12,12,
2,23,28,C06,C32,F36,12,
2,24,25,C06,C23,C28,12,
2,24,29,C06,C23,C16,12,
2,25,29,C06,C28,C16,12,
2,27,28,C06,C12,F36,12,
2,32,36,C06,C29,C22,12,
2,34,38,C06,C15,C01,12,
2,36,37,C06,C22,C37,12,
3,5,7,C08,C14,C24,12,
3,5,12,C08,C14,C05,12,
3,6,8,C08,C02,C04,12,
3,6,10,C08,C02,C19,12,
3,7,12,C08,C24,C05,12,
3,8,10,C08,C04,C19,12,
3,14,21,C08,C18,C25,12,
3,15,17,C08,C34,C13,12,
3,15,19,C08,C34,C00,12,
3,16,21,C08,C30,C25,12,
3,17,19,C08,C13,C00,12,
3,23,25,C08,C32,C28,12,
3,23,30,C08,C32,C03,12,
3,24,26,C08,C23,C21,12,
3,25,30,C08,C28,C03,12,
3,32,39,C08,C29,C31,12,
3,33,37,C08,X36,C37,12,
3,34,39,C08,C15,C31,12,
3,35,37,C08,C17,C37,12,
4,13,22,C07,C10,C26,12,
4,14,23,C07,C18,C32,12,
4,15,24,C07,C34,C23,12,
4,15,33,C07,C34,X36,12,
4,16,25,C07,C30,C28,12,
4,16,34,C07,C30,C15,12,
4,17,26,C07,C13,C21,12,
4,17,35,C07,C13,C17,12,
4,18,27,C07,C11,C12,12,
4,18,36,C07,C11,C22,12,
4,19,28,C07,C00,F36,12,
4,19,37,C07,C00,C37,12,
4,20,38,C07,C09,C01,12,
4,21,39,C07,C25,C31,12,
4,22,31,C07,C26,X35,12,
4,23,32,C07,C32,C29,12,
4,24,33,C07,C23,X36,12,
4,25,34,C07,C28,C15,12,
4,26,35,C07,C21,C17,12,
4,27,36,C07,C12,C22,12,
4,28,37,C07,F36,C37,12,
4,29,38,C07,C16,C01,12,
4,30,39,C07,C03,C31,12,
5,7,12,C14,C24,C05,12,
5,9,10,C14,C20,C19,12,
5,13,23,C14,C10,C32,12,
5,13,33,C14,C10,X36,12,
5,14,24,C14,C18,C23,12,
5,14,31,C14,C18,X35,12,
5,15,32,C14,C34,C29,12,
5,19,29,C14,C00,C16,12,
5,19,39,C14,C00,C31,12,
5,20,30,C14,C09,C03,12,
5,20,37,C14,C09,C37,12,
5,21,38,C14,C25,C01,12,
5,22,32,C14,C26,C29,12,
5,24,31,C14,C23,X35,12,
5,29,39,C14,C16,C31,12,
5,30,37,C14,C03,C37,12,
6,7,11,C02,C24,C33,12,
6,9,12,C02,C20,C05,12,
6,13,24,C02,C10,C23,12,
6,13,32,C02,C10,C29,12,
6,14,22,C02,C18,C26,12,
6,14,33,C02,C18,X36,12,
6,15,23,C02,C34,C32,12,
6,15,31,C02,C34,X35,12,
6,16,27,C02,C30,C12,12,
6,16,35,C02,C30,C17,12,
6,17,36,C02,C13,C22,12,
6,18,26,C02,C11,C21,12,
6,18,34,C02,C11,C15,12,
6,23,31,C02,C32,X35,12,
6,24,32,C02,C23,C29,12,
6,25,36,C02,C28,C22,12,
6,26,34,C02,C21,C15,12,
6,27,35,C02,C12,C17,12,
7,8,9,C24,C04,C20,12,
7,13,25,C24,C10,C28,12,
7,14,26,C24,C18,C21,12,
7,14,38,C24,C18,C01,12,
7,16,28,C24,C30,F36,12,
7,16,31,C24,C30,X35,12,
7,17,29,C24,C13,C16,12,
7,17,32,C24,C13,C29,12,
7,19,22,C24,C00,C26,12,
7,19,34,C24,C00,C15,12,
7,20,23,C24,C09,C32,12,
7,20,35,C24,C09,C17,12,
7,22,34,C24,C26,C15,12,
7,23,35,C24,C32,C17,12,
7,25,37,C24,C28,C37,12,
7,26,38,C24,C21,C01,12,
7,28,31,C24,F36,X35,12,
7,29,32,C24,C16,C29,12,
8,13,26,C04,C10,C21,12,
8,13,39,C04,C10,C31,12,
8,14,27,C04,C18,C12,12,
8,14,37,C04,C18,C37,12,
8,17,30,C04,C13,C03,12,
8,17,31,C04,C13,X35,12,
8,18,32,C04,C11,C29,12,
8,19,23,C04,C00,C32,12,
8,19,36,C04,C00,C22,12,
8,21,35,C04,C25,C17,12,
8,23,36,C04,C32,C22,12,
8,27,37,C04,C12,C37,12,
8,28,32,C04,F36,C29,12,
8,30,31,C04,C03,X35,12,
9,13,38,C20,C10,C01,12,
9,14,25,C20,C18,C28,12,
9,14,39,C20,C18,C31,12,
9,16,30,C20,C30,C03,12,
9,18,29,C20,C11,C16,12,
9,18,31,C20,C11,X35,12,
9,20,22,C20,C09,C26,12,
9,20,36,C20,C09,C22,12,
9,21,23,C20,C25,C32,12,
9,21,34,C20,C25,C15,12,
9,22,36,C20,C26,C22,12,
9,23,34,C20,C32,C15,12,
9,25,39,C20,C28,C31,12,
9,27,38,C20,C12,C01,12,
9,30,32,C20,C03,C29,12,
10,11,12,C19,C33,C05,12,
10,13,28,C19,C10,F36,12,
10,15,30,C19,C34,C03,12,
10,15,36,C19,C34,C22,12,
10,16,22,C19,C30,C26,12,
10,16,37,C19,C30,C37,12,
10,18,24,C19,C11,C23,12,
10,18,39,C19,C11,C31,12,
10,19,25,C19,C00,C28,12,
10,19,31,C19,C00,X35,12,
10,21,27,C19,C25,C12,12,
10,22,37,C19,C26,C37,12,
10,24,39,C19,C23,C31,12,
10,25,31,C19,C28,X35,12,
10,27,33,C19,C12,X36,12,
10,28,34,C19,F36,C15,12,
10,30,36,C19,C03,C22,12,
11,13,29,C33,C10,C16,12,
11,13,36,C33,C10,C22,12,
