cycle_index,step,u,v,support,support_mask,delta,rem_sum,add_sum,node_req_hol,triad,triad_hol,triad_cover_size,triad_cover12,transition_rule_from_prev_edge,transition_ok,node_ok,outer_quad,key,removed_pairs,added_pairs,removed_phase_sum_mod8,added_phase_sum_mod8,delta_from_pair_phase_diff_mod8,support_list,rem_idx,add_idx,flip_class,tri_set,prev_tri_set,is_move,shared_pair,dropped_w33,added_w33,drop_idx,comm_k4_mod12
0,0,12,10,3 7 10 11,3208,4,0,4,,0 10 11,3,9,0,delta2(no trans rule),1,1,4 14 23 32,"(10, 12)","[(3, 7), (10, 11)]","[(3, 11), (7, 10)]",0,4,4,"[3, 7, 10, 11]",0,2,0->2,"(0, 10, 11)",,False,,,,,
0,1,10,33,1 2 3 7,142,0,0,0,,10 11 12,9,12,1,delta4(0->4),1,1,4 14 23 32,"(10, 33)","[(1, 2), (3, 7)]","[(1, 3), (2, 7)]",0,0,0,"[1, 2, 3, 7]",0,1,0->1,"(10, 11, 12)","(0, 10, 11)",True,10 11,0.0,12.0,0.0,6.0
0,2,33,15,1 3 10 11,3082,2,6,0,9.0,10 11 12,9,12,1,delta0(rem=add=0),1,1,4 14 23 32,"(15, 33)","[(1, 10), (3, 11)]","[(1, 3), (10, 11)]",6,0,2,"[1, 3, 10, 11]",1,0,1->0,"(10, 11, 12)","(10, 11, 12)",False,,,,,
0,3,15,12,1 2 7 10,1158,2,6,0,9.0,0 10 12,9,9,0,delta2(no trans rule),1,1,4 14 23 32,"(12, 15)","[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,"[1, 2, 7, 10]",0,2,0->2,"(0, 10, 12)","(10, 11, 12)",True,10 12,11.0,0.0,1.0,6.0
1,0,20,40,0 3 8 9,777,0,6,6,,11 13 29,3,12,1,delta4(0->4),1,1,3 14 16 21,"(20, 40)","[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,"[0, 3, 8, 9]",1,2,1->2,"(11, 13, 29)",,False,,,,,
1,1,40,5,3 7 8 10,1416,0,4,4,,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(5, 40)","[(3, 10), (7, 8)]","[(3, 8), (7, 10)]",4,4,0,"[3, 7, 8, 10]",2,1,2->1,"(11, 29, 36)","(11, 13, 29)",True,11 29,13.0,36.0,1.0,6.0
1,2,5,46,3 6 10 11,3144,6,0,6,3.0,11 29 36,3,9,0,delta0(rem=add=4),1,1,3 14 16 21,"(5, 46)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(11, 29, 36)","(11, 29, 36)",False,,,,,
1,3,46,36,4 5 6 10,1136,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(36, 46)","[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,"[4, 5, 6, 10]",1,0,1->0,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
1,4,36,43,4 6 7 8,464,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21,"(36, 43)","[(4, 6), (7, 8)]","[(4, 8), (6, 7)]",6,0,2,"[4, 6, 7, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
1,5,43,57,0 4 8 9,785,0,6,6,,11 13 29,3,12,1,delta2(no trans rule),1,1,3 14 16 21,"(43, 57)","[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,"[0, 4, 8, 9]",2,1,2->1,"(11, 13, 29)","(11, 13, 36)",True,11 13,36.0,29.0,2.0,6.0
1,6,57,48,3 6 7 11,2248,6,2,0,3.0,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(48, 57)","[(3, 7), (6, 11)]","[(3, 11), (6, 7)]",2,0,6,"[3, 6, 7, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 29)",True,11 29,13.0,36.0,1.0,6.0
1,7,48,0,4 5 9 10,1584,6,0,6,3.0,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(0, 48)","[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,"[4, 5, 9, 10]",0,1,0->1,"(11, 29, 36)","(11, 29, 36)",False,,,,,
1,8,0,20,3 7 9 10,1672,4,0,4,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(0, 20)","[(3, 7), (9, 10)]","[(3, 9), (7, 10)]",0,4,4,"[3, 7, 9, 10]",0,1,0->1,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
2,0,20,38,1 2 7 10,1158,2,6,0,9.0,0 10 12,9,9,0,delta4(0->4),1,1,4 14 23 32,"(20, 38)","[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,"[1, 2, 7, 10]",0,2,0->2,"(0, 10, 12)",,False,,,,,
2,1,38,56,0 3 8 9,777,0,6,6,,10 11 12,9,12,1,delta2(no trans rule),1,1,4 14 23 32,"(38, 56)","[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,"[0, 3, 8, 9]",1,2,1->2,"(10, 11, 12)","(0, 10, 12)",True,10 12,0.0,11.0,0.0,6.0
2,2,56,47,1 3 8 10,1290,0,6,6,,10 11 12,9,12,1,delta0(rem=add=6),1,1,4 14 23 32,"(47, 56)","[(1, 8), (3, 10)]","[(1, 10), (3, 8)]",6,6,0,"[1, 3, 8, 10]",1,2,1->2,"(10, 11, 12)","(10, 11, 12)",False,,,,,
2,3,47,5,1 2 7 8,390,2,6,0,9.0,0 10 12,9,9,0,delta0(rem=add=6),1,1,4 14 23 32,"(5, 47)","[(1, 2), (7, 8)]","[(1, 8), (2, 7)]",6,0,2,"[1, 2, 7, 8]",0,2,0->2,"(0, 10, 12)","(10, 11, 12)",True,10 12,11.0,0.0,1.0,6.0
2,4,5,46,3 6 10 11,3144,6,0,6,3.0,0 10 11,3,9,0,delta2(no trans rule),1,1,4 14 23 32,"(5, 46)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(0, 10, 11)","(0, 10, 12)",True,0 10,12.0,11.0,2.0,6.0
2,5,46,36,4 5 6 10,1136,0,0,0,,10 11 12,9,12,1,delta6(no trans rule),1,1,4 14 23 32,"(36, 46)","[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,"[4, 5, 6, 10]",1,0,1->0,"(10, 11, 12)","(0, 10, 11)",True,10 11,0.0,12.0,0.0,6.0
2,6,36,43,4 6 7 8,464,2,6,0,9.0,10 11 12,9,12,1,delta0(rem=add=0),1,1,4 14 23 32,"(36, 43)","[(4, 6), (7, 8)]","[(4, 8), (6, 7)]",6,0,2,"[4, 6, 7, 8]",0,2,0->2,"(10, 11, 12)","(10, 11, 12)",False,,,,,
2,7,43,57,0 4 8 9,785,0,6,6,,0 11 12,3,12,1,delta2(no trans rule),1,1,4 14 23 32,"(43, 57)","[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,"[0, 4, 8, 9]",2,1,2->1,"(0, 11, 12)","(10, 11, 12)",True,11 12,10.0,0.0,0.0,6.0
2,8,57,48,3 6 7 11,2248,6,2,0,3.0,0 10 11,3,9,0,delta0(rem=add=6),1,1,4 14 23 32,"(48, 57)","[(3, 7), (6, 11)]","[(3, 11), (6, 7)]",2,0,6,"[3, 6, 7, 11]",1,2,1->2,"(0, 10, 11)","(0, 11, 12)",True,0 11,12.0,10.0,2.0,6.0
2,9,48,0,4 5 9 10,1584,6,0,6,3.0,0 10 11,3,9,0,delta6(no trans rule),1,1,4 14 23 32,"(0, 48)","[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,"[4, 5, 9, 10]",0,1,0->1,"(0, 10, 11)","(0, 10, 11)",False,,,,,
2,10,0,20,3 7 9 10,1672,4,0,4,,0 10 11,3,9,0,delta6(no trans rule),1,1,4 14 23 32,"(0, 20)","[(3, 7), (9, 10)]","[(3, 9), (7, 10)]",0,4,4,"[3, 7, 9, 10]",0,1,0->1,"(0, 10, 11)","(0, 10, 11)",False,,,,,
3,0,45,27,6 7 9 10,1728,4,6,2,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(27, 45)","[(6, 9), (7, 10)]","[(6, 7), (9, 10)]",6,2,4,"[6, 7, 9, 10]",1,0,1->0,"(11, 29, 36)",,False,,,,,
3,1,27,12,4 5 6 9,624,0,0,0,,13 29 36,9,12,1,delta4(6->2),1,1,3 14 16 21,"(12, 27)","[(4, 6), (5, 9)]","[(4, 5), (6, 9)]",0,0,0,"[4, 5, 6, 9]",1,0,1->0,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
3,2,12,15,1 2 7 10,1158,2,6,0,9.0,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21,"(12, 15)","[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,"[1, 2, 7, 10]",0,2,0->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
3,3,15,53,1 4 6 10,1106,0,0,0,,13 29 36,9,12,1,delta2(no trans rule),1,1,3 14 16 21,"(15, 53)","[(1, 10), (4, 6)]","[(1, 4), (6, 10)]",0,0,0,"[1, 4, 6, 10]",2,0,2->0,"(13, 29, 36)","(13, 29, 36)",False,,,,,
3,4,53,39,0 1 4 8,275,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21,"(39, 53)","[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,"[0, 1, 4, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
3,5,39,11,3 6 10 11,3144,6,0,6,3.0,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21,"(11, 39)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 36)",True,11 36,13.0,29.0,1.0,6.0
3,6,11,50,3 5 9 10,1576,0,6,6,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(11, 50)","[(3, 10), (5, 9)]","[(3, 9), (5, 10)]",6,6,0,"[3, 5, 9, 10]",2,1,2->1,"(11, 29, 36)","(11, 29, 36)",False,,,,,
3,7,50,34,0 1 4 8,275,6,0,6,3.0,11 13 29,3,12,1,delta0(rem=add=6),1,1,3 14 16 21,"(34, 50)","[(0, 8), (1, 4)]","[(0, 1), (4, 8)]",0,6,6,"[0, 1, 4, 8]",2,0,2->0,"(11, 13, 29)","(11, 29, 36)",True,11 29,36.0,13.0,2.0,6.0
3,8,34,38,1 4 5 10,1074,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(34, 38)","[(1, 4), (5, 10)]","[(1, 10), (4, 5)]",0,0,0,"[1, 4, 5, 10]",0,2,0->2,"(13, 29, 36)","(11, 13, 29)",True,13 29,11.0,36.0,0.0,6.0
3,9,38,56,0 3 8 9,777,0,6,6,,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21,"(38, 56)","[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,"[0, 3, 8, 9]",1,2,1->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
3,10,56,47,1 3 8 10,1290,0,6,6,,13 29 36,9,12,1,delta0(rem=add=6),1,1,3 14 16 21,"(47, 56)","[(1, 8), (3, 10)]","[(1, 10), (3, 8)]",6,6,0,"[1, 3, 8, 10]",1,2,1->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
3,11,47,5,1 2 7 8,390,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(5, 47)","[(1, 2), (7, 8)]","[(1, 8), (2, 7)]",6,0,2,"[1, 2, 7, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
3,12,5,46,3 6 10 11,3144,6,0,6,3.0,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21,"(5, 46)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 36)",True,11 36,13.0,29.0,1.0,6.0
3,13,46,36,4 5 6 10,1136,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(36, 46)","[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,"[4, 5, 6, 10]",1,0,1->0,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
3,14,36,43,4 6 7 8,464,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21,"(36, 43)","[(4, 6), (7, 8)]","[(4, 8), (6, 7)]",6,0,2,"[4, 6, 7, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
3,15,43,57,0 4 8 9,785,0,6,6,,11 13 29,3,12,1,delta2(no trans rule),1,1,3 14 16 21,"(43, 57)","[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,"[0, 4, 8, 9]",2,1,2->1,"(11, 13, 29)","(11, 13, 36)",True,11 13,36.0,29.0,2.0,6.0
3,16,57,45,4 5 9 10,1584,6,0,6,3.0,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(45, 57)","[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,"[4, 5, 9, 10]",0,1,0->1,"(11, 29, 36)","(11, 13, 29)",True,11 29,13.0,36.0,1.0,6.0
4,0,26,27,3 7 10 11,3208,4,0,4,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(26, 27)","[(3, 7), (10, 11)]","[(3, 11), (7, 10)]",0,4,4,"[3, 7, 10, 11]",0,2,0->2,"(11, 29, 36)",,False,,,,,
4,1,27,12,4 5 6 9,624,0,0,0,,13 29 36,9,12,1,delta4(0->4),1,1,3 14 16 21,"(12, 27)","[(4, 6), (5, 9)]","[(4, 5), (6, 9)]",0,0,0,"[4, 5, 6, 9]",1,0,1->0,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
4,2,12,15,1 2 7 10,1158,2,6,0,9.0,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21,"(12, 15)","[(1, 2), (7, 10)]","[(1, 10), (2, 7)]",6,0,2,"[1, 2, 7, 10]",0,2,0->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
4,3,15,53,1 4 6 10,1106,0,0,0,,13 29 36,9,12,1,delta2(no trans rule),1,1,3 14 16 21,"(15, 53)","[(1, 10), (4, 6)]","[(1, 4), (6, 10)]",0,0,0,"[1, 4, 6, 10]",2,0,2->0,"(13, 29, 36)","(13, 29, 36)",False,,,,,
4,4,53,39,0 1 4 8,275,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21,"(39, 53)","[(0, 1), (4, 8)]","[(0, 8), (1, 4)]",6,0,2,"[0, 1, 4, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
4,5,39,11,3 6 10 11,3144,6,0,6,3.0,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21,"(11, 39)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 36)",True,11 36,13.0,29.0,1.0,6.0
4,6,11,50,3 5 9 10,1576,0,6,6,,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(11, 50)","[(3, 10), (5, 9)]","[(3, 9), (5, 10)]",6,6,0,"[3, 5, 9, 10]",2,1,2->1,"(11, 29, 36)","(11, 29, 36)",False,,,,,
4,7,50,34,0 1 4 8,275,6,0,6,3.0,11 13 29,3,12,1,delta0(rem=add=6),1,1,3 14 16 21,"(34, 50)","[(0, 8), (1, 4)]","[(0, 1), (4, 8)]",0,6,6,"[0, 1, 4, 8]",2,0,2->0,"(11, 13, 29)","(11, 29, 36)",True,11 29,36.0,13.0,2.0,6.0
4,8,34,38,1 4 5 10,1074,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(34, 38)","[(1, 4), (5, 10)]","[(1, 10), (4, 5)]",0,0,0,"[1, 4, 5, 10]",0,2,0->2,"(13, 29, 36)","(11, 13, 29)",True,13 29,11.0,36.0,0.0,6.0
4,9,38,56,0 3 8 9,777,0,6,6,,13 29 36,9,12,1,delta0(rem=add=0),1,1,3 14 16 21,"(38, 56)","[(0, 8), (3, 9)]","[(0, 9), (3, 8)]",6,6,0,"[0, 3, 8, 9]",1,2,1->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
4,10,56,47,1 3 8 10,1290,0,6,6,,13 29 36,9,12,1,delta0(rem=add=6),1,1,3 14 16 21,"(47, 56)","[(1, 8), (3, 10)]","[(1, 10), (3, 8)]",6,6,0,"[1, 3, 8, 10]",1,2,1->2,"(13, 29, 36)","(13, 29, 36)",False,,,,,
4,11,47,5,1 2 7 8,390,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(5, 47)","[(1, 2), (7, 8)]","[(1, 8), (2, 7)]",6,0,2,"[1, 2, 7, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
4,12,5,46,3 6 10 11,3144,6,0,6,3.0,11 29 36,3,9,0,delta2(no trans rule),1,1,3 14 16 21,"(5, 46)","[(3, 10), (6, 11)]","[(3, 11), (6, 10)]",0,6,6,"[3, 6, 10, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 36)",True,11 36,13.0,29.0,1.0,6.0
4,13,46,36,4 5 6 10,1136,0,0,0,,13 29 36,9,12,1,delta6(no trans rule),1,1,3 14 16 21,"(36, 46)","[(4, 6), (5, 10)]","[(4, 5), (6, 10)]",0,0,0,"[4, 5, 6, 10]",1,0,1->0,"(13, 29, 36)","(11, 29, 36)",True,29 36,11.0,13.0,0.0,6.0
4,14,36,43,4 6 7 8,464,2,6,0,9.0,11 13 36,9,9,0,delta0(rem=add=0),1,1,3 14 16 21,"(36, 43)","[(4, 6), (7, 8)]","[(4, 8), (6, 7)]",6,0,2,"[4, 6, 7, 8]",0,2,0->2,"(11, 13, 36)","(13, 29, 36)",True,13 36,29.0,11.0,1.0,6.0
4,15,43,57,0 4 8 9,785,0,6,6,,11 13 29,3,12,1,delta2(no trans rule),1,1,3 14 16 21,"(43, 57)","[(0, 9), (4, 8)]","[(0, 8), (4, 9)]",6,6,0,"[0, 4, 8, 9]",2,1,2->1,"(11, 13, 29)","(11, 13, 36)",True,11 13,36.0,29.0,2.0,6.0
4,16,57,48,3 6 7 11,2248,6,2,0,3.0,11 29 36,3,9,0,delta0(rem=add=6),1,1,3 14 16 21,"(48, 57)","[(3, 7), (6, 11)]","[(3, 11), (6, 7)]",2,0,6,"[3, 6, 7, 11]",1,2,1->2,"(11, 29, 36)","(11, 13, 29)",True,11 29,13.0,36.0,1.0,6.0
4,17,48,0,4 5 9 10,1584,6,0,6,3.0,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(0, 48)","[(4, 5), (9, 10)]","[(4, 9), (5, 10)]",0,6,6,"[4, 5, 9, 10]",0,1,0->1,"(11, 29, 36)","(11, 29, 36)",False,,,,,
4,18,0,26,6 9 10 11,3648,6,2,0,3.0,11 29 36,3,9,0,delta6(no trans rule),1,1,3 14 16 21,"(0, 26)","[(6, 11), (9, 10)]","[(6, 9), (10, 11)]",2,0,6,"[6, 9, 10, 11]",2,0,2->0,"(11, 29, 36)","(11, 29, 36)",False,,,,,
