triad_from,triad_to,component_id,shared_pair,dropped_w33,added_w33,drop_idx_in_sorted_prev,hol_from,hol_to,hol_flip,comm_k4_mod12,comm_phase_complex,comm_phase_angle_rad
0,1,0,0 1,2,3,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
0,2,0,0 2,1,3,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
0,27,0,1 2,0,3,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
1,0,0,0 1,3,2,2,3,9,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
1,2,0,0 3,1,2,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
1,27,0,1 3,0,2,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
2,0,0,0 2,3,1,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
2,1,0,0 3,2,1,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
2,27,0,2 3,0,1,0,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
3,169,1,7 8,0,9,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
3,4,1,0 7,8,9,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
3,5,1,0 8,7,9,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
4,169,1,7 9,0,8,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
4,3,1,0 7,9,8,2,3,9,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
4,5,1,0 9,7,8,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
5,169,1,8 9,0,7,0,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
5,3,1,0 8,9,7,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
5,4,1,0 9,8,7,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
6,8,2,0 11,10,12,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.1415926535886705
6,224,2,10 11,0,12,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
6,7,2,0 10,11,12,2,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
7,8,2,0 12,10,11,1,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
7,224,2,10 12,0,11,0,9,9,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
7,6,2,0 10,12,11,2,9,3,1,6,-1.000000000000+0.000000000000j,3.141592653589793
8,224,2,11 12,0,10,0,3,9,1,6,-1.000000000000+0.000000000000j,3.141592653589793
8,6,2,0 11,12,10,2,3,3,0,6,-1.000000000000+0.000000000001j,3.1415926535886705
8,7,2,0 12,11,10,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
9,10,3,0 16,17,18,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
9,11,3,0 17,16,18,1,9,9,0,6,-1.000000000000+0.000000000000j,3.141592653589793
9,306,3,16 17,0,18,0,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
10,9,3,0 16,18,17,2,3,9,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
10,306,3,16 18,0,17,0,3,3,0,6,-1.000000000000+0.000000000000j,3.141592653589793
10,11,3,0 18,16,17,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
11,9,3,0 17,18,16,2,9,9,0,6,-1.000000000000+0.000000000000j,3.141592653589793
11,10,3,0 18,17,16,1,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
11,306,3,17 18,0,16,0,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
12,325,4,19 20,0,21,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
12,13,4,0 19,20,21,2,3,9,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
12,14,4,0 20,19,21,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
13,12,4,0 19,21,20,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
13,325,4,19 21,0,20,0,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
13,14,4,0 21,19,20,1,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
14,325,4,20 21,0,19,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
14,12,4,0 20,21,19,2,3,3,0,6,-1.000000000000+0.000000000001j,3.141592653589232
14,13,4,0 21,20,19,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
15,16,5,0 25,26,27,2,9,3,1,6,-1.000000000000-0.000000000001j,-3.141592653589232
15,17,5,0 26,25,27,1,9,9,0,6,-1.000000000000+0.000000000001j,3.141592653589232
15,350,5,25 26,0,27,0,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
16,17,5,0 27,25,26,1,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
16,350,5,25 27,0,26,0,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
16,15,5,0 25,27,26,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
17,16,5,0 27,26,25,1,9,3,1,6,-1.000000000000+0.000000000001j,3.1415926535886705
17,350,5,26 27,0,25,0,9,3,1,6,-1.000000000000+0.000000000001j,3.141592653589232
17,15,5,0 26,27,25,2,9,9,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
18,19,6,0 28,29,30,2,3,9,1,6,-1.000000000000+0.000000000001j,3.141592653589232
18,20,6,0 29,28,30,1,3,3,0,6,-1.000000000000-0.000000000001j,-3.141592653589232
18,351,6,28 29,0,30,0,3,9,1,6,-1.000000000000-0.000000000001j,-3.1415926535886705
