w33_a,w33_b,w33_c,hol12,n12_1,n12_2,n12_3,cover_bits,missing0123456789ab_idx,support_score,is_cover12,is_defect,hol_sign,missing_size,missing_triple_block
0,1,3,3,C08,C15,F35,9,"(9, 10, 11)",12,False,True,1,3,3.0
0,8,9,9,C08,C04,X36,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,25,26,9,C08,C14,C01,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,34,35,9,C08,F36,C26,9,"(6, 7, 8)",9,False,True,-1,3,2.0
0,34,36,3,C08,F36,C00,9,"(9, 10, 11)",12,False,True,1,3,3.0
0,37,38,3,C08,C30,C22,6,"(6, 7, 8, 9, 10, 11)",0,False,True,1,6,
1,2,3,3,C15,C06,F35,9,"(0, 1, 2)",32,False,True,1,3,0.0
1,24,27,9,C15,X35,C16,9,"(9, 10, 11)",12,False,True,-1,3,3.0
2,7,11,9,C06,C18,C37,9,"(0, 1, 2)",32,False,True,-1,3,0.0
2,9,10,3,C06,X36,C24,9,"(0, 1, 2)",32,False,True,1,3,0.0
2,15,20,3,C06,C17,C28,9,"(6, 7, 8)",9,False,True,1,3,2.0
2,24,25,9,C06,X35,C14,9,"(6, 7, 8)",9,False,True,-1,3,2.0
2,32,37,9,C06,C11,C30,9,"(6, 7, 8)",9,False,True,-1,3,2.0
2,34,38,9,C06,F36,C22,9,"(6, 7, 8)",9,False,True,-1,3,2.0
3,7,12,3,F35,C18,C05,9,"(9, 10, 11)",12,False,True,1,3,3.0
3,16,21,3,F35,C03,C33,9,"(0, 1, 2)",32,False,True,1,3,0.0
3,17,19,9,F35,C25,C27,9,"(0, 1, 2)",32,False,True,-1,3,0.0
3,32,39,9,F35,C11,C19,9,"(0, 1, 2)",32,False,True,-1,3,0.0
3,33,35,9,F35,C09,C26,9,"(3, 4, 5)",9,False,True,-1,3,1.0
3,34,39,3,F35,F36,C19,9,"(3, 4, 5)",9,False,True,1,3,1.0
4,13,31,9,C07,C29,C10,9,"(0, 1, 2)",32,False,True,-1,3,0.0
4,17,35,9,C07,C25,C26,9,"(3, 4, 5)",9,False,True,-1,3,1.0
4,20,29,3,C07,C28,C32,9,"(3, 4, 5)",9,False,True,1,3,1.0
4,21,39,9,C07,C33,C19,6,"(0, 1, 2, 3, 4, 5)",2,False,True,-1,6,
4,25,34,3,C07,C14,F36,9,"(3, 4, 5)",9,False,True,1,3,1.0
5,21,28,9,C02,C33,C13,9,"(3, 4, 5)",9,False,True,-1,3,1.0
5,29,39,9,C02,C32,C19,9,"(3, 4, 5)",9,False,True,-1,3,1.0
6,24,32,3,C31,X35,C11,9,"(6, 7, 8)",9,False,True,1,3,2.0
6,26,34,9,C31,C01,F36,9,"(6, 7, 8)",9,False,True,-1,3,2.0
7,13,37,9,C18,C29,C30,9,"(9, 10, 11)",12,False,True,-1,3,3.0
7,16,31,9,C18,C03,C10,9,"(0, 1, 2)",32,False,True,-1,3,0.0
7,17,32,3,C18,C25,C11,9,"(0, 1, 2)",32,False,True,1,3,0.0
7,19,22,3,C18,C27,C12,9,"(9, 10, 11)",12,False,True,1,3,3.0
7,19,34,9,C18,C27,F36,9,"(9, 10, 11)",12,False,True,-1,3,3.0
7,22,34,3,C18,C12,F36,9,"(9, 10, 11)",12,False,True,1,3,3.0
8,14,37,3,C04,C34,C30,9,"(6, 7, 8)",9,False,True,1,3,2.0
8,21,35,9,C04,C33,C26,9,"(3, 4, 5)",9,False,True,-1,3,1.0
9,14,25,9,X36,C34,C14,9,"(6, 7, 8)",9,False,True,-1,3,2.0
9,16,32,3,X36,C03,C11,9,"(0, 1, 2)",32,False,True,1,3,0.0
9,21,34,3,X36,C33,F36,9,"(3, 4, 5)",9,False,True,1,3,1.0
9,25,39,9,X36,C14,C19,9,"(3, 4, 5)",9,False,True,-1,3,1.0
9,30,32,9,X36,C21,C11,9,"(6, 7, 8)",9,False,True,-1,3,2.0
10,19,31,9,C24,C27,C10,9,"(0, 1, 2)",32,False,True,-1,3,0.0
10,24,39,9,C24,X35,C19,9,"(0, 1, 2)",32,False,True,-1,3,0.0
11,17,24,9,C37,C25,X35,9,"(0, 1, 2)",32,False,True,-1,3,0.0
12,24,38,9,C05,X35,C22,9,"(9, 10, 11)",12,False,True,-1,3,3.0
13,22,31,9,C29,C12,C10,9,"(9, 10, 11)",12,False,True,-1,3,3.0
13,24,32,9,C29,X35,C11,9,"(0, 1, 2)",32,False,True,-1,3,0.0
13,27,38,9,C29,C16,C22,9,"(9, 10, 11)",12,False,True,-1,3,3.0
14,26,38,3,C34,C01,C22,9,"(6, 7, 8)",9,False,True,1,3,2.0
18,22,38,9,C20,C12,C22,9,"(9, 10, 11)",12,False,True,-1,3,3.0
18,27,36,9,C20,C16,C00,9,"(9, 10, 11)",12,False,True,-1,3,3.0
19,22,34,9,C27,C12,F36,9,"(9, 10, 11)",12,False,True,-1,3,3.0
19,23,36,3,C27,C23,C00,9,"(9, 10, 11)",12,False,True,1,3,3.0
20,25,33,3,C28,C14,C09,9,"(3, 4, 5)",9,False,True,1,3,1.0
20,30,37,3,C28,C21,C30,9,"(6, 7, 8)",9,False,True,1,3,2.0
21,27,33,3,C33,C16,C09,9,"(3, 4, 5)",9,False,True,1,3,1.0
32,35,38,9,C11,C26,C22,9,"(6, 7, 8)",9,False,True,-1,3,2.0
