cycle_index,step,support_bits,support_symbols,triad_id,w33_points,n12_points,cover_size,cover12,covers_support
0,0,3208,37ab,353,32 35 38,X35 C29 X36,9,False,True
0,1,142,1237,46,1 32 35,F36 X35 C29,9,False,True
0,2,3082,13ab,47,1 32 38,F36 X35 X36,9,False,True
0,3,1158,127a,50,1 35 38,F36 C29 X36,12,True,True
1,0,777,0389,50,1 35 38,F36 C29 X36,12,True,True
1,1,1416,378a,353,32 35 38,X35 C29 X36,9,False,True
1,2,3144,36ab,50,1 35 38,F36 C29 X36,12,True,True
1,3,1136,456a,353,32 35 38,X35 C29 X36,9,False,True
1,4,464,4678,46,1 32 35,F36 X35 C29,9,False,True
1,5,785,0489,50,1 35 38,F36 C29 X36,12,True,True
1,6,2248,367b,353,32 35 38,X35 C29 X36,9,False,True
1,7,1584,459a,47,1 32 38,F36 X35 X36,9,False,True
1,8,1672,379a,353,32 35 38,X35 C29 X36,9,False,True
2,0,1158,127a,196,8 19 23,C02 F35 C25,9,False,True
2,1,777,0389,201,8 23 36,C02 C25 C15,12,True,True
2,2,1290,138a,197,8 19 36,C02 F35 C15,12,True,True
2,3,390,1278,196,8 19 23,C02 F35 C25,9,False,True
2,4,3144,36ab,327,19 23 36,F35 C25 C15,9,False,True
2,5,1136,456a,201,8 23 36,C02 C25 C15,12,True,True
2,6,464,4678,327,19 23 36,F35 C25 C15,9,False,True
2,7,785,0489,201,8 23 36,C02 C25 C15,12,True,True
2,8,2248,367b,327,19 23 36,F35 C25 C15,9,False,True
2,9,1584,459a,201,8 23 36,C02 C25 C15,12,True,True
2,10,1672,379a,327,19 23 36,F35 C25 C15,9,False,True
3,0,1728,679a,21,0 34 35,C22 C19 C29,12,True,True
3,1,624,4569,358,34 35 36,C19 C29 C15,9,False,True
3,2,1158,127a,21,0 34 35,C22 C19 C29,12,True,True
3,3,1106,146a,22,0 34 36,C22 C19 C15,12,True,True
3,4,275,0148,23,0 35 36,C22 C29 C15,9,False,True
3,5,3144,36ab,358,34 35 36,C19 C29 C15,9,False,True
3,6,1576,359a,21,0 34 35,C22 C19 C29,12,True,True
3,7,275,0148,23,0 35 36,C22 C29 C15,9,False,True
3,8,1074,145a,21,0 34 35,C22 C19 C29,12,True,True
3,9,777,0389,22,0 34 36,C22 C19 C15,12,True,True
3,10,1290,138a,21,0 34 35,C22 C19 C29,12,True,True
3,11,390,1278,23,0 35 36,C22 C29 C15,9,False,True
3,12,3144,36ab,21,0 34 35,C22 C19 C29,12,True,True
3,13,1136,456a,358,34 35 36,C19 C29 C15,9,False,True
3,14,464,4678,23,0 35 36,C22 C29 C15,9,False,True
3,15,785,0489,22,0 34 36,C22 C19 C15,12,True,True
3,16,1584,459a,358,34 35 36,C19 C29 C15,9,False,True
4,0,3208,37ab,21,0 34 35,C22 C19 C29,12,True,True
4,1,624,4569,358,34 35 36,C19 C29 C15,9,False,True
4,2,1158,127a,21,0 34 35,C22 C19 C29,12,True,True
4,3,1106,146a,22,0 34 36,C22 C19 C15,12,True,True
4,4,275,0148,23,0 35 36,C22 C29 C15,9,False,True
4,5,3144,36ab,358,34 35 36,C19 C29 C15,9,False,True
4,6,1576,359a,21,0 34 35,C22 C19 C29,12,True,True
4,7,275,0148,23,0 35 36,C22 C29 C15,9,False,True
4,8,1074,145a,21,0 34 35,C22 C19 C29,12,True,True
4,9,777,0389,22,0 34 36,C22 C19 C15,12,True,True
4,10,1290,138a,21,0 34 35,C22 C19 C29,12,True,True
4,11,390,1278,23,0 35 36,C22 C29 C15,9,False,True
4,12,3144,36ab,21,0 34 35,C22 C19 C29,12,True,True
4,13,1136,456a,358,34 35 36,C19 C29 C15,9,False,True
4,14,464,4678,23,0 35 36,C22 C29 C15,9,False,True
4,15,785,0489,22,0 34 36,C22 C19 C15,12,True,True
4,16,2248,367b,358,34 35 36,C19 C29 C15,9,False,True
4,17,1584,459a,22,0 34 36,C22 C19 C15,12,True,True
4,18,3648,69ab,358,34 35 36,C19 C29 C15,9,False,True
