triad_id,w33_points,n12_points,cover_size,cover12,cover_symbols,bitmask
0,0 1 2,C22 F36 C00,9,False,012345678,511
1,0 1 3,C22 F36 C30,6,False,012345,63
2,0 2 3,C22 C00 C30,9,False,012345678,511
3,0 7 8,C22 C27 C02,12,True,0123456789ab,4095
4,0 7 9,C22 C27 C04,12,True,0123456789ab,4095
5,0 8 9,C22 C02 C04,12,True,0123456789ab,4095
6,0 10 11,C22 C28 C17,9,False,0123459ab,3647
7,0 10 12,C22 C28 C03,12,True,0123456789ab,4095
8,0 11 12,C22 C17 C03,12,True,0123456789ab,4095
9,0 16 17,C22 C14 C06,9,False,0123459ab,3647
10,0 16 18,C22 C14 C33,12,True,0123456789ab,4095
11,0 17 18,C22 C06 C33,12,True,0123456789ab,4095
12,0 19 20,C22 F35 C32,12,True,0123456789ab,4095
13,0 19 21,C22 F35 C10,9,False,012345678,511
14,0 20 21,C22 C32 C10,12,True,0123456789ab,4095
15,0 25 26,C22 C34 C12,12,True,0123456789ab,4095
16,0 25 27,C22 C34 C37,12,True,0123456789ab,4095
17,0 26 27,C22 C12 C37,12,True,0123456789ab,4095
18,0 28 29,C22 C05 C11,12,True,0123456789ab,4095
19,0 28 30,C22 C05 C18,9,False,012345678,511
20,0 29 30,C22 C11 C18,12,True,0123456789ab,4095
21,0 34 35,C22 C19 C29,12,True,0123456789ab,4095
22,0 34 36,C22 C19 C15,12,True,0123456789ab,4095
23,0 35 36,C22 C29 C15,9,False,012345678,511
24,0 37 38,C22 C09 X36,12,True,0123456789ab,4095
25,0 37 39,C22 C09 C21,12,True,0123456789ab,4095
26,0 38 39,C22 X36 C21,9,False,0123459ab,3647
27,1 2 3,F36 C00 C30,9,False,012345678,511
28,1 5 8,F36 C13 C02,9,False,0126789ab,4039
29,1 5 11,F36 C13 C17,12,True,0123456789ab,4095
30,1 6 9,F36 C08 C04,9,False,0123459ab,3647
31,1 6 12,F36 C08 C03,12,True,0123456789ab,4095
32,1 8 11,F36 C02 C17,12,True,0123456789ab,4095
33,1 9 12,F36 C04 C03,12,True,0123456789ab,4095
34,1 14 17,F36 C16 C06,12,True,0123456789ab,4095
35,1 14 20,F36 C16 C32,9,False,0126789ab,4039
36,1 15 18,F36 C26 C33,9,False,0126789ab,4039
37,1 15 21,F36 C26 C10,12,True,0123456789ab,4095
38,1 17 20,F36 C06 C32,12,True,0123456789ab,4095
39,1 18 21,F36 C33 C10,12,True,0123456789ab,4095
40,1 23 26,F36 C25 C12,12,True,0123456789ab,4095
41,1 23 29,F36 C25 C11,12,True,0123456789ab,4095
42,1 24 27,F36 C24 C37,12,True,0123456789ab,4095
43,1 24 30,F36 C24 C18,12,True,0123456789ab,4095
44,1 26 29,F36 C12 C11,12,True,0123456789ab,4095
45,1 27 30,F36 C37 C18,12,True,0123456789ab,4095
46,1 32 35,F36 X35 C29,9,False,012345678,511
47,1 32 38,F36 X35 X36,9,False,0123459ab,3647
48,1 33 36,F36 C07 C15,12,True,0123456789ab,4095
49,1 33 39,F36 C07 C21,12,True,0123456789ab,4095
50,1 35 38,F36 C29 X36,12,True,0123456789ab,4095
51,1 36 39,F36 C15 C21,12,True,0123456789ab,4095
52,2 5 9,C00 C13 C04,12,True,0123456789ab,4095
53,2 5 10,C00 C13 C28,12,True,0123456789ab,4095
54,2 6 7,C00 C08 C27,9,False,012345678,511
55,2 6 11,C00 C08 C17,12,True,0123456789ab,4095
56,2 7 11,C00 C27 C17,12,True,0123456789ab,4095
57,2 9 10,C00 C04 C28,12,True,0123456789ab,4095
58,2 14 18,C00 C16 C33,12,True,0123456789ab,4095
59,2 14 19,C00 C16 F35,9,False,012345678,511
60,2 15 16,C00 C26 C14,12,True,0123456789ab,4095
61,2 15 20,C00 C26 C32,12,True,0123456789ab,4095
62,2 16 20,C00 C14 C32,12,True,0123456789ab,4095
63,2 18 19,C00 C33 F35,12,True,0123456789ab,4095
64,2 23 27,C00 C25 C37,12,True,0123456789ab,4095
65,2 23 28,C00 C25 C05,12,True,0123456789ab,4095
66,2 24 25,C00 C24 C34,12,True,0123456789ab,4095
67,2 24 29,C00 C24 C11,12,True,0123456789ab,4095
68,2 25 29,C00 C34 C11,12,True,0123456789ab,4095
69,2 27 28,C00 C37 C05,12,True,0123456789ab,4095
70,2 32 36,C00 X35 C15,9,False,012345678,511
71,2 32 37,C00 X35 C09,12,True,0123456789ab,4095
72,2 33 34,C00 C07 C19,12,True,0123456789ab,4095
73,2 33 38,C00 C07 X36,12,True,0123456789ab,4095
74,2 34 38,C00 C19 X36,12,True,0123456789ab,4095
75,2 36 37,C00 C15 C09,12,True,0123456789ab,4095
76,3 5 7,C30 C13 C27,12,True,0123456789ab,4095
77,3 5 12,C30 C13 C03,12,True,0123456789ab,4095
78,3 6 8,C30 C08 C02,12,True,0123456789ab,4095
79,3 6 10,C30 C08 C28,9,False,0123459ab,3647
80,3 7 12,C30 C27 C03,12,True,0123456789ab,4095
81,3 8 10,C30 C02 C28,12,True,0123456789ab,4095
82,3 14 16,C30 C16 C14,12,True,0123456789ab,4095
83,3 14 21,C30 C16 C10,9,False,012345678,511
84,3 15 17,C30 C26 C06,9,False,0123459ab,3647
85,3 15 19,C30 C26 F35,12,True,0123456789ab,4095
86,3 16 21,C30 C14 C10,12,True,0123456789ab,4095
87,3 17 19,C30 C06 F35,12,True,0123456789ab,4095
88,3 23 25,C30 C25 C34,12,True,0123456789ab,4095
89,3 23 30,C30 C25 C18,12,True,0123456789ab,4095
90,3 24 26,C30 C24 C12,12,True,0123456789ab,4095
91,3 24 28,C30 C24 C05,12,True,0123456789ab,4095
92,3 25 30,C30 C34 C18,12,True,0123456789ab,4095
93,3 26 28,C30 C12 C05,9,False,012345678,511
94,3 32 34,C30 X35 C19,12,True,0123456789ab,4095
95,3 32 39,C30 X35 C21,9,False,0123459ab,3647
