triad_id,w33_a,w33_b,w33_c,n12_a,n12_b,n12_c,cover_size,cover12,mask_hex
0,0,1,2,C22,F36,C00,9,0,0x1ff
1,0,1,3,C22,F36,C30,6,0,0x3f
2,0,2,3,C22,C00,C30,9,0,0x1ff
3,0,7,8,C22,C27,C02,12,1,0xfff
4,0,7,9,C22,C27,C04,12,1,0xfff
5,0,8,9,C22,C02,C04,12,1,0xfff
6,0,10,11,C22,C28,C17,9,0,0xe3f
7,0,10,12,C22,C28,C03,12,1,0xfff
8,0,11,12,C22,C17,C03,12,1,0xfff
9,0,16,17,C22,C14,C06,9,0,0xe3f
10,0,16,18,C22,C14,C33,12,1,0xfff
11,0,17,18,C22,C06,C33,12,1,0xfff
12,0,19,20,C22,F35,C32,12,1,0xfff
13,0,19,21,C22,F35,C10,9,0,0x1ff
14,0,20,21,C22,C32,C10,12,1,0xfff
15,0,25,26,C22,C34,C12,12,1,0xfff
16,0,25,27,C22,C34,C37,12,1,0xfff
17,0,26,27,C22,C12,C37,12,1,0xfff
18,0,28,29,C22,C05,C11,12,1,0xfff
19,0,28,30,C22,C05,C18,9,0,0x1ff
20,0,29,30,C22,C11,C18,12,1,0xfff
21,0,34,35,C22,C19,C29,12,1,0xfff
22,0,34,36,C22,C19,C15,12,1,0xfff
23,0,35,36,C22,C29,C15,9,0,0x1ff
24,0,37,38,C22,C09,X36,12,1,0xfff
25,0,37,39,C22,C09,C21,12,1,0xfff
26,0,38,39,C22,X36,C21,9,0,0xe3f
27,1,2,3,F36,C00,C30,9,0,0x1ff
28,1,5,8,F36,C13,C02,9,0,0xfc7
29,1,5,11,F36,C13,C17,12,1,0xfff
30,1,6,9,F36,C08,C04,9,0,0xe3f
31,1,6,12,F36,C08,C03,12,1,0xfff
32,1,8,11,F36,C02,C17,12,1,0xfff
33,1,9,12,F36,C04,C03,12,1,0xfff
34,1,14,17,F36,C16,C06,12,1,0xfff
35,1,14,20,F36,C16,C32,9,0,0xfc7
36,1,15,18,F36,C26,C33,9,0,0xfc7
37,1,15,21,F36,C26,C10,12,1,0xfff
38,1,17,20,F36,C06,C32,12,1,0xfff
39,1,18,21,F36,C33,C10,12,1,0xfff
40,1,23,26,F36,C25,C12,12,1,0xfff
41,1,23,29,F36,C25,C11,12,1,0xfff
42,1,24,27,F36,C24,C37,12,1,0xfff
43,1,24,30,F36,C24,C18,12,1,0xfff
44,1,26,29,F36,C12,C11,12,1,0xfff
45,1,27,30,F36,C37,C18,12,1,0xfff
46,1,32,35,F36,X35,C29,9,0,0x1ff
47,1,32,38,F36,X35,X36,9,0,0xe3f
48,1,33,36,F36,C07,C15,12,1,0xfff
49,1,33,39,F36,C07,C21,12,1,0xfff
50,1,35,38,F36,C29,X36,12,1,0xfff
51,1,36,39,F36,C15,C21,12,1,0xfff
52,2,5,9,C00,C13,C04,12,1,0xfff
53,2,5,10,C00,C13,C28,12,1,0xfff
54,2,6,7,C00,C08,C27,9,0,0x1ff
55,2,6,11,C00,C08,C17,12,1,0xfff
56,2,7,11,C00,C27,C17,12,1,0xfff
57,2,9,10,C00,C04,C28,12,1,0xfff
58,2,14,18,C00,C16,C33,12,1,0xfff
59,2,14,19,C00,C16,F35,9,0,0x1ff
60,2,15,16,C00,C26,C14,12,1,0xfff
61,2,15,20,C00,C26,C32,12,1,0xfff
62,2,16,20,C00,C14,C32,12,1,0xfff
63,2,18,19,C00,C33,F35,12,1,0xfff
64,2,23,27,C00,C25,C37,12,1,0xfff
65,2,23,28,C00,C25,C05,12,1,0xfff
66,2,24,25,C00,C24,C34,12,1,0xfff
67,2,24,29,C00,C24,C11,12,1,0xfff
68,2,25,29,C00,C34,C11,12,1,0xfff
