a,b,c,outer_quad,hol_mod12,cover_mask,cover_size,cover12
4,13,22,0 1 2 3,3,511,9,0
4,13,31,0 1 2 3,9,4095,12,1
4,22,31,0 1 2 3,3,4095,12,1
13,22,31,0 1 2 3,9,4095,12,1
4,14,23,0 10 11 12,3,511,9,0
4,14,32,0 10 11 12,9,4095,12,1
4,23,32,0 10 11 12,3,4088,9,0
14,23,32,0 10 11 12,9,4095,12,1
5,13,23,0 16 17 18,3,511,9,0
5,13,33,0 16 17 18,9,4095,12,1
5,23,33,0 16 17 18,3,4095,12,1
13,23,33,0 16 17 18,9,4095,12,1
6,13,24,0 19 20 21,3,4095,12,1
6,13,32,0 19 20 21,9,4095,12,1
6,24,32,0 19 20 21,3,4095,12,1
13,24,32,0 19 20 21,9,4095,12,1
5,15,22,0 25 26 27,3,4095,12,1
5,15,32,0 25 26 27,9,4095,12,1
5,22,32,0 25 26 27,3,4095,12,1
15,22,32,0 25 26 27,9,4095,12,1
6,14,22,0 28 29 30,3,4095,12,1
6,14,33,0 28 29 30,9,4095,12,1
6,22,33,0 28 29 30,3,4095,12,1
14,22,33,0 28 29 30,9,4095,12,1
5,14,24,0 34 35 36,3,511,9,0
5,14,31,0 34 35 36,9,4095,12,1
5,24,31,0 34 35 36,3,4095,12,1
14,24,31,0 34 35 36,9,4095,12,1
6,15,23,0 37 38 39,3,4095,12,1
6,15,31,0 37 38 39,9,4095,12,1
6,23,31,0 37 38 39,3,4095,12,1
15,23,31,0 37 38 39,9,4095,12,1
4,15,24,0 7 8 9,3,4095,12,1
4,15,33,0 7 8 9,9,4095,12,1
4,24,33,0 7 8 9,3,4088,9,0
15,24,33,0 7 8 9,9,4095,12,1
10,13,28,1 14 17 20,3,4095,12,1
10,13,34,1 14 17 20,9,4095,12,1
10,28,34,1 14 17 20,3,4095,12,1
13,28,34,1 14 17 20,9,4095,12,1
7,13,25,1 15 18 21,3,4095,12,1
7,13,37,1 15 18 21,9,4095,12,1
7,25,37,1 15 18 21,3,4095,12,1
13,25,37,1 15 18 21,9,4095,12,1
10,16,22,1 23 26 29,3,4095,12,1
10,16,37,1 23 26 29,9,4095,12,1
10,22,37,1 23 26 29,3,4095,12,1
16,22,37,1 23 26 29,9,511,9,0
7,19,22,1 24 27 30,3,4095,12,1
7,19,34,1 24 27 30,9,4095,12,1
7,22,34,1 24 27 30,3,4095,12,1
19,22,34,1 24 27 30,9,4095,12,1
10,19,25,1 32 35 38,3,4095,12,1
10,19,31,1 32 35 38,9,4039,9,0
10,25,31,1 32 35 38,3,4095,12,1
19,25,31,1 32 35 38,9,4095,12,1
7,16,28,1 33 36 39,3,4095,12,1
7,16,31,1 33 36 39,9,4095,12,1
7,28,31,1 33 36 39,3,4095,12,1
16,28,31,1 33 36 39,9,4095,12,1
4,16,25,1 5 8 11,3,4095,12,1
4,16,34,1 5 8 11,9,4095,12,1
4,25,34,1 5 8 11,3,4095,12,1
16,25,34,1 5 8 11,9,4095,12,1
4,19,28,1 6 9 12,3,4095,12,1
4,19,37,1 6 9 12,9,4095,12,1
4,28,37,1 6 9 12,3,4095,12,1
19,28,37,1 6 9 12,9,4095,12,1
1,14,17,10 13 28 34,3,4095,12,1
1,14,20,10 13 28 34,9,4095,12,1
1,17,20,10 13 28 34,3,4095,12,1
14,17,20,10 13 28 34,9,4095,12,1
7,14,26,10 15 30 36,9,4095,12,1
7,14,38,10 15 30 36,3,4095,12,1
7,26,38,10 15 30 36,9,4095,12,1
14,26,38,10 15 30 36,3,511,9,0
1,23,26,10 16 22 37,3,4095,12,1
1,23,29,10 16 22 37,9,4088,9,0
1,26,29,10 16 22 37,3,4095,12,1
23,26,29,10 16 22 37,9,4095,12,1
7,20,23,10 18 24 39,9,4095,12,1
7,20,35,10 18 24 39,3,4095,12,1
7,23,35,10 18 24 39,9,4095,12,1
20,23,35,10 18 24 39,3,511,9,0
1,32,35,10 19 25 31,3,4095,12,1
1,32,38,10 19 25 31,9,4088,9,0
1,35,38,10 19 25 31,3,4095,12,1
32,35,38,10 19 25 31,9,4095,12,1
7,17,29,10 21 27 33,9,4095,12,1
7,17,32,10 21 27 33,3,4095,12,1
7,29,32,10 21 27 33,9,4088,9,0
17,29,32,10 21 27 33,3,4095,12,1
3,14,16,11 13 29 36,3,511,9,0
3,14,21,11 13 29 36,9,4095,12,1
