cycle_index,cycle_length,step,delta,removed_phase_sum_mod8,added_phase_sum_mod8,support_4set_nums,support_4set_syms,triad_id,triad_w33_points,triad_hol_mod12,triad_cover_size,triad_cover12,triad_cover_syms,adjacent_to_prev,transition_ok_prev_edge,node_ok
0,4,0,4,0,4,3 7 10 11,3 7 a b,211,9 16 32,3,9,0,3 4 5 6 7 8 9 a b,1,1,1
0,4,1,0,0,0,1 2 3 7,1 2 3 7,223,9 30 32,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
0,4,2,2,6,0,1 3 10 11,1 3 a b,210,9 16 30,9,9,0,0 1 2 3 4 5 9 a b,1,1,1
0,4,3,2,6,0,1 2 7 10,1 2 7 a,223,9 30 32,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,0,0,6,6,0 3 8 9,0 3 8 9,82,3 14 16,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,1,0,4,4,3 7 8 10,3 7 8 a,86,3 16 21,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,2,6,0,6,3 6 10 11,3 6 a b,82,3 14 16,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,3,0,0,0,4 5 6 10,4 5 6 a,288,14 16 21,9,9,0,3 4 5 6 7 8 9 a b,1,1,1
1,9,4,2,6,0,4 6 7 8,4 6 7 8,83,3 14 21,9,9,0,0 1 2 3 4 5 6 7 8,1,1,1
1,9,5,0,6,6,0 4 8 9,0 4 8 9,82,3 14 16,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,6,6,2,0,3 6 7 11,3 6 7 b,86,3 16 21,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,7,6,0,6,4 5 9 10,4 5 9 a,82,3 14 16,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
1,9,8,4,0,4,3 7 9 10,3 7 9 a,288,14 16 21,9,9,0,3 4 5 6 7 8 9 a b,1,1,1
2,11,0,2,6,0,1 2 7 10,1 2 7 a,59,2 14 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,1,0,6,6,0 3 8 9,0 3 8 9,290,14 18 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,2,0,6,6,1 3 8 10,1 3 8 a,59,2 14 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,3,2,6,0,1 2 7 8,1 2 7 8,290,14 18 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,4,6,0,6,3 6 10 11,3 6 a b,58,2 14 18,3,9,0,3 4 5 6 7 8 9 a b,1,1,1
2,11,5,0,0,0,4 5 6 10,4 5 6 a,290,14 18 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,6,2,6,0,4 6 7 8,4 6 7 8,59,2 14 19,9,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,7,0,6,6,0 4 8 9,0 4 8 9,63,2 18 19,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,8,6,2,0,3 6 7 11,3 6 7 b,58,2 14 18,3,9,0,3 4 5 6 7 8 9 a b,1,1,1
2,11,9,6,0,6,4 5 9 10,4 5 9 a,63,2 18 19,3,12,1,0 1 2 3 4 5 6 7 8 9 a b,1,1,1
2,11,10,4,0,4,3 7 9 10,3 7 9 a,58,2 14 18,3,9,0,3 4 5 6 7 8 9 a b,1,1,1
