triad_id,w33_points,centers,hol_mod12,hol_phase,n12_points,cover_mask,cover_size,cover12
0,0 1 2,4 13 22 31,9,-i,X35 C00 C33,4095,12,1
1,0 1 3,4 13 22 31,3,i,X35 C00 C23,511,9,0
2,0 2 3,4 13 22 31,9,-i,X35 C33 C23,4095,12,1
3,0 7 8,4 15 24 33,9,-i,X35 C20 C31,4095,12,1
4,0 7 9,4 15 24 33,3,i,X35 C20 C11,4095,12,1
5,0 8 9,4 15 24 33,9,-i,X35 C31 C11,3647,9,0
6,0 10 11,4 14 23 32,3,i,X35 C16 C24,4095,12,1
7,0 10 12,4 14 23 32,9,-i,X35 C16 C26,4095,12,1
8,0 11 12,4 14 23 32,3,i,X35 C24 C26,4095,12,1
9,0 16 17,5 13 23 33,9,-i,X35 X36 C12,4095,12,1
10,0 16 18,5 13 23 33,3,i,X35 X36 C06,3640,6,0
11,0 17 18,5 13 23 33,9,-i,X35 C12 C06,4095,12,1
12,0 19 20,6 13 24 32,3,i,X35 C28 C21,3647,9,0
13,0 19 21,6 13 24 32,9,-i,X35 C28 C27,4095,12,1
14,0 20 21,6 13 24 32,3,i,X35 C21 C27,4095,12,1
15,0 25 26,5 15 22 32,9,-i,X35 C37 C07,4088,9,0
16,0 25 27,5 15 22 32,3,i,X35 C37 F36,4095,12,1
17,0 26 27,5 15 22 32,9,-i,X35 C07 F36,4095,12,1
18,0 28 29,6 14 22 33,3,i,X35 C10 F35,504,6,0
19,0 28 30,6 14 22 33,9,-i,X35 C10 C01,4095,12,1
20,0 29 30,6 14 22 33,3,i,X35 F35 C01,4095,12,1
21,0 34 35,5 14 24 31,9,-i,X35 C17 C02,4095,12,1
22,0 34 36,5 14 24 31,3,i,X35 C17 C09,4095,12,1
23,0 35 36,5 14 24 31,9,-i,X35 C02 C09,4095,12,1
24,0 37 38,6 15 23 31,3,i,X35 C03 C34,4095,12,1
25,0 37 39,6 15 23 31,9,-i,X35 C03 C15,4088,9,0
26,0 38 39,6 15 23 31,3,i,X35 C34 C15,4095,12,1
27,1 2 3,4 13 22 31,3,i,C00 C33 C23,4095,12,1
28,1 5 8,4 16 25 34,3,i,C00 C13 C31,4095,12,1
29,1 5 11,4 16 25 34,9,-i,C00 C13 C24,4095,12,1
30,1 6 9,4 19 28 37,9,-i,C00 C05 C11,4095,12,1
31,1 6 12,4 19 28 37,3,i,C00 C05 C26,4095,12,1
32,1 8 11,4 16 25 34,3,i,C00 C31 C24,4095,12,1
33,1 9 12,4 19 28 37,9,-i,C00 C11 C26,4095,12,1
34,1 14 17,10 13 28 34,3,i,C00 C29 C12,511,9,0
35,1 14 20,10 13 28 34,9,-i,C00 C29 C21,4095,12,1
36,1 15 18,7 13 25 37,9,-i,C00 C18 C06,4095,12,1
37,1 15 21,7 13 25 37,3,i,C00 C18 C27,511,9,0
38,1 17 20,10 13 28 34,3,i,C00 C12 C21,4095,12,1
39,1 18 21,7 13 25 37,9,-i,C00 C06 C27,4095,12,1
40,1 23 26,10 16 22 37,3,i,C00 C14 C07,4095,12,1
41,1 23 29,10 16 22 37,9,-i,C00 C14 F35,4095,12,1
42,1 24 27,7 19 22 34,9,-i,C00 C19 F36,4095,12,1
43,1 24 30,7 19 22 34,3,i,C00 C19 C01,4095,12,1
44,1 26 29,10 16 22 37,3,i,C00 C07 F35,4095,12,1
45,1 27 30,7 19 22 34,9,-i,C00 F36 C01,4095,12,1
46,1 32 35,10 19 25 31,3,i,C00 C25 C02,4095,12,1
47,1 32 38,10 19 25 31,9,-i,C00 C25 C34,4095,12,1
48,1 33 36,7 16 28 31,9,-i,C00 C32 C09,4095,12,1
49,1 33 39,7 16 28 31,3,i,C00 C32 C15,4095,12,1
