triad_id,triad_points,holonomy_mod12,holonomy_sign,outer_quad_centers,component_id
0,0 1 2,9,-i,4 13 22 31,0
1,0 1 3,3,i,4 13 22 31,0
2,0 2 3,9,-i,4 13 22 31,0
3,0 7 8,9,-i,4 15 24 33,1
4,0 7 9,3,i,4 15 24 33,1
5,0 8 9,9,-i,4 15 24 33,1
6,0 10 11,3,i,4 14 23 32,2
7,0 10 12,9,-i,4 14 23 32,2
8,0 11 12,3,i,4 14 23 32,2
9,0 16 17,9,-i,5 13 23 33,3
10,0 16 18,3,i,5 13 23 33,3
11,0 17 18,9,-i,5 13 23 33,3
12,0 19 20,3,i,6 13 24 32,4
13,0 19 21,9,-i,6 13 24 32,4
14,0 20 21,3,i,6 13 24 32,4
15,0 25 26,9,-i,5 15 22 32,5
16,0 25 27,3,i,5 15 22 32,5
17,0 26 27,9,-i,5 15 22 32,5
18,0 28 29,3,i,6 14 22 33,6
19,0 28 30,9,-i,6 14 22 33,6
20,0 29 30,3,i,6 14 22 33,6
21,0 34 35,9,-i,5 14 24 31,7
22,0 34 36,3,i,5 14 24 31,7
23,0 35 36,9,-i,5 14 24 31,7
24,0 37 38,3,i,6 15 23 31,8
25,0 37 39,9,-i,6 15 23 31,8
26,0 38 39,3,i,6 15 23 31,8
27,1 2 3,3,i,4 13 22 31,0
28,1 5 8,3,i,4 16 25 34,9
29,1 5 11,9,-i,4 16 25 34,9
30,1 6 9,9,-i,4 19 28 37,10
31,1 6 12,3,i,4 19 28 37,10
32,1 8 11,3,i,4 16 25 34,9
33,1 9 12,9,-i,4 19 28 37,10
34,1 14 17,3,i,10 13 28 34,11
35,1 14 20,9,-i,10 13 28 34,11
36,1 15 18,9,-i,7 13 25 37,12
37,1 15 21,3,i,7 13 25 37,12
38,1 17 20,3,i,10 13 28 34,11
39,1 18 21,9,-i,7 13 25 37,12
40,1 23 26,3,i,10 16 22 37,13
41,1 23 29,9,-i,10 16 22 37,13
42,1 24 27,9,-i,7 19 22 34,14
43,1 24 30,3,i,7 19 22 34,14
44,1 26 29,3,i,10 16 22 37,13
45,1 27 30,9,-i,7 19 22 34,14
46,1 32 35,3,i,10 19 25 31,15
47,1 32 38,9,-i,10 19 25 31,15
48,1 33 36,9,-i,7 16 28 31,16
49,1 33 39,3,i,7 16 28 31,16
50,1 35 38,3,i,10 19 25 31,15
51,1 36 39,9,-i,7 16 28 31,16
52,2 5 9,3,i,4 17 26 35,17
53,2 5 10,9,-i,4 17 26 35,17
54,2 6 7,9,-i,4 21 30 39,18
55,2 6 11,3,i,4 21 30 39,18
56,2 7 11,9,-i,4 21 30 39,18
57,2 9 10,3,i,4 17 26 35,17
58,2 14 18,3,i,12 13 30 35,19
59,2 14 19,9,-i,12 13 30 35,19
60,2 15 16,9,-i,8 13 26 39,20
61,2 15 20,3,i,8 13 26 39,20
62,2 16 20,9,-i,8 13 26 39,20
63,2 18 19,3,i,12 13 30 35,19
64,2 23 27,3,i,12 17 22 39,21
65,2 23 28,9,-i,12 17 22 39,21
66,2 24 25,9,-i,8 21 22 35,22
67,2 24 29,3,i,8 21 22 35,22
68,2 25 29,9,-i,8 21 22 35,22
69,2 27 28,3,i,12 17 22 39,21
70,2 32 36,3,i,12 21 26 31,23
71,2 32 37,9,-i,12 21 26 31,23
72,2 33 34,9,-i,8 17 30 31,24
73,2 33 38,3,i,8 17 30 31,24
74,2 34 38,9,-i,8 17 30 31,24
75,2 36 37,3,i,12 21 26 31,23
76,3 5 7,3,i,4 18 27 36,25
77,3 5 12,9,-i,4 18 27 36,25
78,3 6 8,9,-i,4 20 29 38,26
79,3 6 10,3,i,4 20 29 38,26
80,3 7 12,3,i,4 18 27 36,25
81,3 8 10,9,-i,4 20 29 38,26
82,3 14 16,3,i,11 13 29 36,27
83,3 14 21,9,-i,11 13 29 36,27
84,3 15 17,9,-i,9 13 27 38,28
85,3 15 19,3,i,9 13 27 38,28
86,3 16 21,3,i,11 13 29 36,27
87,3 17 19,9,-i,9 13 27 38,28
88,3 23 25,3,i,11 18 22 38,29
89,3 23 30,9,-i,11 18 22 38,29
90,3 24 26,9,-i,9 20 22 36,30
91,3 24 28,3,i,9 20 22 36,30
92,3 25 30,3,i,11 18 22 38,29
93,3 26 28,9,-i,9 20 22 36,30
94,3 32 34,3,i,11 20 27 31,31
95,3 32 39,9,-i,11 20 27 31,31
96,3 33 35,9,-i,9 18 29 31,32
97,3 33 37,3,i,9 18 29 31,32
98,3 34 39,3,i,11 20 27 31,31
99,3 35 37,9,-i,9 18 29 31,32
100,4 13 22,3,i,0 1 2 3,33
101,4 13 31,9,-i,0 1 2 3,33
102,4 14 23,3,i,0 10 11 12,34
103,4 14 32,9,-i,0 10 11 12,34
104,4 15 24,3,i,0 7 8 9,35
105,4 15 33,9,-i,0 7 8 9,35
106,4 16 25,3,i,1 5 8 11,36
107,4 16 34,9,-i,1 5 8 11,36
108,4 17 26,3,i,2 5 9 10,37
109,4 17 35,9,-i,2 5 9 10,37
110,4 18 27,3,i,3 5 7 12,38
111,4 18 36,9,-i,3 5 7 12,38
112,4 19 28,3,i,1 6 9 12,39
113,4 19 37,9,-i,1 6 9 12,39
114,4 20 29,3,i,3 6 8 10,40
115,4 20 38,9,-i,3 6 8 10,40
