center_quad,outer_quad,from_excluded,to_excluded,shared_pair,comm_k4_mod12
4 13 22 31,0 1 2 3,0,1,2 3,6
4 13 22 31,0 1 2 3,0,2,1 3,6
4 13 22 31,0 1 2 3,0,3,1 2,6
4 13 22 31,0 1 2 3,1,0,2 3,6
4 13 22 31,0 1 2 3,1,2,0 3,6
4 13 22 31,0 1 2 3,1,3,0 2,6
4 13 22 31,0 1 2 3,2,0,1 3,6
4 13 22 31,0 1 2 3,2,1,0 3,6
4 13 22 31,0 1 2 3,2,3,0 1,6
4 13 22 31,0 1 2 3,3,0,1 2,6
4 13 22 31,0 1 2 3,3,1,0 2,6
4 13 22 31,0 1 2 3,3,2,0 1,6
4 15 24 33,0 7 8 9,0,7,8 9,6
4 15 24 33,0 7 8 9,0,8,7 9,6
4 15 24 33,0 7 8 9,0,9,7 8,6
4 15 24 33,0 7 8 9,7,0,8 9,6
4 15 24 33,0 7 8 9,7,8,0 9,6
4 15 24 33,0 7 8 9,7,9,0 8,6
4 15 24 33,0 7 8 9,8,0,7 9,6
4 15 24 33,0 7 8 9,8,7,0 9,6
4 15 24 33,0 7 8 9,8,9,0 7,6
4 15 24 33,0 7 8 9,9,0,7 8,6
4 15 24 33,0 7 8 9,9,7,0 8,6
4 15 24 33,0 7 8 9,9,8,0 7,6
4 14 23 32,0 10 11 12,0,10,11 12,6
4 14 23 32,0 10 11 12,0,11,10 12,6
4 14 23 32,0 10 11 12,0,12,10 11,6
4 14 23 32,0 10 11 12,10,0,11 12,6
4 14 23 32,0 10 11 12,10,11,0 12,6
4 14 23 32,0 10 11 12,10,12,0 11,6
4 14 23 32,0 10 11 12,11,0,10 12,6
4 14 23 32,0 10 11 12,11,10,0 12,6
4 14 23 32,0 10 11 12,11,12,0 10,6
4 14 23 32,0 10 11 12,12,0,10 11,6
4 14 23 32,0 10 11 12,12,10,0 11,6
4 14 23 32,0 10 11 12,12,11,0 10,6
5 13 23 33,0 16 17 18,0,16,17 18,6
5 13 23 33,0 16 17 18,0,17,16 18,6
5 13 23 33,0 16 17 18,0,18,16 17,6
5 13 23 33,0 16 17 18,16,0,17 18,6
5 13 23 33,0 16 17 18,16,17,0 18,6
5 13 23 33,0 16 17 18,16,18,0 17,6
5 13 23 33,0 16 17 18,17,0,16 18,6
5 13 23 33,0 16 17 18,17,16,0 18,6
5 13 23 33,0 16 17 18,17,18,0 16,6
5 13 23 33,0 16 17 18,18,0,16 17,6
5 13 23 33,0 16 17 18,18,16,0 17,6
5 13 23 33,0 16 17 18,18,17,0 16,6
6 13 24 32,0 19 20 21,0,19,20 21,6
6 13 24 32,0 19 20 21,0,20,19 21,6
6 13 24 32,0 19 20 21,0,21,19 20,6
6 13 24 32,0 19 20 21,19,0,20 21,6
6 13 24 32,0 19 20 21,19,20,0 21,6
6 13 24 32,0 19 20 21,19,21,0 20,6
6 13 24 32,0 19 20 21,20,0,19 21,6
6 13 24 32,0 19 20 21,20,19,0 21,6
6 13 24 32,0 19 20 21,20,21,0 19,6
6 13 24 32,0 19 20 21,21,0,19 20,6
6 13 24 32,0 19 20 21,21,19,0 20,6
6 13 24 32,0 19 20 21,21,20,0 19,6
5 15 22 32,0 25 26 27,0,25,26 27,6
5 15 22 32,0 25 26 27,0,26,25 27,6
5 15 22 32,0 25 26 27,0,27,25 26,6
5 15 22 32,0 25 26 27,25,0,26 27,6
5 15 22 32,0 25 26 27,25,26,0 27,6
5 15 22 32,0 25 26 27,25,27,0 26,6
5 15 22 32,0 25 26 27,26,0,25 27,6
5 15 22 32,0 25 26 27,26,25,0 27,6
5 15 22 32,0 25 26 27,26,27,0 25,6
5 15 22 32,0 25 26 27,27,0,25 26,6
5 15 22 32,0 25 26 27,27,25,0 26,6
5 15 22 32,0 25 26 27,27,26,0 25,6
6 14 22 33,0 28 29 30,0,28,29 30,6
6 14 22 33,0 28 29 30,0,29,28 30,6
6 14 22 33,0 28 29 30,0,30,28 29,6
6 14 22 33,0 28 29 30,28,0,29 30,6
6 14 22 33,0 28 29 30,28,29,0 30,6
6 14 22 33,0 28 29 30,28,30,0 29,6
6 14 22 33,0 28 29 30,29,0,28 30,6
6 14 22 33,0 28 29 30,29,28,0 30,6
6 14 22 33,0 28 29 30,29,30,0 28,6
6 14 22 33,0 28 29 30,30,0,28 29,6
6 14 22 33,0 28 29 30,30,28,0 29,6
6 14 22 33,0 28 29 30,30,29,0 28,6
5 14 24 31,0 34 35 36,0,34,35 36,6
5 14 24 31,0 34 35 36,0,35,34 36,6
5 14 24 31,0 34 35 36,0,36,34 35,6
5 14 24 31,0 34 35 36,34,0,35 36,6
5 14 24 31,0 34 35 36,34,35,0 36,6
5 14 24 31,0 34 35 36,34,36,0 35,6
5 14 24 31,0 34 35 36,35,0,34 36,6
5 14 24 31,0 34 35 36,35,34,0 36,6
5 14 24 31,0 34 35 36,35,36,0 34,6
5 14 24 31,0 34 35 36,36,0,34 35,6
5 14 24 31,0 34 35 36,36,34,0 35,6
5 14 24 31,0 34 35 36,36,35,0 34,6
6 15 23 31,0 37 38 39,0,37,38 39,6
6 15 23 31,0 37 38 39,0,38,37 39,6
6 15 23 31,0 37 38 39,0,39,37 38,6
6 15 23 31,0 37 38 39,37,0,38 39,6
6 15 23 31,0 37 38 39,37,38,0 39,6
6 15 23 31,0 37 38 39,37,39,0 38,6
6 15 23 31,0 37 38 39,38,0,37 39,6
6 15 23 31,0 37 38 39,38,37,0 39,6
6 15 23 31,0 37 38 39,38,39,0 37,6
6 15 23 31,0 37 38 39,39,0,37 38,6
6 15 23 31,0 37 38 39,39,37,0 38,6
6 15 23 31,0 37 38 39,39,38,0 37,6
4 16 25 34,1 5 8 11,1,5,8 11,6
4 16 25 34,1 5 8 11,1,8,5 11,6
4 16 25 34,1 5 8 11,1,11,5 8,6
4 16 25 34,1 5 8 11,5,1,8 11,6
4 16 25 34,1 5 8 11,5,8,1 11,6
4 16 25 34,1 5 8 11,5,11,1 8,6
4 16 25 34,1 5 8 11,8,1,5 11,6
4 16 25 34,1 5 8 11,8,5,1 11,6
4 16 25 34,1 5 8 11,8,11,1 5,6
4 16 25 34,1 5 8 11,11,1,5 8,6
4 16 25 34,1 5 8 11,11,5,1 8,6
4 16 25 34,1 5 8 11,11,8,1 5,6
4 19 28 37,1 6 9 12,1,6,9 12,6
4 19 28 37,1 6 9 12,1,9,6 12,6
4 19 28 37,1 6 9 12,1,12,6 9,6
4 19 28 37,1 6 9 12,6,1,9 12,6
4 19 28 37,1 6 9 12,6,9,1 12,6
4 19 28 37,1 6 9 12,6,12,1 9,6
4 19 28 37,1 6 9 12,9,1,6 12,6
4 19 28 37,1 6 9 12,9,6,1 12,6
4 19 28 37,1 6 9 12,9,12,1 6,6
4 19 28 37,1 6 9 12,12,1,6 9,6
4 19 28 37,1 6 9 12,12,6,1 9,6
4 19 28 37,1 6 9 12,12,9,1 6,6
10 13 28 34,1 14 17 20,1,14,17 20,6
10 13 28 34,1 14 17 20,1,17,14 20,6
10 13 28 34,1 14 17 20,1,20,14 17,6
10 13 28 34,1 14 17 20,14,1,17 20,6
10 13 28 34,1 14 17 20,14,17,1 20,6
10 13 28 34,1 14 17 20,14,20,1 17,6
10 13 28 34,1 14 17 20,17,1,14 20,6
10 13 28 34,1 14 17 20,17,14,1 20,6
10 13 28 34,1 14 17 20,17,20,1 14,6
10 13 28 34,1 14 17 20,20,1,14 17,6
10 13 28 34,1 14 17 20,20,14,1 17,6
10 13 28 34,1 14 17 20,20,17,1 14,6
7 13 25 37,1 15 18 21,1,15,18 21,6
7 13 25 37,1 15 18 21,1,18,15 21,6
7 13 25 37,1 15 18 21,1,21,15 18,6
7 13 25 37,1 15 18 21,15,1,18 21,6
7 13 25 37,1 15 18 21,15,18,1 21,6
7 13 25 37,1 15 18 21,15,21,1 18,6
7 13 25 37,1 15 18 21,18,1,15 21,6
7 13 25 37,1 15 18 21,18,15,1 21,6
7 13 25 37,1 15 18 21,18,21,1 15,6
7 13 25 37,1 15 18 21,21,1,15 18,6
7 13 25 37,1 15 18 21,21,15,1 18,6
7 13 25 37,1 15 18 21,21,18,1 15,6
10 16 22 37,1 23 26 29,1,23,26 29,6
10 16 22 37,1 23 26 29,1,26,23 29,6
10 16 22 37,1 23 26 29,1,29,23 26,6
10 16 22 37,1 23 26 29,23,1,26 29,6
10 16 22 37,1 23 26 29,23,26,1 29,6
10 16 22 37,1 23 26 29,23,29,1 26,6
10 16 22 37,1 23 26 29,26,1,23 29,6
10 16 22 37,1 23 26 29,26,23,1 29,6
10 16 22 37,1 23 26 29,26,29,1 23,6
10 16 22 37,1 23 26 29,29,1,23 26,6
10 16 22 37,1 23 26 29,29,23,1 26,6
10 16 22 37,1 23 26 29,29,26,1 23,6
7 19 22 34,1 24 27 30,1,24,27 30,6
7 19 22 34,1 24 27 30,1,27,24 30,6
7 19 22 34,1 24 27 30,1,30,24 27,6
7 19 22 34,1 24 27 30,24,1,27 30,6
7 19 22 34,1 24 27 30,24,27,1 30,6
7 19 22 34,1 24 27 30,24,30,1 27,6
7 19 22 34,1 24 27 30,27,1,24 30,6
7 19 22 34,1 24 27 30,27,24,1 30,6
7 19 22 34,1 24 27 30,27,30,1 24,6
7 19 22 34,1 24 27 30,30,1,24 27,6
7 19 22 34,1 24 27 30,30,24,1 27,6
7 19 22 34,1 24 27 30,30,27,1 24,6
10 19 25 31,1 32 35 38,1,32,35 38,6
10 19 25 31,1 32 35 38,1,35,32 38,6
10 19 25 31,1 32 35 38,1,38,32 35,6
10 19 25 31,1 32 35 38,32,1,35 38,6
10 19 25 31,1 32 35 38,32,35,1 38,6
10 19 25 31,1 32 35 38,32,38,1 35,6
10 19 25 31,1 32 35 38,35,1,32 38,6
10 19 25 31,1 32 35 38,35,32,1 38,6
10 19 25 31,1 32 35 38,35,38,1 32,6
10 19 25 31,1 32 35 38,38,1,32 35,6
10 19 25 31,1 32 35 38,38,32,1 35,6
10 19 25 31,1 32 35 38,38,35,1 32,6
7 16 28 31,1 33 36 39,1,33,36 39,6
7 16 28 31,1 33 36 39,1,36,33 39,6
7 16 28 31,1 33 36 39,1,39,33 36,6
7 16 28 31,1 33 36 39,33,1,36 39,6
7 16 28 31,1 33 36 39,33,36,1 39,6
7 16 28 31,1 33 36 39,33,39,1 36,6
7 16 28 31,1 33 36 39,36,1,33 39,6
7 16 28 31,1 33 36 39,36,33,1 39,6
