component_id,center_quad,outer_quad,triad,triad_index,excluded_point
0,0 1 2 3,4 13 22 31,4 13 22,100,31
0,0 1 2 3,4 13 22 31,4 13 31,101,22
0,0 1 2 3,4 13 22 31,4 22 31,118,13
0,0 1 2 3,4 13 22 31,13 22 31,279,4
1,0 7 8 9,4 15 24 33,4 15 24,104,33
1,0 7 8 9,4 15 24 33,4 15 33,105,24
1,0 7 8 9,4 15 24 33,4 24 33,120,15
1,0 7 8 9,4 15 24 33,15 24 33,302,4
2,0 10 11 12,4 14 23 32,4 14 23,102,32
2,0 10 11 12,4 14 23 32,4 14 32,103,23
2,0 10 11 12,4 14 23 32,4 23 32,119,14
2,0 10 11 12,4 14 23 32,14 23 32,292,4
3,0 16 17 18,5 13 23 33,5 13 23,130,33
3,0 16 17 18,5 13 23 33,5 13 33,131,23
3,0 16 17 18,5 13 23 33,5 23 33,143,13
3,0 16 17 18,5 13 23 33,13 23 33,280,5
4,0 19 20 21,6 13 24 32,6 13 24,151,32
4,0 19 20 21,6 13 24 32,6 13 32,152,24
4,0 19 20 21,6 13 24 32,6 24 32,165,13
4,0 19 20 21,6 13 24 32,13 24 32,281,6
5,0 25 26 27,5 15 22 32,5 15 22,134,32
5,0 25 26 27,5 15 22 32,5 15 32,135,22
5,0 25 26 27,5 15 22 32,5 22 32,142,15
5,0 25 26 27,5 15 22 32,15 22 32,300,5
6,0 28 29 30,6 14 22 33,6 14 22,153,33
6,0 28 29 30,6 14 22 33,6 14 33,154,22
6,0 28 29 30,6 14 22 33,6 22 33,163,14
6,0 28 29 30,6 14 22 33,14 22 33,291,6
7,0 34 35 36,5 14 24 31,5 14 24,132,31
7,0 34 35 36,5 14 24 31,5 14 31,133,24
7,0 34 35 36,5 14 24 31,5 24 31,144,14
7,0 34 35 36,5 14 24 31,14 24 31,293,5
8,0 37 38 39,6 15 23 31,6 15 23,155,31
8,0 37 38 39,6 15 23 31,6 15 31,156,23
8,0 37 38 39,6 15 23 31,6 23 31,164,15
8,0 37 38 39,6 15 23 31,15 23 31,301,6
9,1 5 8 11,4 16 25 34,4 16 25,106,34
9,1 5 8 11,4 16 25 34,4 16 34,107,25
9,1 5 8 11,4 16 25 34,4 25 34,121,16
9,1 5 8 11,4 16 25 34,16 25 34,309,4
10,1 6 9 12,4 19 28 37,4 19 28,112,37
10,1 6 9 12,4 19 28 37,4 19 37,113,28
10,1 6 9 12,4 19 28 37,4 28 37,124,19
10,1 6 9 12,4 19 28 37,19 28 37,330,4
11,1 14 17 20,10 13 28 34,10 13 28,225,34
11,1 14 17 20,10 13 28 34,10 13 34,226,28
11,1 14 17 20,10 13 28 34,10 28 34,241,13
11,1 14 17 20,10 13 28 34,13 28 34,285,10
12,1 15 18 21,7 13 25 37,7 13 25,170,37
12,1 15 18 21,7 13 25 37,7 13 37,171,25
12,1 15 18 21,7 13 25 37,7 25 37,184,13
12,1 15 18 21,7 13 25 37,13 25 37,282,7
13,1 23 26 29,10 16 22 37,10 16 22,229,37
13,1 23 26 29,10 16 22 37,10 16 37,230,22
13,1 23 26 29,10 16 22 37,10 22 37,237,16
13,1 23 26 29,10 16 22 37,16 22 37,307,10
14,1 24 27 30,7 19 22 34,7 19 22,178,34
14,1 24 27 30,7 19 22 34,7 19 34,179,22
14,1 24 27 30,7 19 22 34,7 22 34,182,19
14,1 24 27 30,7 19 22 34,19 22 34,326,7
15,1 32 35 38,10 19 25 31,10 19 25,233,31
15,1 32 35 38,10 19 25 31,10 19 31,234,25
15,1 32 35 38,10 19 25 31,10 25 31,239,19
15,1 32 35 38,10 19 25 31,19 25 31,328,10
16,1 33 36 39,7 16 28 31,7 16 28,174,31
16,1 33 36 39,7 16 28 31,7 16 31,175,28
16,1 33 36 39,7 16 28 31,7 28 31,186,16
16,1 33 36 39,7 16 28 31,16 28 31,311,7
17,2 5 9 10,4 17 26 35,4 17 26,108,35
17,2 5 9 10,4 17 26 35,4 17 35,109,26
17,2 5 9 10,4 17 26 35,4 26 35,122,17
17,2 5 9 10,4 17 26 35,17 26 35,316,4
18,2 6 7 11,4 21 30 39,4 21 30,116,39
18,2 6 7 11,4 21 30 39,4 21 39,117,30
18,2 6 7 11,4 21 30 39,4 30 39,126,21
18,2 6 7 11,4 21 30 39,21 30 39,343,4
19,2 14 18 19,12 13 30 35,12 13 30,261,35
19,2 14 18 19,12 13 30 35,12 13 35,262,30
19,2 14 18 19,12 13 30 35,12 30 35,278,13
19,2 14 18 19,12 13 30 35,13 30 35,287,12
20,2 15 16 20,8 13 26 39,8 13 26,188,39
20,2 15 16 20,8 13 26 39,8 13 39,189,26
20,2 15 16 20,8 13 26 39,8 26 39,202,13
20,2 15 16 20,8 13 26 39,13 26 39,283,8
21,2 23 27 28,12 17 22 39,12 17 22,267,39
21,2 23 27 28,12 17 22 39,12 17 39,268,22
21,2 23 27 28,12 17 22 39,12 22 39,273,17
21,2 23 27 28,12 17 22 39,17 22 39,313,12
22,2 24 25 29,8 21 22 35,8 21 22,198,35
22,2 24 25 29,8 21 22 35,8 21 35,199,22
22,2 24 25 29,8 21 22 35,8 22 35,200,21
22,2 24 25 29,8 21 22 35,21 22 35,338,8
23,2 32 36 37,12 21 26 31,12 21 26,271,31
23,2 32 36 37,12 21 26 31,12 21 31,272,26
23,2 32 36 37,12 21 26 31,12 26 31,276,21
23,2 32 36 37,12 21 26 31,21 26 31,340,12
24,2 33 34 38,8 17 30 31,8 17 30,192,31
24,2 33 34 38,8 17 30 31,8 17 31,193,30
24,2 33 34 38,8 17 30 31,8 30 31,205,17
24,2 33 34 38,8 17 30 31,17 30 31,318,8
25,3 5 7 12,4 18 27 36,4 18 27,110,36
25,3 5 7 12,4 18 27 36,4 18 36,111,27
25,3 5 7 12,4 18 27 36,4 27 36,123,18
25,3 5 7 12,4 18 27 36,18 27 36,322,4
26,3 6 8 10,4 20 29 38,4 20 29,114,38
26,3 6 8 10,4 20 29 38,4 20 38,115,29
26,3 6 8 10,4 20 29 38,4 29 38,125,20
26,3 6 8 10,4 20 29 38,20 29 38,336,4
27,3 14 16 21,11 13 29 36,11 13 29,243,36
27,3 14 16 21,11 13 29 36,11 13 36,244,29
27,3 14 16 21,11 13 29 36,11 29 36,260,13
27,3 14 16 21,11 13 29 36,13 29 36,286,11
28,3 15 17 19,9 13 27 38,9 13 27,206,38
28,3 15 17 19,9 13 27 38,9 13 38,207,27
28,3 15 17 19,9 13 27 38,9 27 38,221,13
28,3 15 17 19,9 13 27 38,13 27 38,284,9
29,3 23 25 30,11 18 22 38,11 18 22,249,38
29,3 23 25 30,11 18 22 38,11 18 38,250,22
29,3 23 25 30,11 18 22 38,11 22 38,255,18
29,3 23 25 30,11 18 22 38,18 22 38,319,11
30,3 24 26 28,9 20 22 36,9 20 22,214,36
30,3 24 26 28,9 20 22 36,9 20 36,215,22
30,3 24 26 28,9 20 22 36,9 22 36,218,20
30,3 24 26 28,9 20 22 36,20 22 36,332,9
31,3 32 34 39,11 20 27 31,11 20 27,253,31
31,3 32 34 39,11 20 27 31,11 20 31,254,27
31,3 32 34 39,11 20 27 31,11 27 31,258,20
31,3 32 34 39,11 20 27 31,20 27 31,335,11
32,3 33 35 37,9 18 29 31,9 18 29,212,31
32,3 33 35 37,9 18 29 31,9 18 31,213,29
32,3 33 35 37,9 18 29 31,9 29 31,222,18
32,3 33 35 37,9 18 29 31,18 29 31,324,9
33,4 13 22 31,0 1 2 3,0 1 2,0,3
33,4 13 22 31,0 1 2 3,0 1 3,1,2
33,4 13 22 31,0 1 2 3,0 2 3,2,1
33,4 13 22 31,0 1 2 3,1 2 3,27,0
34,4 14 23 32,0 10 11 12,0 10 11,6,12
34,4 14 23 32,0 10 11 12,0 10 12,7,11
34,4 14 23 32,0 10 11 12,0 11 12,8,10
34,4 14 23 32,0 10 11 12,10 11 12,224,0
35,4 15 24 33,0 7 8 9,0 7 8,3,9
35,4 15 24 33,0 7 8 9,0 7 9,4,8
35,4 15 24 33,0 7 8 9,0 8 9,5,7
35,4 15 24 33,0 7 8 9,7 8 9,169,0
36,4 16 25 34,1 5 8 11,1 5 8,28,11
36,4 16 25 34,1 5 8 11,1 5 11,29,8
36,4 16 25 34,1 5 8 11,1 8 11,32,5
36,4 16 25 34,1 5 8 11,5 8 11,128,1
37,4 17 26 35,2 5 9 10,2 5 9,52,10
37,4 17 26 35,2 5 9 10,2 5 10,53,9
37,4 17 26 35,2 5 9 10,2 9 10,57,5
37,4 17 26 35,2 5 9 10,5 9 10,129,2
38,4 18 27 36,3 5 7 12,3 5 7,76,12
38,4 18 27 36,3 5 7 12,3 5 12,77,7
38,4 18 27 36,3 5 7 12,3 7 12,80,5
38,4 18 27 36,3 5 7 12,5 7 12,127,3
39,4 19 28 37,1 6 9 12,1 6 9,30,12
39,4 19 28 37,1 6 9 12,1 6 12,31,9
39,4 19 28 37,1 6 9 12,1 9 12,33,6
39,4 19 28 37,1 6 9 12,6 9 12,150,1
40,4 20 29 38,3 6 8 10,3 6 8,78,10
40,4 20 29 38,3 6 8 10,3 6 10,79,8
40,4 20 29 38,3 6 8 10,3 8 10,81,6
40,4 20 29 38,3 6 8 10,6 8 10,149,3
41,4 21 30 39,2 6 7 11,2 6 7,54,11
41,4 21 30 39,2 6 7 11,2 6 11,55,7
41,4 21 30 39,2 6 7 11,2 7 11,56,6
41,4 21 30 39,2 6 7 11,6 7 11,148,2
42,5 13 23 33,0 16 17 18,0 16 17,9,18
42,5 13 23 33,0 16 17 18,0 16 18,10,17
42,5 13 23 33,0 16 17 18,0 17 18,11,16
42,5 13 23 33,0 16 17 18,16 17 18,306,0
43,5 14 24 31,0 34 35 36,0 34 35,21,36
43,5 14 24 31,0 34 35 36,0 34 36,22,35
43,5 14 24 31,0 34 35 36,0 35 36,23,34
43,5 14 24 31,0 34 35 36,34 35 36,358,0
44,5 15 22 32,0 25 26 27,0 25 26,15,27
44,5 15 22 32,0 25 26 27,0 25 27,16,26
44,5 15 22 32,0 25 26 27,0 26 27,17,25
44,5 15 22 32,0 25 26 27,25 26 27,350,0
45,5 19 29 39,6 16 27 35,6 16 27,157,35
45,5 19 29 39,6 16 27 35,6 16 35,158,27
45,5 19 29 39,6 16 27 35,6 27 35,168,16
45,5 19 29 39,6 16 27 35,16 27 35,310,6
46,5 20 30 37,6 18 26 34,6 18 26,161,34
46,5 20 30 37,6 18 26 34,6 18 34,162,26
46,5 20 30 37,6 18 26 34,6 26 34,167,18
46,5 20 30 37,6 18 26 34,18 26 34,321,6
47,5 21 28 38,6 17 25 36,6 17 25,159,36
47,5 21 28 38,6 17 25 36,6 17 36,160,25
47,5 21 28 38,6 17 25 36,6 25 36,166,17
47,5 21 28 38,6 17 25 36,17 25 36,315,6
48,6 13 24 32,0 19 20 21,0 19 20,12,21
48,6 13 24 32,0 19 20 21,0 19 21,13,20
48,6 13 24 32,0 19 20 21,0 20 21,14,19
48,6 13 24 32,0 19 20 21,19 20 21,325,0
