component_id,center_quad,outer_quad,triad_a,triad_b,triad_a_idx,triad_b_idx,excluded_a,excluded_b,edge_matching_idx,matching_pairs
0,0 1 2 3,4 13 22 31,4 13 22,4 13 31,100,101,31,22,0,"((4, 13), (22, 31))"
0,0 1 2 3,4 13 22 31,4 13 22,4 22 31,100,118,31,13,1,"((4, 22), (13, 31))"
0,0 1 2 3,4 13 22 31,4 13 22,13 22 31,100,279,31,4,2,"((4, 31), (13, 22))"
0,0 1 2 3,4 13 22 31,4 13 31,4 22 31,101,118,22,13,2,"((4, 31), (13, 22))"
0,0 1 2 3,4 13 22 31,4 13 31,13 22 31,101,279,22,4,1,"((4, 22), (13, 31))"
0,0 1 2 3,4 13 22 31,4 22 31,13 22 31,118,279,13,4,0,"((4, 13), (22, 31))"
1,0 7 8 9,4 15 24 33,4 15 24,4 15 33,104,105,33,24,0,"((4, 15), (24, 33))"
1,0 7 8 9,4 15 24 33,4 15 24,4 24 33,104,120,33,15,1,"((4, 24), (15, 33))"
1,0 7 8 9,4 15 24 33,4 15 24,15 24 33,104,302,33,4,2,"((4, 33), (15, 24))"
1,0 7 8 9,4 15 24 33,4 15 33,4 24 33,105,120,24,15,2,"((4, 33), (15, 24))"
1,0 7 8 9,4 15 24 33,4 15 33,15 24 33,105,302,24,4,1,"((4, 24), (15, 33))"
1,0 7 8 9,4 15 24 33,4 24 33,15 24 33,120,302,15,4,0,"((4, 15), (24, 33))"
2,0 10 11 12,4 14 23 32,4 14 23,4 14 32,102,103,32,23,0,"((4, 14), (23, 32))"
2,0 10 11 12,4 14 23 32,4 14 23,4 23 32,102,119,32,14,1,"((4, 23), (14, 32))"
2,0 10 11 12,4 14 23 32,4 14 23,14 23 32,102,292,32,4,2,"((4, 32), (14, 23))"
2,0 10 11 12,4 14 23 32,4 14 32,4 23 32,103,119,23,14,2,"((4, 32), (14, 23))"
2,0 10 11 12,4 14 23 32,4 14 32,14 23 32,103,292,23,4,1,"((4, 23), (14, 32))"
