cycle_index,step,u,v,delta,rem_idx,add_idx,move_port,moved,triad_hol_mod12,triad_phase,cover_size
0,0,12,10,4,0,2,0,1,3,(6.123233995736766e-17+1j),9
0,1,10,33,0,0,1,-1,0,9,(-1.8369701987210297e-16-1j),12
0,2,33,15,2,1,0,1,1,9,(-1.8369701987210297e-16-1j),12
0,3,15,12,2,0,2,2,1,9,(-1.8369701987210297e-16-1j),9
1,0,20,40,0,1,2,1,1,3,(6.123233995736766e-17+1j),12
1,1,40,5,0,2,1,-1,0,3,(6.123233995736766e-17+1j),9
1,2,5,46,6,1,2,2,1,3,(6.123233995736766e-17+1j),9
1,3,46,36,0,1,0,1,1,9,(-1.8369701987210297e-16-1j),12
1,4,36,43,2,0,2,2,1,9,(-1.8369701987210297e-16-1j),9
1,5,43,57,0,2,1,1,1,3,(6.123233995736766e-17+1j),12
1,6,57,48,6,1,2,-1,0,3,(6.123233995736766e-17+1j),9
1,7,48,0,6,0,1,2,1,3,(6.123233995736766e-17+1j),9
1,8,0,20,4,0,1,0,1,9,(-1.8369701987210297e-16-1j),12
2,0,20,38,2,0,2,-1,0,9,(-1.8369701987210297e-16-1j),12
2,1,38,56,0,1,2,-1,0,9,(-1.8369701987210297e-16-1j),12
2,2,56,47,0,1,2,1,1,9,(-1.8369701987210297e-16-1j),12
2,3,47,5,2,0,2,0,1,9,(-1.8369701987210297e-16-1j),9
2,4,5,46,6,1,2,2,1,3,(6.123233995736766e-17+1j),9
2,5,46,36,0,1,0,1,1,9,(-1.8369701987210297e-16-1j),12
2,6,36,43,2,0,2,2,1,9,(-1.8369701987210297e-16-1j),9
2,7,43,57,0,2,1,1,1,3,(6.123233995736766e-17+1j),12
2,8,57,48,6,1,2,-1,0,3,(6.123233995736766e-17+1j),9
2,9,48,0,6,0,1,-1,0,3,(6.123233995736766e-17+1j),9
2,10,0,20,4,0,1,2,1,3,(6.123233995736766e-17+1j),9
3,0,45,27,4,1,0,2,1,3,(6.123233995736766e-17+1j),9
3,1,27,12,0,1,0,-1,0,9,(-1.8369701987210297e-16-1j),12
3,2,12,15,2,0,2,-1,0,9,(-1.8369701987210297e-16-1j),12
3,3,15,53,0,2,0,1,1,9,(-1.8369701987210297e-16-1j),12
3,4,53,39,2,0,2,0,1,9,(-1.8369701987210297e-16-1j),9
3,5,39,11,6,1,2,-1,0,3,(6.123233995736766e-17+1j),9
3,6,11,50,0,2,1,1,1,3,(6.123233995736766e-17+1j),9
3,7,50,34,6,2,0,0,1,3,(6.123233995736766e-17+1j),12
3,8,34,38,0,0,2,-1,0,9,(-1.8369701987210297e-16-1j),12
3,9,38,56,0,1,2,-1,0,9,(-1.8369701987210297e-16-1j),12
3,10,56,47,0,1,2,1,1,9,(-1.8369701987210297e-16-1j),12
3,11,47,5,2,0,2,0,1,9,(-1.8369701987210297e-16-1j),9
3,12,5,46,6,1,2,2,1,3,(6.123233995736766e-17+1j),9
3,13,46,36,0,1,0,1,1,9,(-1.8369701987210297e-16-1j),12
3,14,36,43,2,0,2,2,1,9,(-1.8369701987210297e-16-1j),9
3,15,43,57,0,2,1,1,1,3,(6.123233995736766e-17+1j),12
3,16,57,45,6,0,1,-1,0,3,(6.123233995736766e-17+1j),9
4,0,26,27,4,0,2,2,1,3,(6.123233995736766e-17+1j),9
4,1,27,12,0,1,0,-1,0,9,(-1.8369701987210297e-16-1j),12
4,2,12,15,2,0,2,-1,0,9,(-1.8369701987210297e-16-1j),12
4,3,15,53,0,2,0,1,1,9,(-1.8369701987210297e-16-1j),12
4,4,53,39,2,0,2,0,1,9,(-1.8369701987210297e-16-1j),9
4,5,39,11,6,1,2,-1,0,3,(6.123233995736766e-17+1j),9
4,6,11,50,0,2,1,1,1,3,(6.123233995736766e-17+1j),9
4,7,50,34,6,2,0,0,1,3,(6.123233995736766e-17+1j),12
4,8,34,38,0,0,2,-1,0,9,(-1.8369701987210297e-16-1j),12
4,9,38,56,0,1,2,-1,0,9,(-1.8369701987210297e-16-1j),12
4,10,56,47,0,1,2,1,1,9,(-1.8369701987210297e-16-1j),12
4,11,47,5,2,0,2,0,1,9,(-1.8369701987210297e-16-1j),9
4,12,5,46,6,1,2,2,1,3,(6.123233995736766e-17+1j),9
4,13,46,36,0,1,0,1,1,9,(-1.8369701987210297e-16-1j),12
4,14,36,43,2,0,2,2,1,9,(-1.8369701987210297e-16-1j),9
4,15,43,57,0,2,1,1,1,3,(6.123233995736766e-17+1j),12
4,16,57,48,6,1,2,-1,0,3,(6.123233995736766e-17+1j),9
4,17,48,0,6,0,1,-1,0,3,(6.123233995736766e-17+1j),9
4,18,0,26,6,2,0,-1,0,3,(6.123233995736766e-17+1j),9
