quad_id,quad_points
0,4 13 22 31
1,4 15 24 33
2,4 14 23 32
3,5 13 23 33
4,6 13 24 32
5,5 15 22 32
6,6 14 22 33
7,5 14 24 31
8,6 15 23 31
9,4 16 25 34
10,4 19 28 37
11,10 13 28 34
12,7 13 25 37
13,10 16 22 37
14,7 19 22 34
15,10 19 25 31
16,7 16 28 31
17,4 17 26 35
18,4 21 30 39
19,12 13 30 35
20,8 13 26 39
21,12 17 22 39
22,8 21 22 35
23,12 21 26 31
24,8 17 30 31
25,4 18 27 36
26,4 20 29 38
27,11 13 29 36
28,9 13 27 38
29,11 18 22 38
30,9 20 22 36
31,11 20 27 31
32,9 18 29 31
33,0 1 2 3
34,0 10 11 12
35,0 7 8 9
36,1 5 8 11
37,2 5 9 10
38,3 5 7 12
39,1 6 9 12
40,3 6 8 10
41,2 6 7 11
42,0 16 17 18
43,0 34 35 36
44,0 25 26 27
45,6 16 27 35
46,6 18 26 34
47,6 17 25 36
48,0 19 20 21
49,0 28 29 30
50,0 37 38 39
51,5 19 29 39
52,5 21 28 38
53,5 20 30 37
54,1 15 18 21
55,10 15 30 36
56,1 33 36 39
57,10 21 27 33
58,1 24 27 30
59,10 18 24 39
60,2 15 16 20
61,12 15 29 34
62,2 33 34 38
63,12 20 25 33
64,12 16 24 38
65,2 24 25 29
66,3 15 17 19
67,11 15 28 35
68,11 19 26 33
69,3 33 35 37
70,3 24 26 28
71,11 17 24 37
72,1 14 17 20
73,7 14 26 38
74,1 23 26 29
75,7 20 23 35
76,1 32 35 38
77,7 17 29 32
78,3 14 16 21
79,9 14 25 39
80,9 21 23 34
81,3 23 25 30
82,9 16 30 32
83,3 32 34 39
84,2 14 18 19
85,8 14 27 37
86,8 19 23 36
87,2 23 27 28
88,8 18 28 32
89,2 32 36 37
