u,v
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,48
0,49
0,50
0,54
0,56
0,58
0,60
0,62
0,65
0,66
0,69
0,70
0,72
0,74
0,76
0,78
0,81
0,83
0,84
0,87
0,89
1,12
1,14
1,16
1,20
1,22
1,24
1,28
1,30
1,32
1,33
1,34
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,48
1,49
1,50
1,73
1,75
1,77
1,79
1,80
1,82
1,85
1,86
1,88
2,11
2,13
2,15
2,19
2,21
2,23
2,27
2,29
2,31
2,33
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,48
2,49
2,50
2,55
2,57
2,59
2,61
2,63
2,64
2,67
2,68
2,71
3,9
3,13
3,16
3,17
3,21
3,24
3,25
3,29
3,32
3,33
3,34
3,35
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,54
3,59
3,60
3,64
3,66
3,71
3,72
3,77
3,78
3,82
3,84
3,88
4,10
4,14
4,15
4,18
4,22
4,23
4,26
4,30
4,31
4,33
4,34
4,35
4,42
4,43
4,44
4,49
4,50
4,51
4,52
4,53
4,54
4,57
4,60
4,63
4,66
4,68
4,72
4,75
4,78
4,80
4,84
4,86
5,9
5,12
5,15
5,17
5,20
5,23
5,25
5,28
5,31
5,33
5,34
5,35
5,42
5,43
5,45
5,46
5,47
5,48
5,49
5,50
5,57
5,58
5,63
5,65
5,68
5,70
5,73
5,74
5,79
5,81
5,85
5,87
6,10
6,11
6,16
6,18
6,19
6,24
6,26
6,27
6,32
6,33
6,34
6,35
6,42
6,43
6,44
6,48
6,50
6,51
6,52
6,53
6,55
6,58
6,61
6,65
6,67
6,70
6,74
6,77
6,81
6,82
6,87
6,88
7,9
7,11
7,14
7,17
7,19
7,22
7,25
7,27
7,30
7,33
7,34
7,35
7,42
7,44
7,45
7,46
7,47
7,48
7,49
7,50
7,55
7,56
7,61
7,62
7,67
7,69
7,75
7,76
7,80
7,83
7,86
7,89
8,10
8,12
8,13
8,18
8,20
8,21
8,26
8,28
8,29
8,33
8,34
8,35
8,42
8,43
8,44
8,48
8,49
8,51
8,52
8,53
8,56
8,59
8,62
8,64
8,69
8,71
8,73
8,76
8,79
8,83
8,85
8,89
9,20
9,22
9,24
9,27
9,29
9,31
9,33
9,34
9,35
9,37
9,38
9,39
9,40
9,41
9,51
9,52
9,53
9,54
9,56
9,58
9,67
9,68
9,71
9,72
9,74
9,76
9,85
9,86
9,88
10,19
10,21
10,23
10,28
10,30
10,32
10,33
10,34
10,35
10,36
10,37
10,38
10,40
10,41
10,45
10,46
10,47
10,54
10,56
10,58
10,61
10,63
10,64
10,72
10,74
10,76
10,79
10,80
10,82
11,17
11,21
11,24
11,26
11,30
11,31
11,33
11,36
11,39
11,42
11,47
11,48
11,53
11,54
11,56
11,58
11,60
11,63
11,66
11,71
11,73
11,74
11,75
11,76
11,77
11,78
11,79
11,84
11,85
12,18
12,22
12,23
12,25
12,29
12,32
12,33
12,36
12,39
12,42
12,46
12,48
12,52
12,55
12,56
12,57
12,58
12,59
12,60
12,61
12,66
12,67
12,72
12,74
12,76
12,78
12,80
12,84
12,88
13,17
13,20
13,23
13,26
13,27
13,32
13,33
13,36
13,39
13,44
13,46
13,49
13,51
13,54
13,56
13,58
13,61
13,65
13,68
13,70
13,72
13,73
13,75
13,76
13,77
13,80
13,81
13,86
13,87
14,18
14,19
14,24
14,25
14,28
14,31
14,33
14,36
14,39
14,44
14,45
14,49
14,53
14,54
14,55
14,56
14,57
14,59
14,64
14,65
14,70
14,71
14,72
14,74
14,76
14,81
14,82
14,85
14,87
15,17
15,19
15,22
15,26
15,28
15,29
15,33
15,36
15,39
15,43
15,45
15,50
15,52
15,54
15,56
15,58
15,62
15,64
15,67
15,69
15,72
15,73
15,74
15,75
15,77
15,82
15,83
15,88
15,89
16,18
16,20
16,21
16,25
16,27
16,30
16,33
16,36
16,39
16,43
16,47
16,50
16,51
16,54
16,55
16,57
16,58
16,59
16,62
16,63
16,68
16,69
16,72
16,74
16,76
16,79
16,83
16,86
16,89
17,28
17,30
17,32
17,33
17,34
17,35
17,36
17,38
17,39
17,40
17,41
17,51
17,52
17,53
17,55
17,57
17,59
17,60
17,62
17,65
17,79
17,80
17,82
17,84
17,87
17,89
18,27
18,29
18,31
18,33
18,34
18,35
18,36
18,37
18,38
18,39
18,40
18,45
18,46
18,47
18,60
18,62
18,65
18,67
18,68
18,71
18,73
18,75
18,77
18,84
18,87
18,89
19,25
19,29
19,32
19,33
19,37
19,41
19,42
19,46
19,48
19,51
19,54
19,59
19,60
19,62
19,65
19,66
19,68
19,72
19,73
19,78
19,79
19,85
19,86
19,87
19,88
19,89
20,26
20,30
20,31
20,33
20,37
20,41
20,42
20,45
20,48
20,53
20,54
20,55
20,61
20,62
20,63
20,64
20,65
20,66
20,67
20,72
20,75
20,78
20,82
20,84
20,87
20,89
21,25
21,28
21,31
21,33
21,37
21,41
21,44
21,45
21,49
21,52
21,57
21,58
21,60
21,62
21,65
21,67
21,70
21,74
21,75
21,80
21,81
21,84
21,85
21,86
21,88
21,89
22,26
22,27
22,32
22,33
22,37
22,41
22,44
22,47
22,49
22,51
22,58
22,59
22,60
22,61
22,62
22,63
22,64
22,70
22,71
22,74
22,77
22,79
22,81
22,84
22,87
22,89
23,25
23,27
23,30
23,33
23,37
23,41
23,43
23,47
23,50
23,53
23,55
23,56
23,60
23,62
23,65
23,69
23,71
23,76
23,77
23,82
23,83
23,84
23,85
23,86
23,87
23,88
24,26
24,28
24,29
24,33
24,37
24,41
24,43
24,46
24,50
24,52
24,56
24,57
24,60
24,61
24,63
24,64
24,65
24,68
24,69
24,73
24,76
24,80
24,83
24,84
24,87
24,89
25,33
25,34
25,35
25,36
25,37
25,39
25,40
25,41
25,51
25,52
25,53
25,61
25,63
25,64
25,66
25,69
25,70
25,73
25,75
25,77
25,78
25,81
25,83
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,41
26,45
26,46
26,47
26,55
26,57
26,59
26,66
26,69
26,70
26,78
26,81
26,83
26,85
26,86
26,88
27,33
27,38
27,40
27,42
27,45
27,48
27,52
27,54
27,57
27,60
27,64
27,66
27,69
27,70
27,72
27,73
27,79
27,80
27,81
27,82
27,83
27,84
27,85
28,33
28,38
28,40
28,42
28,47
28,48
28,51
28,54
28,55
28,60
28,61
28,67
28,68
28,69
28,70
28,71
28,72
28,77
28,78
28,81
28,83
28,84
28,86
29,33
29,38
29,40
29,44
29,47
29,49
29,53
29,55
29,58
29,63
29,65
29,66
29,69
29,70
29,74
29,75
29,78
29,79
29,80
29,82
29,83
29,86
29,87
30,33
30,38
30,40
30,44
30,46
30,49
30,52
30,58
30,59
30,64
30,65
30,66
30,67
30,68
30,69
30,71
30,73
30,74
30,78
30,81
30,83
30,87
30,88
31,33
31,38
31,40
31,43
31,46
31,50
31,51
31,56
31,59
31,61
31,62
31,66
31,69
31,70
31,76
31,77
31,78
31,79
31,80
31,81
31,82
31,88
31,89
32,33
32,38
32,40
32,43
32,45
32,50
32,53
32,56
32,57
32,62
32,63
32,66
32,67
32,68
32,70
32,71
32,75
32,76
32,78
32,81
32,83
32,85
32,89
34,72
34,73
34,74
34,75
34,76
34,77
34,78
34,79
34,80
34,81
34,82
34,83
34,84
34,85
34,86
34,87
34,88
34,89
35,54
35,55
35,56
35,57
35,58
35,59
35,60
35,61
35,62
35,63
35,64
35,65
35,66
35,67
35,68
35,69
35,70
35,71
36,42
36,43
36,44
36,45
36,46
36,47
36,60
36,61
36,62
36,63
36,64
36,65
36,78
36,79
36,80
36,81
36,82
36,83
37,42
37,43
37,44
37,45
37,46
37,47
37,66
37,67
37,68
37,69
37,70
37,71
37,72
37,73
37,74
37,75
37,76
37,77
38,42
38,43
38,44
38,45
38,46
38,47
38,54
38,55
38,56
38,57
38,58
38,59
38,84
38,85
38,86
38,87
38,88
38,89
39,48
39,49
39,50
39,51
39,52
39,53
39,66
39,67
39,68
39,69
39,70
39,71
39,84
39,85
39,86
39,87
39,88
39,89
40,48
40,49
40,50
40,51
40,52
40,53
40,60
40,61
40,62
40,63
40,64
40,65
40,72
40,73
40,74
40,75
40,76
40,77
41,48
41,49
41,50
41,51
41,52
41,53
41,54
41,55
41,56
41,57
41,58
41,59
41,78
41,79
41,80
41,81
41,82
41,83
42,51
42,52
42,53
42,56
42,57
42,62
42,63
42,68
42,69
42,74
42,75
