i,j,k,p
0,0,0,1
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,1
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,1
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,1
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,1
1,0,0,0
1,0,1,1
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,32
1,1,1,13
1,1,2,12
1,1,3,9
1,1,4,0
1,2,0,0
1,2,1,9
1,2,2,8
1,2,3,9
1,2,4,0
1,3,0,0
1,3,1,9
1,3,2,12
1,3,3,13
1,3,4,32
1,4,0,0
1,4,1,0
1,4,2,0
1,4,3,1
1,4,4,0
2,0,0,0
2,0,1,0
2,0,2,1
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,9
2,1,2,8
2,1,3,9
2,1,4,0
2,2,0,24
2,2,1,6
2,2,2,6
2,2,3,6
2,2,4,24
2,3,0,0
2,3,1,9
2,3,2,8
2,3,3,9
2,3,4,0
2,4,0,0
2,4,1,0
2,4,2,1
2,4,3,0
2,4,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,1
3,0,4,0
3,1,0,0
3,1,1,9
3,1,2,12
3,1,3,13
3,1,4,32
3,2,0,0
3,2,1,9
3,2,2,8
3,2,3,9
3,2,4,0
3,3,0,32
3,3,1,13
3,3,2,12
3,3,3,9
3,3,4,0
3,4,0,0
3,4,1,1
3,4,2,0
3,4,3,0
3,4,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,1
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,1
4,1,4,0
4,2,0,0
4,2,1,0
4,2,2,1
4,2,3,0
4,2,4,0
4,3,0,0
4,3,1,1
4,3,2,0
4,3,3,0
4,3,4,0
4,4,0,1
4,4,1,0
4,4,2,0
4,4,3,0
4,4,4,0
