line_id,quads_10
0,0 33 45 51 55 63 71 73 80 88
1,0 33 46 53 57 64 67 77 79 86
2,0 33 47 52 59 61 68 75 82 85
3,1 11 23 29 35 45 51 72 81 89
4,1 15 21 27 35 46 53 76 78 87
5,1 13 19 31 35 47 52 74 83 84
6,2 14 20 32 34 47 52 58 60 69
7,2 12 24 30 34 45 51 54 62 70
8,2 16 22 28 34 46 53 56 65 66
9,3 10 22 31 39 42 55 65 73 83
10,3 15 18 30 41 42 61 70 76 85
11,3 14 23 26 40 42 58 67 79 89
12,4 9 21 32 36 48 55 69 73 87
13,4 16 17 29 37 48 56 61 81 85
14,4 13 24 25 38 48 62 67 74 79
15,5 11 18 32 41 44 64 69 72 86
16,5 10 24 27 39 44 59 62 75 78
17,5 16 19 26 40 44 56 71 80 84
18,6 9 23 28 36 49 59 66 75 89
19,6 12 17 31 37 49 54 64 83 86
20,6 15 20 25 38 49 60 71 76 80
21,7 10 20 29 39 43 57 60 77 81
22,7 13 18 28 41 43 63 66 74 88
23,7 12 21 26 40 43 54 68 82 87
24,8 9 19 30 36 50 57 70 77 84
25,8 14 17 27 37 50 58 63 78 88
26,8 11 22 25 38 50 65 68 72 82
