point,line
0,0
33,0
36,0
40,0
44,0
0,1
34,1
37,1
41,1
42,1
0,2
35,2
38,2
39,2
43,2
1,3
11,3
23,3
29,3
33,3
1,4
15,4
21,4
27,4
34,4
1,5
13,5
19,5
31,5
35,5
2,6
14,6
20,6
32,6
35,6
2,7
12,7
24,7
30,7
33,7
2,8
16,8
22,8
28,8
34,8
3,9
10,9
22,9
31,9
36,9
3,10
15,10
18,10
30,10
39,10
3,11
14,11
23,11
26,11
42,11
4,12
9,12
21,12
32,12
36,12
4,13
16,13
17,13
29,13
39,13
4,14
13,14
24,14
25,14
42,14
5,15
11,15
18,15
32,15
41,15
5,16
10,16
24,16
27,16
38,16
5,17
16,17
19,17
26,17
44,17
6,18
9,18
23,18
28,18
38,18
6,19
12,19
17,19
31,19
41,19
6,20
15,20
20,20
25,20
44,20
7,21
10,21
20,21
29,21
37,21
7,22
13,22
18,22
28,22
40,22
7,23
12,23
21,23
26,23
43,23
8,24
9,24
19,24
30,24
37,24
8,25
14,25
17,25
27,25
40,25
8,26
11,26
22,26
25,26
43,26
