u,v,sign_z2_raw,sign_z2_canonical
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,32,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,12,1,1
1,14,1,1
1,16,1,1
1,17,0,0
1,18,0,0
1,20,1,1
1,22,1,1
1,24,1,1
1,25,0,0
1,26,0,0
1,28,1,1
1,30,1,1
1,32,1,1
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,0
2,8,0,0
2,9,0,0
2,10,0,0
2,11,1,1
2,13,1,1
2,15,1,1
2,17,0,0
2,18,0,0
2,19,1,1
2,21,1,1
2,23,1,1
2,25,0,0
2,26,0,0
2,27,1,1
2,29,1,1
2,31,1,1
2,36,1,1
2,37,1,1
2,38,1,1
2,39,1,1
2,40,1,1
2,41,1,1
2,42,1,1
2,43,1,1
2,44,1,1
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0
3,8,0,0
3,9,1,1
3,11,0,0
3,12,0,0
3,13,1,1
3,16,1,1
3,17,1,1
3,19,0,0
3,20,0,0
3,21,1,1
3,24,1,1
3,25,1,1
3,27,0,0
3,28,0,0
3,29,1,1
3,32,1,1
3,33,1,0
3,34,1,0
3,35,1,0
3,37,0,0
3,38,1,1
3,40,0,0
3,41,1,1
3,43,0,0
3,44,1,1
4,5,0,0
4,6,0,0
4,7,0,0
4,8,0,0
4,10,1,1
4,11,0,0
4,12,0,0
4,14,1,1
4,15,1,1
4,18,1,1
4,19,0,0
4,20,0,0
4,22,1,1
4,23,1,1
4,26,1,1
4,27,0,0
4,28,0,0
4,30,1,1
4,31,1,1
4,33,0,1
4,34,0,1
4,35,0,1
4,37,1,1
4,38,0,0
4,40,1,1
4,41,0,0
4,43,1,1
4,44,0,0
5,6,0,0
5,7,0,0
5,8,0,0
5,9,1,1
5,12,1,1
5,13,0,0
5,14,0,0
5,15,1,1
5,17,1,1
5,20,1,1
5,21,0,0
5,22,0,0
5,23,1,1
5,25,1,1
5,28,1,1
5,29,0,0
5,30,0,0
5,31,1,1
5,33,1,0
5,34,1,0
5,35,1,0
5,36,0,0
5,37,1,1
5,39,0,0
5,40,1,1
5,42,0,0
5,43,1,1
6,7,0,0
6,8,0,0
6,10,1,1
6,11,1,1
6,13,0,0
6,14,0,0
6,16,1,1
6,18,1,1
6,19,1,1
6,21,0,0
6,22,0,0
6,24,1,1
6,26,1,1
6,27,1,1
6,29,0,0
6,30,0,0
6,32,1,1
6,33,0,1
6,34,0,1
6,35,0,1
6,36,1,1
6,37,0,0
6,39,1,1
6,40,0,0
6,42,1,1
6,43,0,0
7,8,0,0
7,9,1,1
7,11,1,1
7,14,1,1
7,15,0,0
7,16,0,0
7,17,1,1
7,19,1,1
7,22,1,1
7,23,0,0
7,24,0,0
7,25,1,1
7,27,1,1
7,30,1,1
7,31,0,0
7,32,0,0
7,33,1,0
7,34,1,0
7,35,1,0
7,36,1,1
7,38,0,0
7,39,1,1
7,41,0,0
7,42,1,1
7,44,0,0
8,10,1,1
8,12,1,1
8,13,1,1
8,15,0,0
8,16,0,0
8,18,1,1
8,20,1,1
8,21,1,1
8,23,0,0
8,24,0,0
8,26,1,1
8,28,1,1
8,29,1,1
8,31,0,0
8,32,0,0
8,33,0,1
8,34,0,1
8,35,0,1
8,36,0,0
8,38,1,1
8,39,0,0
8,41,1,1
8,42,0,0
8,44,1,1
9,10,0,0
9,11,0,0
9,12,0,0
9,13,0,0
9,14,0,0
9,15,0,0
9,16,0,0
9,17,0,0
9,18,0,0
9,20,1,1
9,22,1,1
9,24,1,1
9,25,0,0
9,26,0,0
9,27,1,1
9,29,1,1
9,31,1,1
9,33,0,1
9,34,0,1
9,35,0,1
9,39,0,0
9,40,0,0
9,41,0,0
9,42,1,1
9,43,1,1
9,44,1,1
10,11,0,0
10,12,0,0
10,13,0,0
10,14,0,0
10,15,0,0
10,16,0,0
10,17,0,0
10,18,0,0
10,19,1,1
10,21,1,1
10,23,1,1
10,25,0,0
10,26,0,0
10,28,1,1
10,30,1,1
10,32,1,1
10,33,1,0
10,34,1,0
10,35,1,0
10,39,1,1
10,40,1,1
10,41,1,1
10,42,0,0
10,43,0,0
10,44,0,0
11,12,0,0
11,13,0,0
11,14,0,0
11,15,0,0
11,16,0,0
11,17,1,1
11,19,0,0
11,20,0,0
11,21,1,1
11,24,1,1
11,26,1,1
11,27,0,0
11,28,0,0
11,30,1,1
11,31,1,1
11,34,0,1
11,35,1,0
11,36,0,0
11,37,0,0
11,38,0,0
11,39,0,0
11,40,1,1
11,42,0,0
11,44,1,1
12,13,0,0
12,14,0,0
12,15,0,0
12,16,0,0
12,18,1,1
12,19,0,0
12,20,0,0
12,22,1,1
12,23,1,1
12,25,1,1
12,27,0,0
12,28,0,0
12,29,1,1
12,32,1,1
12,34,1,0
12,35,0,1
12,36,1,1
12,37,1,1
12,38,1,1
12,39,1,1
12,40,0,0
12,42,1,1
12,44,0,0
13,14,0,0
13,15,0,0
13,16,0,0
13,17,1,1
13,20,1,1
13,21,0,0
13,22,0,0
13,23,1,1
13,26,1,1
13,27,1,1
13,29,0,0
13,30,0,0
13,32,1,1
13,33,0,1
13,34,1,0
13,36,0,0
13,37,0,0
13,38,0,0
13,39,1,1
13,41,0,0
13,43,1,1
13,44,0,0
14,15,0,0
14,16,0,0
14,18,1,1
14,19,1,1
14,21,0,0
14,22,0,0
14,24,1,1
14,25,1,1
14,28,1,1
14,29,0,0
14,30,0,0
14,31,1,1
14,33,1,0
14,34,0,1
14,36,1,1
14,37,1,1
14,38,1,1
14,39,0,0
14,41,1,1
14,43,0,0
14,44,1,1
15,16,0,0
15,17,1,1
15,19,1,1
15,22,1,1
15,23,0,0
15,24,0,0
15,26,1,1
15,28,1,1
15,29,1,1
15,31,0,0
15,32,0,0
15,33,1,0
15,35,0,1
15,36,0,0
15,37,0,0
15,38,0,0
15,40,0,0
15,41,1,1
15,42,1,1
15,43,0,0
16,18,1,1
16,20,1,1
16,21,1,1
16,23,0,0
16,24,0,0
16,25,1,1
16,27,1,1
16,30,1,1
16,31,0,0
16,32,0,0
16,33,0,1
16,35,1,0
16,36,1,1
16,37,1,1
16,38,1,1
16,40,1,1
16,41,0,0
16,42,0,0
16,43,1,1
17,18,0,0
17,19,0,0
17,20,0,0
17,21,0,0
17,22,0,0
17,23,0,0
17,24,0,0
17,25,0,0
17,26,0,0
17,28,1,1
17,30,1,1
17,32,1,1
17,33,0,1
17,34,0,1
17,35,0,1
17,36,1,1
17,37,1,1
17,38,1,1
17,42,0,0
17,43,0,0
17,44,0,0
18,19,0,0
18,20,0,0
18,21,0,0
18,22,0,0
18,23,0,0
18,24,0,0
18,25,0,0
18,26,0,0
18,27,1,1
18,29,1,1
18,31,1,1
18,33,1,0
18,34,1,0
18,35,1,0
18,36,0,0
18,37,0,0
18,38,0,0
18,42,1,1
18,43,1,1
18,44,1,1
19,20,0,0
19,21,0,0
19,22,0,0
19,23,0,0
19,24,0,0
19,25,1,1
19,27,0,0
19,28,0,0
19,29,1,1
19,32,1,1
19,33,0,1
19,34,1,0
19,36,0,0
19,38,1,1
19,39,0,0
19,40,0,0
19,41,0,0
19,42,0,0
19,43,1,1
20,21,0,0
20,22,0,0
20,23,0,0
20,24,0,0
20,26,1,1
20,27,0,0
20,28,0,0
20,30,1,1
20,31,1,1
20,33,1,0
20,34,0,1
20,36,1,1
20,38,0,0
20,39,1,1
20,40,1,1
20,41,1,1
20,42,1,1
20,43,0,0
21,22,0,0
21,23,0,0
21,24,0,0
21,25,1,1
21,28,1,1
21,29,0,0
21,30,0,0
21,31,1,1
21,33,1,0
21,35,0,1
21,37,1,1
21,38,0,0
21,39,0,0
21,40,0,0
21,41,0,0
21,42,1,1
21,44,0,0
22,23,0,0
22,24,0,0
22,26,1,1
22,27,1,1
22,29,0,0
22,30,0,0
22,32,1,1
22,33,0,1
22,35,1,0
22,37,0,0
22,38,1,1
22,39,1,1
22,40,1,1
22,41,1,1
22,42,0,0
22,44,1,1
23,24,0,0
23,25,1,1
23,27,1,1
23,30,1,1
23,31,0,0
23,32,0,0
23,34,0,1
23,35,1,0
23,36,1,1
23,37,0,0
23,39,0,0
23,40,0,0
23,41,0,0
23,43,0,0
23,44,1,1
24,26,1,1
24,28,1,1
24,29,1,1
24,31,0,0
24,32,0,0
24,34,1,0
24,35,0,1
24,36,0,0
24,37,1,1
24,39,1,1
24,40,1,1
24,41,1,1
24,43,1,1
24,44,0,0
25,26,0,0
25,27,0,0
25,28,0,0
25,29,0,0
25,30,0,0
25,31,0,0
25,32,0,0
25,33,0,1
25,34,0,1
25,35,0,1
25,36,0,0
25,37,0,0
25,38,0,0
25,39,1,1
25,40,1,1
25,41,1,1
26,27,0,0
26,28,0,0
26,29,0,0
26,30,0,0
26,31,0,0
26,32,0,0
26,33,1,0
26,34,1,0
26,35,1,0
26,36,1,1
26,37,1,1
26,38,1,1
26,39,0,0
26,40,0,0
26,41,0,0
27,28,0,0
27,29,0,0
27,30,0,0
27,31,0,0
27,32,0,0
27,33,1,0
27,35,0,1
27,36,0,0
27,37,1,1
27,39,0,0
27,41,1,1
27,42,0,0
27,43,0,0
27,44,0,0
28,29,0,0
28,30,0,0
28,31,0,0
28,32,0,0
28,33,0,1
28,35,1,0
28,36,1,1
28,37,0,0
28,39,1,1
28,41,0,0
28,42,1,1
28,43,1,1
28,44,1,1
29,30,0,0
29,31,0,0
29,32,0,0
29,34,0,1
29,35,1,0
29,36,1,1
29,38,0,0
29,40,1,1
29,41,0,0
29,42,0,0
29,43,0,0
29,44,0,0
30,31,0,0
30,32,0,0
30,34,1,0
30,35,0,1
30,36,0,0
30,38,1,1
30,40,0,0
30,41,1,1
30,42,1,1
30,43,1,1
30,44,1,1
31,32,0,0
31,33,0,1
31,34,1,0
31,37,0,0
31,38,1,1
31,39,1,1
31,40,0,0
31,42,0,0
31,43,0,0
31,44,0,0
