cycle_index,step,triad_index,triad_w33,triad_hol_mod12,cover12,quad_id,gq42_point,sheet,delta,support_4set,removed_sum_mod8,added_sum_mod8,rem_idx,add_idx
0,0,295,14 26 38,3,0,55,36,0,4,3 7 10 11,0,4,0,2
0,1,185,7 26 38,9,0,55,36,0,0,1 2 3 7,0,0,0,1
0,2,172,7 14 26,9,1,55,36,0,2,1 3 10 11,6,0,1,0
0,3,172,7 14 26,9,1,55,36,0,2,1 2 7 10,6,0,0,2
1,0,173,7 14 38,3,1,55,36,0,0,0 3 8 9,6,6,1,2
1,1,295,14 26 38,3,0,55,36,0,0,3 7 8 10,4,4,2,1
1,2,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
1,3,172,7 14 26,9,1,55,36,0,0,4 5 6 10,0,0,1,0
1,4,185,7 26 38,9,0,55,36,0,2,4 6 7 8,6,0,0,2
1,5,173,7 14 38,3,1,55,36,0,0,0 4 8 9,6,6,2,1
1,6,295,14 26 38,3,0,55,36,0,6,3 6 7 11,2,0,1,2
1,7,295,14 26 38,3,0,55,36,0,6,4 5 9 10,0,6,0,1
1,8,172,7 14 26,9,1,55,36,0,4,3 7 9 10,0,4,0,1
2,0,172,7 14 26,9,1,55,36,0,2,1 2 7 10,6,0,0,2
2,1,172,7 14 26,9,1,55,36,0,0,0 3 8 9,6,6,1,2
2,2,172,7 14 26,9,1,55,36,0,0,1 3 8 10,6,6,1,2
2,3,185,7 26 38,9,0,55,36,0,2,1 2 7 8,6,0,0,2
2,4,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
2,5,172,7 14 26,9,1,55,36,0,0,4 5 6 10,0,0,1,0
2,6,185,7 26 38,9,0,55,36,0,2,4 6 7 8,6,0,0,2
2,7,173,7 14 38,3,1,55,36,0,0,0 4 8 9,6,6,2,1
2,8,295,14 26 38,3,0,55,36,0,6,3 6 7 11,2,0,1,2
2,9,295,14 26 38,3,0,55,36,0,6,4 5 9 10,0,6,0,1
2,10,295,14 26 38,3,0,55,36,0,4,3 7 9 10,0,4,0,1
3,0,295,14 26 38,3,0,55,36,0,4,6 7 9 10,6,2,1,0
3,1,172,7 14 26,9,1,55,36,0,0,4 5 6 9,0,0,1,0
3,2,172,7 14 26,9,1,55,36,0,2,1 2 7 10,6,0,0,2
3,3,172,7 14 26,9,1,55,36,0,0,1 4 6 10,0,0,2,0
3,4,185,7 26 38,9,0,55,36,0,2,0 1 4 8,6,0,0,2
3,5,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
3,6,295,14 26 38,3,0,55,36,0,0,3 5 9 10,6,6,2,1
3,7,173,7 14 38,3,1,55,36,0,6,0 1 4 8,0,6,2,0
3,8,172,7 14 26,9,1,55,36,0,0,1 4 5 10,0,0,0,2
3,9,172,7 14 26,9,1,55,36,0,0,0 3 8 9,6,6,1,2
3,10,172,7 14 26,9,1,55,36,0,0,1 3 8 10,6,6,1,2
3,11,185,7 26 38,9,0,55,36,0,2,1 2 7 8,6,0,0,2
3,12,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
3,13,172,7 14 26,9,1,55,36,0,0,4 5 6 10,0,0,1,0
3,14,185,7 26 38,9,0,55,36,0,2,4 6 7 8,6,0,0,2
3,15,173,7 14 38,3,1,55,36,0,0,0 4 8 9,6,6,2,1
3,16,295,14 26 38,3,0,55,36,0,6,4 5 9 10,0,6,0,1
4,0,295,14 26 38,3,0,55,36,0,4,3 7 10 11,0,4,0,2
4,1,172,7 14 26,9,1,55,36,0,0,4 5 6 9,0,0,1,0
4,2,172,7 14 26,9,1,55,36,0,2,1 2 7 10,6,0,0,2
4,3,172,7 14 26,9,1,55,36,0,0,1 4 6 10,0,0,2,0
4,4,185,7 26 38,9,0,55,36,0,2,0 1 4 8,6,0,0,2
4,5,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
4,6,295,14 26 38,3,0,55,36,0,0,3 5 9 10,6,6,2,1
4,7,173,7 14 38,3,1,55,36,0,6,0 1 4 8,0,6,2,0
4,8,172,7 14 26,9,1,55,36,0,0,1 4 5 10,0,0,0,2
4,9,172,7 14 26,9,1,55,36,0,0,0 3 8 9,6,6,1,2
4,10,172,7 14 26,9,1,55,36,0,0,1 3 8 10,6,6,1,2
4,11,185,7 26 38,9,0,55,36,0,2,1 2 7 8,6,0,0,2
4,12,295,14 26 38,3,0,55,36,0,6,3 6 10 11,0,6,1,2
4,13,172,7 14 26,9,1,55,36,0,0,4 5 6 10,0,0,1,0
4,14,185,7 26 38,9,0,55,36,0,2,4 6 7 8,6,0,0,2
4,15,173,7 14 38,3,1,55,36,0,0,0 4 8 9,6,6,2,1
4,16,295,14 26 38,3,0,55,36,0,6,3 6 7 11,2,0,1,2
4,17,295,14 26 38,3,0,55,36,0,6,4 5 9 10,0,6,0,1
4,18,295,14 26 38,3,0,55,36,0,6,6 9 10 11,2,0,2,0
