seed,variant,total_cost,cover12_count
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,0,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,1,38,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,2,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,3,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,4,32,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,5,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,6,32,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,7,32,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,8,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,9,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,10,38,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,11,32,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,12,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,13,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,14,46,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,15,32,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,16,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,17,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,18,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,19,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,20,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,21,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,22,38,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,23,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,24,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,25,29,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,26,38,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,27,39,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,28,38,296
W33_N12_58_loop_optimizer_bundle_20260112.zip:W33_N12_58_loop_optimizer_bundle_20260112/best_w33_to_n12_mapping.csv,29,46,296
