q,tau,count,total_p1_incident,freq
0,"(0, 2, 1)",48,144,0.3333333333333333
0,"(1, 0, 2)",48,144,0.3333333333333333
0,"(2, 1, 0)",48,144,0.3333333333333333
1,"(0, 2, 1)",48,144,0.3333333333333333
1,"(1, 0, 2)",48,144,0.3333333333333333
1,"(2, 1, 0)",48,144,0.3333333333333333
2,"(0, 1, 2)",42,144,0.2916666666666667
2,"(1, 2, 0)",42,144,0.2916666666666667
2,"(2, 0, 1)",42,144,0.2916666666666667
2,"(0, 2, 1)",6,144,0.041666666666666664
2,"(1, 0, 2)",6,144,0.041666666666666664
2,"(2, 1, 0)",6,144,0.041666666666666664
3,"(0, 2, 1)",45,144,0.3125
3,"(2, 1, 0)",45,144,0.3125
3,"(1, 0, 2)",45,144,0.3125
3,"(0, 1, 2)",3,144,0.020833333333333332
3,"(1, 2, 0)",3,144,0.020833333333333332
3,"(2, 0, 1)",3,144,0.020833333333333332
4,"(0, 1, 2)",39,144,0.2708333333333333
4,"(2, 0, 1)",39,144,0.2708333333333333
4,"(1, 2, 0)",39,144,0.2708333333333333
4,"(0, 2, 1)",9,144,0.0625
4,"(2, 1, 0)",9,144,0.0625
4,"(1, 0, 2)",9,144,0.0625
5,"(1, 0, 2)",42,144,0.2916666666666667
5,"(2, 1, 0)",42,144,0.2916666666666667
5,"(0, 2, 1)",42,144,0.2916666666666667
5,"(2, 0, 1)",6,144,0.041666666666666664
5,"(0, 1, 2)",6,144,0.041666666666666664
5,"(1, 2, 0)",6,144,0.041666666666666664
6,"(2, 0, 1)",36,144,0.25
6,"(1, 2, 0)",36,144,0.25
6,"(0, 1, 2)",36,144,0.25
6,"(1, 0, 2)",12,144,0.08333333333333333
6,"(2, 1, 0)",12,144,0.08333333333333333
6,"(0, 2, 1)",12,144,0.08333333333333333
7,"(2, 1, 0)",39,144,0.2708333333333333
7,"(1, 0, 2)",39,144,0.2708333333333333
7,"(0, 2, 1)",39,144,0.2708333333333333
7,"(1, 2, 0)",9,144,0.0625
7,"(2, 0, 1)",9,144,0.0625
7,"(0, 1, 2)",9,144,0.0625
8,"(1, 2, 0)",33,144,0.22916666666666666
8,"(0, 1, 2)",33,144,0.22916666666666666
8,"(2, 0, 1)",33,144,0.22916666666666666
8,"(2, 1, 0)",15,144,0.10416666666666667
8,"(1, 0, 2)",15,144,0.10416666666666667
8,"(0, 2, 1)",15,144,0.10416666666666667
9,"(0, 1, 2)",36,144,0.25
9,"(2, 0, 1)",36,144,0.25
9,"(1, 2, 0)",36,144,0.25
9,"(0, 2, 1)",12,144,0.08333333333333333
9,"(1, 0, 2)",12,144,0.08333333333333333
9,"(2, 1, 0)",12,144,0.08333333333333333
10,"(0, 2, 1)",36,144,0.25
10,"(1, 0, 2)",36,144,0.25
10,"(2, 1, 0)",36,144,0.25
10,"(0, 1, 2)",12,144,0.08333333333333333
10,"(2, 0, 1)",12,144,0.08333333333333333
10,"(1, 2, 0)",12,144,0.08333333333333333
11,"(1, 2, 0)",39,144,0.2708333333333333
11,"(2, 0, 1)",38,144,0.2638888888888889
11,"(0, 1, 2)",37,144,0.2569444444444444
11,"(1, 0, 2)",11,144,0.0763888888888889
11,"(2, 1, 0)",10,144,0.06944444444444445
11,"(0, 2, 1)",9,144,0.0625
12,"(2, 1, 0)",39,144,0.2708333333333333
12,"(1, 0, 2)",38,144,0.2638888888888889
12,"(0, 2, 1)",37,144,0.2569444444444444
12,"(2, 0, 1)",11,144,0.0763888888888889
12,"(1, 2, 0)",10,144,0.06944444444444445
12,"(0, 1, 2)",9,144,0.0625
13,"(0, 1, 2)",37,144,0.2569444444444444
13,"(1, 2, 0)",35,144,0.24305555555555555
13,"(2, 0, 1)",34,144,0.2361111111111111
13,"(1, 0, 2)",13,144,0.09027777777777778
13,"(0, 2, 1)",13,144,0.09027777777777778
13,"(2, 1, 0)",12,144,0.08333333333333333
14,"(0, 2, 1)",37,144,0.2569444444444444
14,"(2, 1, 0)",35,144,0.24305555555555555
14,"(1, 0, 2)",34,144,0.2361111111111111
14,"(0, 1, 2)",13,144,0.09027777777777778
14,"(2, 0, 1)",13,144,0.09027777777777778
14,"(1, 2, 0)",12,144,0.08333333333333333
15,"(2, 0, 1)",34,144,0.2361111111111111
15,"(0, 1, 2)",34,144,0.2361111111111111
15,"(1, 2, 0)",32,144,0.2222222222222222
15,"(2, 1, 0)",16,144,0.1111111111111111
15,"(1, 0, 2)",14,144,0.09722222222222222
15,"(0, 2, 1)",14,144,0.09722222222222222
16,"(1, 0, 2)",34,144,0.2361111111111111
16,"(0, 2, 1)",34,144,0.2361111111111111
16,"(2, 1, 0)",32,144,0.2222222222222222
16,"(1, 2, 0)",16,144,0.1111111111111111
16,"(2, 0, 1)",14,144,0.09722222222222222
16,"(0, 1, 2)",14,144,0.09722222222222222
17,"(2, 0, 1)",33,144,0.22916666666666666
17,"(1, 2, 0)",33,144,0.22916666666666666
17,"(0, 1, 2)",33,144,0.22916666666666666
17,"(1, 0, 2)",15,144,0.10416666666666667
17,"(2, 1, 0)",15,144,0.10416666666666667
17,"(0, 2, 1)",15,144,0.10416666666666667
18,"(1, 0, 2)",33,144,0.22916666666666666
18,"(2, 1, 0)",33,144,0.22916666666666666
18,"(0, 2, 1)",33,144,0.22916666666666666
18,"(2, 0, 1)",15,144,0.10416666666666667
18,"(1, 2, 0)",15,144,0.10416666666666667
18,"(0, 1, 2)",15,144,0.10416666666666667
19,"(0, 1, 2)",34,144,0.2361111111111111
19,"(1, 2, 0)",32,144,0.2222222222222222
19,"(2, 0, 1)",30,144,0.20833333333333334
19,"(1, 0, 2)",17,144,0.11805555555555555
19,"(0, 2, 1)",16,144,0.1111111111111111
19,"(2, 1, 0)",15,144,0.10416666666666667
20,"(0, 2, 1)",34,144,0.2361111111111111
20,"(2, 1, 0)",32,144,0.2222222222222222
20,"(1, 0, 2)",30,144,0.20833333333333334
20,"(2, 0, 1)",17,144,0.11805555555555555
20,"(0, 1, 2)",16,144,0.1111111111111111
20,"(1, 2, 0)",15,144,0.10416666666666667
21,"(2, 0, 1)",31,144,0.2152777777777778
21,"(0, 1, 2)",31,144,0.2152777777777778
21,"(1, 2, 0)",29,144,0.2013888888888889
21,"(2, 1, 0)",20,144,0.1388888888888889
21,"(1, 0, 2)",18,144,0.125
21,"(0, 2, 1)",15,144,0.10416666666666667
22,"(0, 2, 1)",31,144,0.2152777777777778
22,"(1, 0, 2)",31,144,0.2152777777777778
22,"(2, 1, 0)",29,144,0.2013888888888889
22,"(1, 2, 0)",20,144,0.1388888888888889
22,"(2, 0, 1)",18,144,0.125
22,"(0, 1, 2)",15,144,0.10416666666666667
23,"(2, 0, 1)",31,144,0.2152777777777778
23,"(1, 2, 0)",28,144,0.19444444444444445
23,"(0, 1, 2)",27,144,0.1875
23,"(0, 2, 1)",21,144,0.14583333333333334
23,"(2, 1, 0)",20,144,0.1388888888888889
23,"(1, 0, 2)",17,144,0.11805555555555555
24,"(1, 0, 2)",31,144,0.2152777777777778
24,"(2, 1, 0)",28,144,0.19444444444444445
24,"(0, 2, 1)",27,144,0.1875
24,"(0, 1, 2)",21,144,0.14583333333333334
24,"(1, 2, 0)",20,144,0.1388888888888889
24,"(2, 0, 1)",17,144,0.11805555555555555
25,"(1, 2, 0)",25,144,0.1736111111111111
25,"(0, 1, 2)",25,144,0.1736111111111111
25,"(2, 0, 1)",25,144,0.1736111111111111
25,"(2, 1, 0)",23,144,0.1597222222222222
25,"(0, 2, 1)",23,144,0.1597222222222222
25,"(1, 0, 2)",23,144,0.1597222222222222
26,"(2, 1, 0)",25,144,0.1736111111111111
26,"(0, 2, 1)",25,144,0.1736111111111111
26,"(1, 0, 2)",25,144,0.1736111111111111
26,"(1, 2, 0)",23,144,0.1597222222222222
26,"(0, 1, 2)",23,144,0.1597222222222222
26,"(2, 0, 1)",23,144,0.1597222222222222
27,"(0, 1, 2)",31,144,0.2152777777777778
27,"(2, 0, 1)",29,144,0.2013888888888889
27,"(1, 2, 0)",27,144,0.1875
27,"(0, 2, 1)",20,144,0.1388888888888889
27,"(1, 0, 2)",19,144,0.13194444444444445
27,"(2, 1, 0)",18,144,0.125
28,"(0, 2, 1)",31,144,0.2152777777777778
28,"(1, 0, 2)",29,144,0.2013888888888889
28,"(2, 1, 0)",27,144,0.1875
28,"(0, 1, 2)",20,144,0.1388888888888889
28,"(2, 0, 1)",19,144,0.13194444444444445
28,"(1, 2, 0)",18,144,0.125
29,"(1, 2, 0)",29,144,0.2013888888888889
29,"(2, 0, 1)",28,144,0.19444444444444445
29,"(0, 1, 2)",26,144,0.18055555555555555
29,"(2, 1, 0)",22,144,0.1527777777777778
29,"(1, 0, 2)",20,144,0.1388888888888889
29,"(0, 2, 1)",19,144,0.13194444444444445
30,"(2, 1, 0)",29,144,0.2013888888888889
30,"(1, 0, 2)",28,144,0.19444444444444445
30,"(0, 2, 1)",26,144,0.18055555555555555
30,"(1, 2, 0)",22,144,0.1527777777777778
30,"(2, 0, 1)",20,144,0.1388888888888889
30,"(0, 1, 2)",19,144,0.13194444444444445
31,"(0, 1, 2)",27,144,0.1875
31,"(1, 2, 0)",27,144,0.1875
31,"(2, 0, 1)",27,144,0.1875
31,"(1, 0, 2)",21,144,0.14583333333333334
31,"(0, 2, 1)",21,144,0.14583333333333334
31,"(2, 1, 0)",21,144,0.14583333333333334
32,"(1, 0, 2)",27,144,0.1875
32,"(0, 2, 1)",27,144,0.1875
32,"(2, 1, 0)",27,144,0.1875
32,"(0, 1, 2)",21,144,0.14583333333333334
32,"(2, 0, 1)",21,144,0.14583333333333334
32,"(1, 2, 0)",21,144,0.14583333333333334
33,"(0, 1, 2)",36,144,0.25
33,"(0, 2, 1)",24,144,0.16666666666666666
33,"(1, 2, 0)",23,144,0.1597222222222222
33,"(2, 0, 1)",22,144,0.1527777777777778
33,"(2, 1, 0)",20,144,0.1388888888888889
33,"(1, 0, 2)",19,144,0.13194444444444445
34,"(0, 1, 2)",35,144,0.24305555555555555
34,"(2, 0, 1)",24,144,0.16666666666666666
34,"(2, 1, 0)",22,144,0.1527777777777778
34,"(1, 2, 0)",22,144,0.1527777777777778
34,"(1, 0, 2)",21,144,0.14583333333333334
34,"(0, 2, 1)",20,144,0.1388888888888889
35,"(0, 1, 2)",37,144,0.2569444444444444
35,"(1, 0, 2)",23,144,0.1597222222222222
35,"(2, 0, 1)",23,144,0.1597222222222222
35,"(0, 2, 1)",22,144,0.1527777777777778
35,"(1, 2, 0)",21,144,0.14583333333333334
35,"(2, 1, 0)",18,144,0.125
