hexagon_plane,axes_in_plane,axis_pairs
H0,"A0, A1, A9","(-1, -1, 0, 0) ~ (1, 1, 0, 0) | (-1, 0, -1, 0) ~ (1, 0, 1, 0) | (0, -1, 1, 0) ~ (0, 1, -1, 0)"
H1,"A0, A2, A8","(-1, -1, 0, 0) ~ (1, 1, 0, 0) | (-1, 0, 0, -1) ~ (1, 0, 0, 1) | (0, -1, 0, 1) ~ (0, 1, 0, -1)"
H2,"A0, A3, A7","(-1, -1, 0, 0) ~ (1, 1, 0, 0) | (-1, 0, 0, 1) ~ (1, 0, 0, -1) | (0, -1, 0, -1) ~ (0, 1, 0, 1)"
H3,"A0, A4, A6","(-1, -1, 0, 0) ~ (1, 1, 0, 0) | (-1, 0, 1, 0) ~ (1, 0, -1, 0) | (0, -1, -1, 0) ~ (0, 1, 1, 0)"
H4,"A1, A2, A11","(-1, 0, -1, 0) ~ (1, 0, 1, 0) | (-1, 0, 0, -1) ~ (1, 0, 0, 1) | (0, 0, -1, 1) ~ (0, 0, 1, -1)"
H5,"A1, A3, A10","(-1, 0, -1, 0) ~ (1, 0, 1, 0) | (-1, 0, 0, 1) ~ (1, 0, 0, -1) | (0, 0, -1, -1) ~ (0, 0, 1, 1)"
H6,"A1, A5, A6","(-1, 0, -1, 0) ~ (1, 0, 1, 0) | (-1, 1, 0, 0) ~ (1, -1, 0, 0) | (0, -1, -1, 0) ~ (0, 1, 1, 0)"
H7,"A2, A4, A10","(-1, 0, 0, -1) ~ (1, 0, 0, 1) | (-1, 0, 1, 0) ~ (1, 0, -1, 0) | (0, 0, -1, -1) ~ (0, 0, 1, 1)"
H8,"A2, A5, A7","(-1, 0, 0, -1) ~ (1, 0, 0, 1) | (-1, 1, 0, 0) ~ (1, -1, 0, 0) | (0, -1, 0, -1) ~ (0, 1, 0, 1)"
H9,"A3, A4, A11","(-1, 0, 0, 1) ~ (1, 0, 0, -1) | (-1, 0, 1, 0) ~ (1, 0, -1, 0) | (0, 0, -1, 1) ~ (0, 0, 1, -1)"
H10,"A3, A5, A8","(-1, 0, 0, 1) ~ (1, 0, 0, -1) | (-1, 1, 0, 0) ~ (1, -1, 0, 0) | (0, -1, 0, 1) ~ (0, 1, 0, -1)"
H11,"A4, A5, A9","(-1, 0, 1, 0) ~ (1, 0, -1, 0) | (-1, 1, 0, 0) ~ (1, -1, 0, 0) | (0, -1, 1, 0) ~ (0, 1, -1, 0)"
H12,"A6, A7, A11","(0, -1, -1, 0) ~ (0, 1, 1, 0) | (0, -1, 0, -1) ~ (0, 1, 0, 1) | (0, 0, -1, 1) ~ (0, 0, 1, -1)"
H13,"A6, A8, A10","(0, -1, -1, 0) ~ (0, 1, 1, 0) | (0, -1, 0, 1) ~ (0, 1, 0, -1) | (0, 0, -1, -1) ~ (0, 0, 1, 1)"
H14,"A7, A9, A10","(0, -1, 0, -1) ~ (0, 1, 0, 1) | (0, -1, 1, 0) ~ (0, 1, -1, 0) | (0, 0, -1, -1) ~ (0, 0, 1, 1)"
H15,"A8, A9, A11","(0, -1, 0, 1) ~ (0, 1, 0, -1) | (0, -1, 1, 0) ~ (0, 1, -1, 0) | (0, 0, -1, 1) ~ (0, 0, 1, -1)"
