axis,vertex_pair,planes_through_axis
A0,"(-1, -1, 0, 0) ~ (1, 1, 0, 0)","H0, H1, H2, H3"
A1,"(-1, 0, -1, 0) ~ (1, 0, 1, 0)","H0, H4, H5, H6"
A2,"(-1, 0, 0, -1) ~ (1, 0, 0, 1)","H1, H4, H7, H8"
A3,"(-1, 0, 0, 1) ~ (1, 0, 0, -1)","H2, H5, H9, H10"
A4,"(-1, 0, 1, 0) ~ (1, 0, -1, 0)","H3, H7, H9, H11"
A5,"(-1, 1, 0, 0) ~ (1, -1, 0, 0)","H6, H8, H10, H11"
A6,"(0, -1, -1, 0) ~ (0, 1, 1, 0)","H3, H6, H12, H13"
A7,"(0, -1, 0, -1) ~ (0, 1, 0, 1)","H2, H8, H12, H14"
A8,"(0, -1, 0, 1) ~ (0, 1, 0, -1)","H1, H10, H13, H15"
A9,"(0, -1, 1, 0) ~ (0, 1, -1, 0)","H0, H11, H14, H15"
A10,"(0, 0, -1, -1) ~ (0, 0, 1, 1)","H5, H7, H13, H14"
A11,"(0, 0, -1, 1) ~ (0, 0, 1, -1)","H4, H9, H12, H15"
