source,source_node,target,target_node
N12_57_context_dot_ge3,0,N12_58_symplectic_similarity_th44,0
N12_57_context_dot_ge3,3,N12_58_symplectic_similarity_th44,3
N12_57_context_dot_ge3,10,N12_58_symplectic_similarity_th44,1
N12_57_context_dot_ge3,12,N12_58_symplectic_similarity_th44,4
N12_57_context_dot_ge3,13,N12_58_symplectic_similarity_th44,6
N12_57_context_dot_ge3,15,N12_58_symplectic_similarity_th44,2
N12_57_context_dot_ge3,18,N12_58_symplectic_similarity_th44,12
N12_57_context_dot_ge3,25,N12_58_symplectic_similarity_th44,9
N12_57_context_dot_ge3,28,N12_58_symplectic_similarity_th44,10
N12_57_context_dot_ge3,29,N12_58_symplectic_similarity_th44,13
