group_element_hash,m0_map,img_size,img_m0_counts,img_intersect_tomotope15_size
cf067736b461,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
cfa77951106f,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
4ecccd3fdc1d,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",15
022a62461bc7,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
2e238189b009,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
9b13c44f6f70,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
6b745c1e0053,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
952e571f106e,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
1dba1f411aeb,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
1bd9082d1ae6,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
f733721dab0b,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
ddcbfd3df81b,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
0db5db0bf809,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
3bf44a493e41,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
768dffd3400a,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
5a807264297e,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",15
91f69f038504,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
0e37608345c2,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
727c1e4a5a8a,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
3f1fe89fcde5,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
68df156b2afe,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
22d53e214f50,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
70f0f91a9edb,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
93cd043f665a,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
cfaaba5f9738,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",15
133ac48249cb,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
3684626134ea,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
0d1b15654716,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
3288bd88e0bc,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",15
6959bcb54558,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
a12906b3c9f8,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
9e47636aca22,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
07d35bd95e03,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
86dd9d5d5794,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
b82b7de8021c,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
b6fe03920575,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
83d906b8c49c,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
cf193837f6de,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",15
71d93f9d2687,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
9bea9f2c2b87,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
03458f41f61d,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
dedc82e3fe02,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",9
357fb785918e,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",12
449f20b11001,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
b4084f110aaa,"(0, 1, 2)",15,"{0: 3, 1: 3, 2: 9}",15
5087b687cb3e,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",12
9aadd4f116ac,"(1, 0, 2)",15,"{0: 3, 1: 3, 2: 9}",9
