triangle,tomotope_vertices,triple_classes,missing_class,missing_point,full_quartet_classes,full_quartet_points,w33_line_id
"(1,-1)",12- 13- 14-,sec0_m1 sec1_m2 sec3_m0,sec2_m1,23+,sec0_m1 sec1_m2 sec2_m1 sec3_m0,14- 12- 23+ 13-,32
"(1,-2)",12- 13+ 14+,sec1_m2 sec2_m2 sec3_m1,sec0_m2,24-,sec0_m2 sec1_m2 sec2_m2 sec3_m1,24- 12- 14+ 13+,39
"(1,-3)",12+ 13- 14+,sec1_m0 sec2_m2 sec3_m0,sec0_m2,24-,sec0_m2 sec1_m0 sec2_m2 sec3_m0,24- 12+ 14+ 13-,22
"(1,-4)",12+ 13+ 14-,sec0_m1 sec1_m0 sec3_m1,sec2_m2,14+,sec0_m1 sec1_m0 sec2_m2 sec3_m1,14- 12+ 14+ 13+,23
"(2,-1)",12- 23+ 24+,sec1_m2 sec2_m1 sec3_m2,sec0_m2,24-,sec0_m2 sec1_m2 sec2_m1 sec3_m2,24- 12- 23+ 24+,30
"(2,-2)",12- 23- 24-,sec0_m2 sec1_m2 sec2_m0,sec3_m0,13-,sec0_m2 sec1_m2 sec2_m0 sec3_m0,24- 12- 23- 13-,28
"(2,-3)",12+ 23- 24+,sec1_m0 sec2_m0 sec3_m2,sec0_m2,24-,sec0_m2 sec1_m0 sec2_m0 sec3_m2,24- 12+ 23- 24+,8
"(2,-4)",12+ 23+ 24-,sec0_m2 sec1_m0 sec2_m1,sec3_m1,13+,sec0_m2 sec1_m0 sec2_m1 sec3_m1,24- 12+ 23+ 13+,17
"(3,-1)",13- 23+ 34+,sec1_m1 sec2_m1 sec3_m0,sec0_m2,24-,sec0_m2 sec1_m1 sec2_m1 sec3_m0,24- 34+ 23+ 13-,6
"(3,-2)",13+ 23- 34+,sec1_m1 sec2_m0 sec3_m1,sec0_m2,24-,sec0_m2 sec1_m1 sec2_m0 sec3_m1,24- 34+ 23- 13+,14
"(3,-3)",13- 23- 34-,sec0_m0 sec2_m0 sec3_m0,sec1_m1,34+,sec0_m0 sec1_m1 sec2_m0 sec3_m0,34- 34+ 23- 13-,15
"(3,-4)",13+ 23+ 34-,sec0_m0 sec2_m1 sec3_m1,sec1_m2,12-,sec0_m0 sec1_m2 sec2_m1 sec3_m1,34- 12- 23+ 13+,3
"(4,-1)",14- 24+ 34+,sec0_m1 sec1_m1 sec3_m2,sec2_m0,23-,sec0_m1 sec1_m1 sec2_m0 sec3_m2,14- 34+ 23- 24+,16
"(4,-2)",14+ 24- 34+,sec0_m2 sec1_m1 sec2_m2,sec3_m2,24+,sec0_m2 sec1_m1 sec2_m2 sec3_m2,24- 34+ 14+ 24+,20
"(4,-3)",14+ 24+ 34-,sec0_m0 sec2_m2 sec3_m2,sec1_m0,12+,sec0_m0 sec1_m0 sec2_m2 sec3_m2,34- 12+ 14+ 24+,18
