poly_coeffs,m_tuple,is_realized_by_tomotope,a0,a1,a2,a3
"(0, 0, 0, 1)","(0, 0, 0, 1)",False,0,0,0,1
"(0, 0, 1, 2)","(0, 0, 1, 0)",False,0,0,1,2
"(0, 1, 1, 0)","(0, 1, 1, 2)",False,0,1,1,0
"(0, 1, 2, 1)","(0, 1, 2, 1)",False,0,1,2,1
"(0, 2, 0, 0)","(0, 2, 0, 2)",False,0,2,0,0
"(0, 2, 2, 2)","(0, 2, 2, 0)",False,0,2,2,2
"(1, 0, 0, 0)","(1, 1, 1, 1)",False,1,0,0,0
"(1, 0, 1, 1)","(1, 1, 2, 0)",False,1,0,1,1
"(1, 1, 1, 2)","(1, 2, 2, 2)",False,1,1,1,2
"(1, 1, 2, 0)","(1, 2, 0, 1)",False,1,1,2,0
"(1, 2, 0, 2)","(1, 0, 1, 2)",False,1,2,0,2
"(1, 2, 2, 1)","(1, 0, 0, 0)",False,1,2,2,1
