point_id,type,cycle_id,members
C00,tau_3cycle,0,"047,158,236"
C01,tau_3cycle,1,"04b,159,23a"
C02,tau_3cycle,2,"07b,189,26a"
C03,tau_3cycle,3,"36a,47b,589"
C04,tau_3cycle,4,"01a,12b,029"
C05,tau_3cycle,5,"038,146,257"
C06,tau_3cycle,6,"349,45a,35b"
C07,tau_3cycle,7,"679,78a,68b"
C08,tau_3cycle,8,"013,124,025"
C09,tau_3cycle,9,"069,17a,28b"
C10,tau_3cycle,10,"378,468,567"
C11,tau_3cycle,11,"39b,49a,5ab"
C12,tau_3cycle,12,"058,136,247"
C13,tau_3cycle,13,"06b,179,28a"
C14,tau_3cycle,14,"0ab,19b,29a"
C15,tau_3cycle,15,"347,458,356"
C16,tau_3cycle,16,"016,127,028"
C17,tau_3cycle,17,"05a,13b,249"
C18,tau_3cycle,18,"348,456,357"
C19,tau_3cycle,19,"69b,79a,8ab"
C20,tau_3cycle,20,"037,148,256"
C21,tau_3cycle,21,"059,13a,24b"
C22,tau_3cycle,22,"015,123,024"
C23,tau_3cycle,23,"046,157,238"
C24,tau_3cycle,24,"37b,489,56a"
C25,tau_3cycle,25,"69a,7ab,89b"
C26,tau_3cycle,26,"01b,129,02a"
C27,tau_3cycle,27,"346,457,358"
C28,tau_3cycle,28,"019,12a,02b"
C29,tau_3cycle,29,"368,467,578"
C30,tau_3cycle,30,"034,145,235"
C31,tau_3cycle,31,"04a,15b,239"
C32,tau_3cycle,32,"089,16a,27b"
C33,tau_3cycle,33,"67b,789,68a"
C34,tau_3cycle,34,"039,14a,25b"
C37,tau_3cycle,37,"38b,469,57a"
F35,tau_fixed,35,678
X35,complement_fixed,35,345
F36,tau_fixed,36,012
X36,complement_fixed,36,9ab
