lambda,branch,m,eig_rank,eigval0,eigval_lambda,tags,mult
0.0,sym,0,1,4.802493312043023,4.802493312043023,O12_bias,1
0.0,anti,0,1,4.802493312043023,4.802493312043023,O12_bias,3
0.0,sym,1,1,4.770531255977426,4.770531255977426,,1
0.0,anti,5,1,4.770531255977426,4.770531255977426,,3
0.0,sym,5,1,4.770531255977426,4.770531255977426,,1
0.0,anti,1,1,4.770531255977426,4.770531255977426,,3
0.0,anti,4,1,4.704072668327496,4.704072668327496,spin_sigma_mode|phase_sum_mode,3
0.0,sym,4,1,4.704072668327496,4.704072668327496,spin_sigma_mode|phase_sum_mode,1
0.0,anti,2,1,4.704072668327494,4.704072668327494,spin_sigma_mode|phase_sum_mode,3
0.0,sym,2,1,4.704072668327494,4.704072668327494,spin_sigma_mode|phase_sum_mode,1
0.0,anti,3,1,4.669576639044021,4.669576639044021,spin_sigma_mode|phase_sum_mode,3
0.0,sym,3,1,4.669576639044021,4.669576639044021,spin_sigma_mode|phase_sum_mode,1
0.0,anti,5,2,3.7054412305946682,3.7054412305946682,O12_bias,3
0.0,anti,1,2,3.7054412305946682,3.7054412305946682,O12_bias,3
0.0,sym,1,2,3.7054412305946682,3.7054412305946682,O12_bias,1
0.0,sym,5,2,3.7054412305946682,3.7054412305946682,O12_bias,1
0.0,anti,2,2,3.7015892187557564,3.7015892187557564,,3
0.0,sym,2,2,3.7015892187557564,3.7015892187557564,,1
0.0,anti,4,2,3.701589218755756,3.701589218755756,,3
0.0,sym,4,2,3.701589218755756,3.701589218755756,,1
0.0,sym,3,2,3.695995880997437,3.695995880997437,,1
0.0,anti,3,2,3.695995880997437,3.695995880997437,,3
0.0,anti,0,2,3.695275930339779,3.695275930339779,defect_localized|O12_bias,3
0.0,sym,0,2,3.695275930339779,3.695275930339779,defect_localized|O12_bias,1
0.0,anti,0,3,3.695275930339778,3.695275930339778,,3
0.05,sym,0,1,4.802493312043023,4.952493312043023,O12_bias,1
0.05,sym,1,1,4.770531255977426,4.920531255977426,,1
0.05,sym,5,1,4.770531255977426,4.920531255977426,,1
0.05,sym,4,1,4.704072668327496,4.854072668327496,spin_sigma_mode|phase_sum_mode,1
0.05,sym,2,1,4.704072668327494,4.854072668327494,spin_sigma_mode|phase_sum_mode,1
0.05,sym,3,1,4.669576639044021,4.819576639044022,spin_sigma_mode|phase_sum_mode,1
0.05,anti,0,1,4.802493312043023,4.752493312043023,O12_bias,3
0.05,anti,1,1,4.770531255977426,4.720531255977426,,3
0.05,anti,5,1,4.770531255977426,4.720531255977426,,3
0.05,anti,4,1,4.704072668327496,4.654072668327496,spin_sigma_mode|phase_sum_mode,3
0.05,anti,2,1,4.704072668327494,4.654072668327494,spin_sigma_mode|phase_sum_mode,3
0.05,anti,3,1,4.669576639044021,4.619576639044022,spin_sigma_mode|phase_sum_mode,3
0.05,sym,1,2,3.7054412305946682,3.855441230594668,O12_bias,1
0.05,sym,5,2,3.7054412305946682,3.855441230594668,O12_bias,1
0.05,sym,2,2,3.7015892187557564,3.8515892187557563,,1
0.05,sym,4,2,3.701589218755756,3.851589218755756,,1
0.05,sym,3,2,3.695995880997437,3.845995880997437,,1
0.05,sym,0,2,3.695275930339779,3.845275930339779,defect_localized|O12_bias,1
0.05,sym,0,3,3.695275930339778,3.845275930339778,,1
0.05,sym,5,3,3.6785893249853685,3.8285893249853684,O12_bias,1
0.05,sym,1,3,3.6785893249853685,3.8285893249853684,O12_bias,1
0.05,sym,4,3,3.6651490330615926,3.8151490330615925,defect_localized|O12_bias,1
0.05,sym,2,3,3.6651490330615917,3.8151490330615916,defect_localized|O12_bias,1
0.05,sym,3,3,3.6595010246490856,3.8095010246490855,defect_localized|O12_bias,1
0.05,anti,1,2,3.7054412305946682,3.6554412305946684,O12_bias,3
0.1,sym,0,1,4.802493312043023,5.1024933120430225,O12_bias,1
0.1,sym,1,1,4.770531255977426,5.070531255977426,,1
0.1,sym,5,1,4.770531255977426,5.070531255977426,,1
0.1,sym,4,1,4.704072668327496,5.004072668327495,spin_sigma_mode|phase_sum_mode,1
0.1,sym,2,1,4.704072668327494,5.004072668327494,spin_sigma_mode|phase_sum_mode,1
0.1,sym,3,1,4.669576639044021,4.969576639044021,spin_sigma_mode|phase_sum_mode,1
0.1,anti,0,1,4.802493312043023,4.702493312043023,O12_bias,3
0.1,anti,1,1,4.770531255977426,4.670531255977426,,3
0.1,anti,5,1,4.770531255977426,4.670531255977426,,3
0.1,anti,4,1,4.704072668327496,4.604072668327496,spin_sigma_mode|phase_sum_mode,3
0.1,anti,2,1,4.704072668327494,4.604072668327494,spin_sigma_mode|phase_sum_mode,3
0.1,anti,3,1,4.669576639044021,4.569576639044022,spin_sigma_mode|phase_sum_mode,3
0.1,sym,1,2,3.7054412305946682,4.005441230594668,O12_bias,1
0.1,sym,5,2,3.7054412305946682,4.005441230594668,O12_bias,1
0.1,sym,2,2,3.7015892187557564,4.001589218755757,,1
0.1,sym,4,2,3.701589218755756,4.001589218755756,,1
0.1,sym,3,2,3.695995880997437,3.9959958809974374,,1
0.1,sym,0,2,3.695275930339779,3.995275930339779,defect_localized|O12_bias,1
0.1,sym,0,3,3.695275930339778,3.995275930339778,,1
0.1,sym,5,3,3.6785893249853685,3.9785893249853688,O12_bias,1
0.1,sym,1,3,3.6785893249853685,3.9785893249853688,O12_bias,1
0.1,sym,4,3,3.6651490330615926,3.965149033061593,defect_localized|O12_bias,1
0.1,sym,2,3,3.6651490330615917,3.965149033061592,defect_localized|O12_bias,1
0.1,sym,3,3,3.6595010246490856,3.959501024649086,defect_localized|O12_bias,1
0.1,sym,0,4,3.4191281165160383,3.719128116516038,O12_bias,1
0.25,sym,0,1,4.802493312043023,5.552493312043023,O12_bias,1
0.25,sym,1,1,4.770531255977426,5.520531255977426,,1
0.25,sym,5,1,4.770531255977426,5.520531255977426,,1
0.25,sym,4,1,4.704072668327496,5.454072668327496,spin_sigma_mode|phase_sum_mode,1
0.25,sym,2,1,4.704072668327494,5.454072668327494,spin_sigma_mode|phase_sum_mode,1
0.25,sym,3,1,4.669576639044021,5.419576639044021,spin_sigma_mode|phase_sum_mode,1
0.25,anti,0,1,4.802493312043023,4.552493312043023,O12_bias,3
0.25,anti,1,1,4.770531255977426,4.520531255977426,,3
0.25,anti,5,1,4.770531255977426,4.520531255977426,,3
0.25,sym,5,2,3.7054412305946682,4.455441230594668,O12_bias,1
0.25,sym,1,2,3.7054412305946682,4.455441230594668,O12_bias,1
0.25,anti,4,1,4.704072668327496,4.454072668327496,spin_sigma_mode|phase_sum_mode,3
0.25,anti,2,1,4.704072668327494,4.454072668327494,spin_sigma_mode|phase_sum_mode,3
0.25,sym,2,2,3.7015892187557564,4.451589218755757,,1
0.25,sym,4,2,3.701589218755756,4.451589218755756,,1
0.25,sym,3,2,3.695995880997437,4.445995880997437,,1
0.25,sym,0,2,3.695275930339779,4.445275930339779,defect_localized|O12_bias,1
0.25,sym,0,3,3.695275930339778,4.445275930339778,,1
0.25,sym,5,3,3.6785893249853685,4.428589324985369,O12_bias,1
0.25,sym,1,3,3.6785893249853685,4.428589324985369,O12_bias,1
0.25,anti,3,1,4.669576639044021,4.419576639044021,spin_sigma_mode|phase_sum_mode,3
0.25,sym,2,3,3.6651490330615917,4.415149033061592,defect_localized|O12_bias,1
0.25,sym,4,3,3.6651490330615926,4.415149033061592,defect_localized|O12_bias,1
0.25,sym,3,3,3.6595010246490856,4.409501024649085,defect_localized|O12_bias,1
0.25,sym,0,4,3.4191281165160383,4.169128116516038,O12_bias,1
0.5,sym,0,1,4.802493312043023,6.302493312043023,O12_bias,1
0.5,sym,1,1,4.770531255977426,6.270531255977426,,1
0.5,sym,5,1,4.770531255977426,6.270531255977426,,1
0.5,sym,4,1,4.704072668327496,6.204072668327496,spin_sigma_mode|phase_sum_mode,1
0.5,sym,2,1,4.704072668327494,6.204072668327494,spin_sigma_mode|phase_sum_mode,1
0.5,sym,3,1,4.669576639044021,6.169576639044021,spin_sigma_mode|phase_sum_mode,1
0.5,sym,5,2,3.7054412305946682,5.205441230594668,O12_bias,1
0.5,sym,1,2,3.7054412305946682,5.205441230594668,O12_bias,1
0.5,sym,2,2,3.7015892187557564,5.201589218755757,,1
0.5,sym,4,2,3.701589218755756,5.201589218755756,,1
0.5,sym,3,2,3.695995880997437,5.195995880997437,,1
0.5,sym,0,2,3.695275930339779,5.195275930339779,defect_localized|O12_bias,1
0.5,sym,0,3,3.695275930339778,5.195275930339778,,1
0.5,sym,1,3,3.6785893249853685,5.178589324985369,O12_bias,1
0.5,sym,5,3,3.6785893249853685,5.178589324985369,O12_bias,1
0.5,sym,4,3,3.6651490330615926,5.165149033061592,defect_localized|O12_bias,1
0.5,sym,2,3,3.6651490330615917,5.165149033061592,defect_localized|O12_bias,1
0.5,sym,3,3,3.6595010246490856,5.159501024649085,defect_localized|O12_bias,1
0.5,sym,0,4,3.4191281165160383,4.919128116516038,O12_bias,1
0.5,sym,1,4,3.4023190984133245,4.902319098413324,O12_bias,1
0.5,sym,5,4,3.4023190984133245,4.902319098413324,O12_bias,1
0.5,sym,2,4,3.3555502672476796,4.855550267247679,defect_localized|O6_bias,1
0.5,sym,4,4,3.3555502672476782,4.855550267247678,defect_localized|O6_bias,1
0.5,sym,3,4,3.318534731727932,4.818534731727932,defect_localized|O6_bias,1
0.5,sym,0,5,3.152908847134642,4.652908847134642,,1
1.0,sym,0,1,4.802493312043023,7.802493312043023,O12_bias,1
1.0,sym,1,1,4.770531255977426,7.770531255977426,,1
1.0,sym,5,1,4.770531255977426,7.770531255977426,,1
1.0,sym,4,1,4.704072668327496,7.704072668327496,spin_sigma_mode|phase_sum_mode,1
1.0,sym,2,1,4.704072668327494,7.704072668327494,spin_sigma_mode|phase_sum_mode,1
1.0,sym,3,1,4.669576639044021,7.669576639044021,spin_sigma_mode|phase_sum_mode,1
1.0,sym,1,2,3.7054412305946682,6.705441230594668,O12_bias,1
1.0,sym,5,2,3.7054412305946682,6.705441230594668,O12_bias,1
1.0,sym,2,2,3.7015892187557564,6.701589218755757,,1
1.0,sym,4,2,3.701589218755756,6.701589218755756,,1
1.0,sym,3,2,3.695995880997437,6.695995880997437,,1
1.0,sym,0,2,3.695275930339779,6.695275930339779,defect_localized|O12_bias,1
1.0,sym,0,3,3.695275930339778,6.695275930339778,,1
1.0,sym,5,3,3.6785893249853685,6.678589324985369,O12_bias,1
1.0,sym,1,3,3.6785893249853685,6.678589324985369,O12_bias,1
1.0,sym,2,3,3.6651490330615917,6.665149033061592,defect_localized|O12_bias,1
1.0,sym,4,3,3.6651490330615926,6.665149033061592,defect_localized|O12_bias,1
1.0,sym,3,3,3.6595010246490856,6.659501024649085,defect_localized|O12_bias,1
1.0,sym,0,4,3.4191281165160383,6.419128116516038,O12_bias,1
1.0,sym,1,4,3.4023190984133245,6.402319098413324,O12_bias,1
1.0,sym,5,4,3.4023190984133245,6.402319098413324,O12_bias,1
1.0,sym,2,4,3.3555502672476796,6.355550267247679,defect_localized|O6_bias,1
1.0,sym,4,4,3.3555502672476782,6.355550267247678,defect_localized|O6_bias,1
1.0,sym,3,4,3.318534731727932,6.318534731727932,defect_localized|O6_bias,1
1.0,sym,0,5,3.152908847134642,6.152908847134642,,1
2.0,sym,0,1,4.802493312043023,10.802493312043023,O12_bias,1
2.0,sym,1,1,4.770531255977426,10.770531255977426,,1
2.0,sym,5,1,4.770531255977426,10.770531255977426,,1
2.0,sym,4,1,4.704072668327496,10.704072668327495,spin_sigma_mode|phase_sum_mode,1
2.0,sym,2,1,4.704072668327494,10.704072668327495,spin_sigma_mode|phase_sum_mode,1
2.0,sym,3,1,4.669576639044021,10.66957663904402,spin_sigma_mode|phase_sum_mode,1
2.0,sym,1,2,3.7054412305946682,9.70544123059467,O12_bias,1
2.0,sym,5,2,3.7054412305946682,9.70544123059467,O12_bias,1
2.0,sym,4,2,3.701589218755756,9.701589218755757,,1
2.0,sym,2,2,3.7015892187557564,9.701589218755757,,1
