support_4set,edge_count_in_flipgraph,delta0,delta2,delta4,delta6,A4_orbit_size_on_4sets,A4_stabilizer_size,A4_has_nontrivial_stabilizer,nontrivial_stabilizer_rep
0 1 3 8,4,0,2,0,2,12,1,0,
0 1 3 9,1,0,0,0,1,12,1,0,
0 1 4 8,6,0,5,0,1,12,1,0,
0 1 4 9,2,0,2,0,0,6,2,1,4 9 6 10 0 8 2 11 5 1 3 7
0 1 8 9,5,5,0,0,0,12,1,0,
0 1 9 10,2,2,0,0,0,12,1,0,
0 3 8 9,4,4,0,0,0,12,1,0,
0 4 8 9,3,3,0,0,0,12,1,0,
1 2 3 7,5,5,0,0,0,12,1,0,
1 2 3 8,2,0,2,0,0,6,2,1,11 8 3 2 7 9 10 4 1 5 6 0
1 2 3 9,2,0,0,0,2,12,1,0,
1 2 3 10,1,0,1,0,0,12,1,0,
1 2 7 8,3,0,1,0,2,12,1,0,
1 2 7 10,4,0,3,0,1,12,1,0,
1 3 4 8,1,1,0,0,0,12,1,0,
1 3 4 9,1,1,0,0,0,12,1,0,
1 3 8 10,1,1,0,0,0,12,1,0,
1 3 9 10,3,1,0,0,2,6,2,1,4 9 6 10 0 8 2 11 5 1 3 7
1 3 10 11,2,0,2,0,0,12,1,0,
1 4 5 9,4,4,0,0,0,12,1,0,
1 4 5 10,4,4,0,0,0,12,1,0,
1 4 6 9,1,1,0,0,0,12,1,0,
1 4 6 10,1,1,0,0,0,12,1,0,
1 5 9 10,1,1,0,0,0,12,1,0,
1 6 9 10,1,1,0,0,0,12,1,0,
1 7 8 10,1,1,0,0,0,12,1,0,
2 3 7 8,6,6,0,0,0,12,1,0,
2 3 7 10,4,4,0,0,0,12,1,0,
3 4 8 9,1,1,0,0,0,12,1,0,
3 5 9 10,2,2,0,0,0,12,1,0,
3 6 7 9,1,1,0,0,0,12,1,0,
3 6 7 11,3,0,0,0,3,12,1,0,
3 6 9 11,4,0,3,0,1,12,1,0,
3 6 10 11,5,0,1,0,4,12,1,0,
3 7 8 10,1,1,0,0,0,12,1,0,
3 7 9 10,1,0,0,1,0,12,1,0,
3 7 10 11,2,0,0,2,0,6,2,1,4 9 6 10 0 8 2 11 5 1 3 7
3 9 10 11,1,1,0,0,0,12,1,0,
4 5 6 9,6,6,0,0,0,12,1,0,
4 5 6 10,3,3,0,0,0,12,1,0,
4 5 9 10,5,0,1,0,4,12,1,0,
4 6 7 8,2,0,1,0,1,12,1,0,
5 6 9 10,2,2,0,0,0,6,2,1,11 8 3 2 7 9 10 4 1 5 6 0
6 7 9 10,1,0,0,1,0,12,1,0,
6 7 10 11,6,0,6,0,0,12,1,0,
6 9 10 11,4,0,1,0,3,12,1,0,
