lambda,rank,eigenvalue
0.0,1,4.802493312043019
0.0,2,4.802493312043019
0.0,3,4.802493312043019
0.0,4,4.802493312043019
0.0,5,4.7705312559774224
0.0,6,4.7705312559774224
0.0,7,4.7705312559774224
0.0,8,4.7705312559774224
0.0,9,4.7705312559774224
0.0,10,4.7705312559774224
0.0,11,4.7705312559774224
0.0,12,4.7705312559774224
0.0,13,4.704072668327499
0.0,14,4.704072668327499
0.0,15,4.704072668327499
0.0,16,4.704072668327499
0.0,17,4.704072668327491
0.0,18,4.704072668327491
0.0,19,4.704072668327491
0.0,20,4.704072668327491
0.0,21,4.669576639044021
0.0,22,4.669576639044021
0.0,23,4.669576639044021
0.0,24,4.669576639044021
0.0,25,3.70544123059467
0.025,1,4.877493312043019
0.025,2,4.845531255977423
0.025,3,4.845531255977423
0.025,4,4.779072668327499
0.025,5,4.779072668327491
0.025,6,4.777493312043019
0.025,7,4.777493312043019
0.025,8,4.777493312043019
0.025,9,4.745531255977422
0.025,10,4.745531255977422
0.025,11,4.745531255977422
0.025,12,4.745531255977422
0.025,13,4.745531255977422
0.025,14,4.745531255977422
0.025,15,4.744576639044022
0.025,16,4.679072668327499
0.025,17,4.679072668327499
0.025,18,4.679072668327499
0.025,19,4.679072668327491
0.025,20,4.679072668327491
0.025,21,4.679072668327491
0.025,22,4.644576639044021
0.025,23,4.644576639044021
0.025,24,4.644576639044021
0.025,25,3.78044123059467
0.05,1,4.9524933120430195
0.05,2,4.920531255977423
0.05,3,4.920531255977423
0.05,4,4.8540726683274995
0.05,5,4.8540726683274915
0.05,6,4.819576639044022
0.05,7,4.752493312043019
0.05,8,4.752493312043019
0.05,9,4.752493312043019
0.05,10,4.720531255977423
0.05,11,4.720531255977423
0.05,12,4.720531255977423
0.05,13,4.720531255977423
0.05,14,4.720531255977423
0.05,15,4.720531255977423
0.05,16,4.654072668327499
0.05,17,4.654072668327499
0.05,18,4.654072668327499
0.05,19,4.654072668327491
0.05,20,4.654072668327491
0.05,21,4.654072668327491
0.05,22,4.619576639044022
0.05,23,4.619576639044022
0.05,24,4.619576639044022
0.05,25,3.85544123059467
0.07500000000000001,1,5.027493312043019
0.07500000000000001,2,4.995531255977422
0.07500000000000001,3,4.995531255977422
0.07500000000000001,4,4.929072668327499
0.07500000000000001,5,4.929072668327491
0.07500000000000001,6,4.894576639044021
0.07500000000000001,7,4.727493312043019
0.07500000000000001,8,4.727493312043019
0.07500000000000001,9,4.727493312043019
0.07500000000000001,10,4.695531255977422
0.07500000000000001,11,4.695531255977422
0.07500000000000001,12,4.695531255977422
0.07500000000000001,13,4.695531255977422
0.07500000000000001,14,4.695531255977422
0.07500000000000001,15,4.695531255977422
0.07500000000000001,16,4.629072668327499
0.07500000000000001,17,4.629072668327499
0.07500000000000001,18,4.629072668327499
0.07500000000000001,19,4.629072668327491
0.07500000000000001,20,4.629072668327491
0.07500000000000001,21,4.629072668327491
0.07500000000000001,22,4.594576639044021
0.07500000000000001,23,4.594576639044021
0.07500000000000001,24,4.594576639044021
0.07500000000000001,25,3.93044123059467
0.1,1,5.102493312043019
0.1,2,5.070531255977422
0.1,3,5.070531255977422
0.1,4,5.004072668327499
0.1,5,5.004072668327491
0.1,6,4.969576639044021
0.1,7,4.7024933120430195
0.1,8,4.7024933120430195
0.1,9,4.7024933120430195
0.1,10,4.670531255977423
0.1,11,4.670531255977423
0.1,12,4.670531255977423
0.1,13,4.670531255977423
