constraint_id,chord,const_sum_noncentral,delta4_coeffs,cycle_edge_count,cycle_edges
0,20-38,4,{'0-20': 4},4,"0-6,0-20,6-38,20-38"
1,26-27,0,"{'0-20': 4, '26-27': 4}",4,"0-20,0-26,20-27,26-27"
2,26-35,0,{},4,"0-6,0-26,6-35,26-35"
3,26-44,-4,{'0-20': 4},4,"0-20,0-26,20-44,26-44"
4,27-45,0,"{'0-20': 4, '27-45': 4}",4,"0-20,0-45,20-27,27-45"
5,44-45,-4,{'0-20': 4},4,"0-20,0-45,20-44,44-45"
6,48-54,0,{},4,"0-6,0-48,6-54,48-54"
7,48-57,0,{},4,"0-45,0-48,45-57,48-57"
8,1-54,0,{},4,"1-32,1-54,6-32,6-54"
9,17-55,0,{},4,"1-16,1-17,16-55,17-55"
10,2-32,0,{},4,"1-17,1-32,2-17,2-32"
11,32-56,0,{},4,"1-16,1-32,16-56,32-56"
12,9-50,0,{},4,"1-16,1-50,9-16,9-50"
13,34-50,0,{},4,"1-16,1-50,16-34,34-50"
14,9-54,0,{},6,"1-16,1-32,6-32,6-54,9-16,9-54"
15,34-54,0,{},6,"1-16,1-32,6-32,6-54,16-34,34-54"
16,18-21,0,{},6,"1-17,1-32,2-17,2-21,18-21,18-32"
17,30-55,0,{},6,"1-16,1-17,2-17,2-30,16-55,30-55"
18,30-56,0,{},6,"1-16,1-17,2-17,2-30,16-56,30-56"
19,14-37,0,{},9,"1-17,1-50,2-17,2-21,3-11,3-14,11-50,14-37,21-37"
20,19-22,-4,{'0-20': 4},10,"0-6,0-20,1-32,1-50,3-11,3-22,6-32,11-50,19-20,19-22"
21,22-25,0,{},4,"3-11,3-22,11-25,22-25"
22,22-28,0,{},4,"3-14,3-22,14-28,22-28"
23,36-46,0,{},4,"4-7,4-46,7-36,36-46"
24,5-47,0,{},4,"4-46,4-47,5-46,5-47"
25,24-47,0,{},11,"1-17,1-32,2-17,2-30,4-46,4-47,5-30,5-46,6-24,6-32,24-47"
26,41-47,0,{},6,"4-46,4-47,5-30,5-46,30-41,41-47"
27,47-56,0,{},10,"1-16,1-17,2-17,2-30,4-46,4-47,5-30,5-46,16-56,47-56"
28,24-52,0,{},11,"1-17,1-32,2-17,2-30,4-46,4-52,5-30,5-46,6-24,6-32,24-52"
29,29-52,0,{},4,"4-7,4-52,7-29,29-52"
30,5-40,-4,{'0-20': 4},10,"0-6,0-20,1-17,1-32,2-17,2-30,5-30,5-40,6-32,20-40"
31,40-41,4,{'0-20': 4},10,"0-6,0-20,1-17,1-32,2-17,2-30,6-32,20-40,30-41,40-41"
32,40-56,4,{'0-20': 4},8,"0-6,0-20,1-16,1-32,6-32,16-56,20-40,40-56"
33,19-24,-4,{'0-20': 4},5,"0-6,0-20,6-24,19-20,19-24"
34,24-25,0,{},7,"1-32,1-50,6-24,6-32,11-25,11-50,24-25"
35,24-38,0,{},3,"6-24,6-38,24-38"
36,13-35,0,{},12,"1-17,1-32,2-17,2-30,4-46,4-52,5-30,5-46,6-32,6-35,13-35,13-52"
37,18-35,0,{},4,"6-32,6-35,18-32,18-35"
38,13-38,0,{},12,"1-17,1-32,2-17,2-30,4-46,4-52,5-30,5-46,6-32,6-38,13-38,13-52"
39,34-38,0,{},6,"1-16,1-32,6-32,6-38,16-34,34-38"
40,38-56,0,{},6,"1-16,1-32,6-32,6-38,16-56,38-56"
41,8-23,0,{},12,"1-17,1-50,2-17,2-30,4-7,4-46,5-30,5-46,7-29,8-23,8-50,23-29"
42,8-39,0,{},4,"8-39,8-50,11-39,11-50"
43,13-23,0,{},6,"4-7,4-52,7-29,13-23,13-52,23-29"
44,23-34,0,{},12,"1-16,1-17,2-17,2-30,4-7,4-46,5-30,5-46,7-29,16-34,23-29,23-34"
45,23-53,0,{},6,"4-7,4-52,7-29,23-29,23-53,52-53"
46,39-53,0,{},12,"1-17,1-50,2-17,2-30,4-46,4-52,5-30,5-46,11-39,11-50,39-53,52-53"
47,9-31,0,{},8,"0-6,0-48,1-16,1-32,6-32,9-16,9-31,31-48"
48,31-43,0,{},15,"0-6,0-48,1-17,1-32,2-17,2-30,4-7,4-46,5-30,5-46,6-32,7-36,31-43,31-48,36-43"
49,10-33,0,{},6,"0-6,0-26,6-35,10-26,10-33,33-35"
50,12-15,4,{'10-12': 4},16,"0-6,0-26,1-17,1-32,2-17,2-30,4-7,4-46,5-30,5-46,6-32,7-29,10-12,10-26,12-15,15-29"
51,12-27,0,"{'0-20': 4, '10-12': 4}",6,"0-20,0-26,10-12,10-26,12-27,20-27"
52,15-33,0,{},14,"1-17,1-32,2-17,2-30,4-7,4-46,5-30,5-46,6-32,6-35,7-29,15-29,15-33,33-35"
53,25-34,0,{},6,"1-16,1-50,11-25,11-50,16-34,25-34"
54,25-53,0,{},12,"1-17,1-50,2-17,2-30,4-46,4-52,5-30,5-46,11-25,11-50,25-53,52-53"
55,13-15,0,{},6,"4-7,4-52,7-29,13-15,13-52,15-29"
56,15-53,0,{},6,"4-7,4-52,7-29,15-29,15-53,52-53"
57,13-27,4,{'0-20': 4},14,"0-6,0-20,1-17,1-32,2-17,2-30,4-46,4-52,5-30,5-46,6-32,13-27,13-52,20-27"
58,37-51,0,{},10,"1-17,1-32,2-17,2-21,6-32,6-35,21-37,33-35,33-51,37-51"
59,18-51,0,{},6,"6-32,6-35,18-32,18-51,33-35,33-51"
60,19-41,4,{'0-20': 4},10,"0-6,0-20,1-17,1-32,2-17,2-30,6-32,19-20,19-41,30-41"
61,19-42,4,{'0-20': 4},12,"0-6,0-20,1-32,1-50,3-11,3-14,6-32,11-50,14-28,19-20,19-42,28-42"
62,42-44,-4,{'0-20': 4},12,"0-6,0-20,1-32,1-50,3-11,3-14,6-32,11-50,14-28,20-44,28-42,42-44"
63,42-58,0,{},12,"1-17,1-50,2-17,2-30,3-11,3-14,11-50,14-28,28-42,30-41,41-58,42-58"
64,44-49,0,{},4,"20-40,20-44,40-49,44-49"
65,43-57,0,{},15,"0-6,0-45,1-17,1-32,2-17,2-30,4-7,4-46,5-30,5-46,6-32,7-36,36-43,43-57,45-57"
66,49-58,4,{'0-20': 4},12,"0-6,0-20,1-17,1-32,2-17,2-30,6-32,20-40,30-41,40-49,41-58,49-58"
