type,m,eig_rank,eigval,defect_mass,O6_mass,O12_mass,corr_sigma,corr_sumph,tags
defect_local,3,4,3.318534731727932,0.3363121523892535,0.20611879012010567,0.16646934696493354,0.19579762220783245,0.14622485169142285,defect_localized|O6_bias
defect_local,3,26,0.3251877090967224,0.32807383842223575,0.23572787624339342,0.13310785520808932,0.051847957663774355,0.00023220109387388116,defect_localized|O6_bias
defect_local,0,58,-3.695275930339779,0.31134969574577775,0.16168336452771978,0.2135314387657835,0.002302186681853202,0.004953997060683752,defect_localized|O12_bias
defect_local,0,2,3.695275930339779,0.31134793983740744,0.16168095521476247,0.21353121140600476,0.003465545302925182,0.0567208173484108,defect_localized|O12_bias
defect_local,2,56,-3.4098676126887644,0.27553623182445675,0.17580942208440842,0.14410751748365683,0.04094445892595871,0.0531464911561268,defect_localized|O6_bias
defect_local,4,56,-3.4098676126887657,0.27553623182445575,0.1758094220844081,0.1441075174836559,0.04094445892595898,0.053146491156126636,defect_localized|O6_bias
defect_local,4,4,3.3555502672476782,0.26812538155861093,0.15554081302456307,0.1427941834182816,0.15553393592732942,0.016812947461759032,defect_localized|O6_bias
defect_local,2,4,3.3555502672476796,0.2681253815586093,0.1555408130245624,0.1427941834182805,0.15553393592732964,0.016812947461759473,defect_localized|O6_bias
spin_phase_top,2,1,4.704072668327494,0.06412878546700994,0.021630833491977294,0.05350933970450416,0.7988103246430192,0.8537245751240816,spin_sigma_mode|phase_sum_mode
spin_phase_top,3,1,4.669576639044021,0.03399626519797557,0.009099589156396316,0.03052486962883859,0.8394070760375785,0.7674590674795309,spin_sigma_mode|phase_sum_mode
