u,v,sig_u,sig_v,sig_pair,delta_sum_mod8,sigma_flip
0,6,"0,0,0,0,0,2","0,0,0,0,0,2","0,0,0,0,0,2 | 0,0,0,0,0,2",0,False
0,20,"0,0,0,0,0,2","0,0,0,2,6,6","0,0,0,0,0,2 | 0,0,0,2,6,6",4,False
0,26,"0,0,0,0,0,2","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,2",6,True
0,45,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
0,48,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
1,16,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
1,17,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
1,32,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
1,50,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
1,54,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
2,17,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
2,21,"0,0,0,0,2,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,2,6",6,True
2,30,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
2,32,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
3,11,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
3,14,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
3,22,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
4,7,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
4,46,"0,0,0,0,0,6","0,0,0,0,6,6","0,0,0,0,0,6 | 0,0,0,0,6,6",6,True
4,47,"0,0,0,0,0,6","0,0,0,0,2,6","0,0,0,0,0,6 | 0,0,0,0,2,6",2,True
4,52,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
5,30,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
5,40,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
5,46,"0,0,0,2,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,2,6,6",6,True
5,47,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
6,24,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
6,32,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
6,35,"0,0,0,0,0,2","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,2",6,True
6,38,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
6,54,"0,0,0,0,0,2","0,0,0,0,2,6","0,0,0,0,0,2 | 0,0,0,0,2,6",6,True
7,29,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
7,36,"0,0,0,0,0,6","0,0,0,0,6,6","0,0,0,0,0,6 | 0,0,0,0,6,6",6,True
8,23,"0,0,0,0,6,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,6,6",2,True
8,39,"0,0,0,0,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,0,6,6",0,False
8,50,"0,0,0,0,6,6","0,0,0,2,6,6","0,0,0,0,6,6 | 0,0,0,2,6,6",2,True
9,16,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
9,31,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
9,50,"0,0,0,0,2,6","0,0,0,2,6,6","0,0,0,0,2,6 | 0,0,0,2,6,6",6,True
9,54,"0,0,0,0,2,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,0,2,6",0,False
10,12,"0,0,0,0,0,0","0,0,0,0,6,6","0,0,0,0,0,0 | 0,0,0,0,6,6",4,False
10,26,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,0",0,False
10,33,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0 | 0,0,0,0,0,0",0,False
11,25,"0,0,0,2,6,6","0,0,0,0,2,6","0,0,0,0,2,6 | 0,0,0,2,6,6",2,True
11,39,"0,0,0,2,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,2,6,6",6,True
11,50,"0,0,0,2,6,6","0,0,0,2,6,6","0,0,0,2,6,6 | 0,0,0,2,6,6",0,False
12,15,"0,0,0,0,6,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,6,6",2,True
12,27,"0,0,0,0,6,6","0,0,0,0,6,6","0,0,0,0,6,6 | 0,0,0,0,6,6",0,False
13,15,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
13,23,"0,0,0,0,0,6","0,0,0,0,0,6","0,0,0,0,0,6 | 0,0,0,0,0,6",0,False
13,27,"0,0,0,0,0,6","0,0,0,0,6,6","0,0,0,0,0,6 | 0,0,0,0,6,6",6,True
