u,v,delta_sum_mod8,abs_delta,sigma_u,sigma_v,sigma_product,flip_support_4set,edge_elem_2T,edge_elem_order,edge_center_class
0,6,0,0,-1,-1,1,1 2 3 7,e,1,e
0,20,4,4,-1,-1,1,3 7 9 10,e*,2,e*
0,26,6,2,-1,1,-1,6 9 10 11,(0 2 1),6,e*
0,45,6,2,-1,1,-1,3 6 7 11,(0 2 1),6,e*
0,48,6,2,-1,1,-1,4 5 9 10,(0 2 1),6,e*
1,16,2,2,-1,1,-1,0 1 4 9,(0 1 2),6,e*
1,17,0,0,-1,-1,1,2 3 7 8,e,1,e
1,32,2,2,-1,1,-1,4 5 9 10,(0 1 2),6,e*
1,50,0,0,-1,-1,1,3 4 8 9,e,1,e
1,54,2,2,-1,1,-1,0 1 3 8,(0 1 2),6,e*
2,17,6,2,1,-1,-1,4 5 9 10,(0 2 1),6,e*
2,21,6,2,1,-1,-1,6 9 10 11,(0 2 1),6,e*
2,30,0,0,1,1,1,0 1 9 10,e,1,e
2,32,0,0,1,1,1,2 3 7 8,e,1,e
3,11,0,0,-1,-1,1,2 3 7 10,e,1,e
3,14,2,2,-1,1,-1,6 7 10 11,(0 1 2),6,e*
3,22,2,2,-1,1,-1,0 1 4 8,(0 1 2),6,e*
4,7,0,0,-1,-1,1,4 5 6 10,e,1,e
4,46,6,2,-1,1,-1,1 2 7 8,(0 2 1),6,e*
4,47,2,2,-1,1,-1,3 6 10 11,(0 1 2),6,e*
4,52,0,0,-1,-1,1,0 1 8 9,e,1,e
5,30,2,2,-1,1,-1,1 2 3 10,(0 1 2),6,e*
5,40,0,0,-1,-1,1,3 7 8 10,e,1,e
5,46,6,2,-1,1,-1,3 6 10 11,(0 2 1),6,e*
5,47,2,2,-1,1,-1,1 2 7 8,(0 1 2),6,e*
6,24,6,2,-1,1,-1,1 3 9 10,(0 2 1),6,e*
6,32,6,2,-1,1,-1,0 1 3 8,(0 2 1),6,e*
6,35,6,2,-1,1,-1,6 9 10 11,(0 2 1),6,e*
6,38,6,2,-1,1,-1,1 3 9 10,(0 2 1),6,e*
6,54,6,2,-1,1,-1,4 5 9 10,(0 2 1),6,e*
7,29,0,0,-1,-1,1,0 1 8 9,e,1,e
7,36,6,2,-1,1,-1,1 2 7 8,(0 2 1),6,e*
8,23,2,2,1,-1,-1,0 1 4 8,(0 1 2),6,e*
8,39,0,0,1,1,1,5 6 9 10,e,1,e
8,50,2,2,1,-1,-1,3 6 9 11,(0 1 2),6,e*
9,16,0,0,1,1,1,1 3 4 8,e,1,e
9,31,0,0,1,1,1,1 2 3 7,e,1,e
9,50,6,2,1,-1,-1,0 1 3 9,(0 2 1),6,e*
9,54,0,0,1,1,1,0 4 8 9,e,1,e
10,12,4,4,1,1,1,3 7 10 11,e*,2,e*
10,26,0,0,1,1,1,4 5 6 9,e,1,e
10,33,0,0,1,1,1,1 2 3 7,e,1,e
11,25,2,2,-1,1,-1,0 1 4 8,(0 1 2),6,e*
11,39,6,2,-1,1,-1,3 6 10 11,(0 2 1),6,e*
11,50,0,0,-1,-1,1,3 5 9 10,e,1,e
12,15,2,2,1,-1,-1,1 2 7 10,(0 1 2),6,e*
12,27,0,0,1,1,1,4 5 6 9,e,1,e
13,15,0,0,-1,-1,1,4 5 6 9,e,1,e
13,23,0,0,-1,-1,1,1 4 5 10,e,1,e
13,27,6,2,-1,1,-1,1 2 7 10,(0 2 1),6,e*
