matching_index,orbit_size,sigma_Z2,sum_phases_mod8,sigma_formula,sigma_matches_formula,all_zero
5,4,-1,6,-1,True,False
26,4,1,0,1,True,True
13,6,-1,6,-1,True,False
21,6,-1,6,-1,True,False
52,6,-1,6,-1,True,False
25,6,1,0,1,True,False
32,6,1,0,1,True,False
45,6,1,0,1,True,False
0,12,-1,2,-1,True,False
1,12,-1,6,-1,True,False
3,12,-1,6,-1,True,False
4,12,-1,6,-1,True,False
6,12,-1,2,-1,True,False
7,12,-1,6,-1,True,False
11,12,-1,6,-1,True,False
15,12,-1,6,-1,True,False
17,12,-1,6,-1,True,False
18,12,-1,6,-1,True,False
20,12,-1,6,-1,True,False
23,12,-1,6,-1,True,False
28,12,-1,2,-1,True,False
29,12,-1,6,-1,True,False
37,12,-1,6,-1,True,False
40,12,-1,6,-1,True,False
42,12,-1,2,-1,True,False
43,12,-1,6,-1,True,False
50,12,-1,6,-1,True,False
51,12,-1,6,-1,True,False
53,12,-1,6,-1,True,False
57,12,-1,6,-1,True,False
58,12,-1,2,-1,True,False
2,12,1,0,1,True,False
8,12,1,4,1,True,False
9,12,1,0,1,True,False
10,12,1,0,1,True,True
12,12,1,4,1,True,False
14,12,1,0,1,True,False
16,12,1,0,1,True,False
19,12,1,0,1,True,False
22,12,1,0,1,True,False
24,12,1,0,1,True,False
27,12,1,4,1,True,False
30,12,1,0,1,True,False
31,12,1,0,1,True,False
33,12,1,0,1,True,True
34,12,1,0,1,True,False
35,12,1,0,1,True,True
36,12,1,4,1,True,False
38,12,1,0,1,True,False
39,12,1,4,1,True,False
41,12,1,0,1,True,False
44,12,1,0,1,True,False
46,12,1,4,1,True,False
47,12,1,0,1,True,False
48,12,1,0,1,True,False
49,12,1,0,1,True,False
54,12,1,0,1,True,False
55,12,1,0,1,True,False
56,12,1,0,1,True,False
