m,idx,eigenvalue
0,0,4.802493312043019
0,1,3.6952759303397835
0,2,3.6952759303397786
0,3,3.419128116516036
0,4,3.1529088471346385
0,5,2.872733234175561
0,6,2.6671825870731345
0,7,2.5581002747703927
0,8,2.019223849278758
0,9,2.019223849278754
0,10,1.9438696934398294
0,11,1.860827521958587
0,12,1.7389095401714962
0,13,1.3847805501239592
0,14,1.3536715699320057
0,15,1.2444051312269875
0,16,1.2444051312269855
0,17,1.1341803563160762
0,18,1.000000000000002
0,19,1.0000000000000018
0,20,0.902363734052289
0,21,0.8480133928962058
0,22,0.8480133928962004
0,23,0.550589491978363
0,24,0.5163071432471714
0,25,0.31965611452603615
0,26,0.13297242667602538
0,27,1.5914697011592197e-15
0,28,2.7421820950826846e-16
0,29,-2.688137791449691e-16
0,30,-3.24552094391145e-15
0,31,-0.022825331332220027
0,32,-0.2702380853140681
0,33,-0.41030999072822666
0,34,-0.5658082425753964
0,35,-0.6302080318183353
0,36,-0.7256042887388258
0,37,-0.7698776084841928
0,38,-0.8480133928962006
0,39,-0.8480133928962037
0,40,-0.9999999999999998
0,41,-1.0000000000000016
0,42,-1.2444051312269873
0,43,-1.2444051312269917
0,44,-1.3081694743158752
0,45,-1.4074494076151993
0,46,-1.9749271877036596
0,47,-2.0192238492787533
0,48,-2.019223849278756
0,49,-2.1261260082162785
0,50,-2.2518971978188604
0,51,-2.2963471563118683
0,52,-2.3165292156526065
0,53,-2.6953866282086665
0,54,-3.2365803517620586
0,55,-3.6604143693769173
0,56,-3.695275930339778
0,57,-3.695275930339779
0,58,-4.641975938161361
1,0,4.7705312559774224
1,1,3.70544123059467
1,2,3.6785893249853663
1,3,3.4023190984133276
1,4,3.1473282962384235
1,5,2.875886724925563
1,6,2.6688440390531647
1,7,2.5572522909040956
1,8,2.1161160421274006
1,9,2.0240041655053114
1,10,1.9519975450480165
1,11,1.8483411710038684
1,12,1.7079873167985742
1,13,1.4567791323350563
1,14,1.3914449814298604
1,15,1.2681063152077585
1,16,1.2101625540918062
1,17,1.1111547760509781
1,18,1.0324683948928635
1,19,0.9718094306063838
1,20,0.8894944365839396
1,21,0.8519423618527051
1,22,0.8216364057480275
1,23,0.5642223503745436
1,24,0.47625043973514053
1,25,0.3453775999434665
1,26,0.19059757007258296
1,27,0.03915757928349661
1,28,0.012090033046431302
1,29,2.427012261393831e-16
1,30,-0.03489493665064215
1,31,-0.08092516068562691
1,32,-0.2863217115387906
1,33,-0.437082517279009
1,34,-0.5591855929819585
1,35,-0.6279501245717377
1,36,-0.6763000805821251
1,37,-0.7435574251370279
1,38,-0.8409814330858908
1,39,-0.8632913783226803
1,40,-0.9812090858076289
1,41,-1.0576767022314406
1,42,-1.2316524182469448
1,43,-1.2675117632517203
1,44,-1.3390945160616445
1,45,-1.4227926484432365
1,46,-1.9532098908891582
1,47,-1.9915416815077585
1,48,-2.05087813460888
1,49,-2.143369252866431
1,50,-2.2483528110062494
1,51,-2.306524099906516
1,52,-2.3851349110619267
1,53,-2.7019949511299424
1,54,-3.2298139080559234
1,55,-3.563868801872043
1,56,-3.6930388723945096
1,57,-3.757930325072964
1,58,-4.611247727579837
2,0,4.704072668327491
2,1,3.7015892187557586
2,2,3.6651490330615926
2,3,3.355550267247682
2,4,3.1364730318392366
2,5,2.8900860801765482
2,6,2.6890945974154423
2,7,2.5462636278187136
2,8,2.3082043329738853
2,9,2.0399931230889186
2,10,1.949285987839462
2,11,1.819592465565042
2,12,1.6640467916365806
2,13,1.536434790514606
2,14,1.4859106519662093
2,15,1.28471368393128
2,16,1.1783519910951963
2,17,1.1196072924282234
2,18,1.0291913383838347
2,19,0.9558483311594411
2,20,0.8810889017626242
2,21,0.8398135958824191
2,22,0.7531538764020765
2,23,0.5834018557724565
2,24,0.48126664224666754
2,25,0.3490769931980949
2,26,0.23628310631322424
2,27,0.10397965549932503
2,28,0.0213063690381667
2,29,-2.514044938725555e-16
2,30,-0.081438189759119
2,31,-0.13450764541076243
2,32,-0.31327635686219546
2,33,-0.4375364331018042
2,34,-0.5518191924768399
2,35,-0.5952055224672396
2,36,-0.6431909173936992
2,37,-0.7485420543883803
2,38,-0.8357787300440285
2,39,-0.8724188034012879
2,40,-0.9814125983379153
2,41,-1.087997385213914
2,42,-1.2550566678501902
2,43,-1.2649781957106931
2,44,-1.3791798536638002
2,45,-1.4856643359015413
2,46,-1.8905678847444496
2,47,-1.966063307845512
2,48,-2.0739963874910456
2,49,-2.175309989130786
2,50,-2.245469082011707
2,51,-2.3075026766888658
2,52,-2.5649390999209625
2,53,-2.7463063040629994
2,54,-3.2171415666502403
2,55,-3.4098676126887613
2,56,-3.6904985049609946
2,57,-3.805445086109569
2,58,-4.547719917050898
3,0,4.669576639044021
3,1,3.695995880997439
3,2,3.659501024649079
3,3,3.3185347317279326
3,4,3.1314721699736268
3,5,2.909178630841032
3,6,2.716014546765155
3,7,2.528003531546356
3,8,2.4006770732838967
3,9,2.0495027188188244
3,10,1.9471742525592646
3,11,1.7992513868736624
3,12,1.6427546386753586
3,13,1.5743994947301871
3,14,1.5284835829445438
3,15,1.2927920268706448
3,16,1.1613755528318197
3,17,1.1300349072030076
3,18,1.0327708101685016
3,19,0.9465385777381425
3,20,0.8834264728060424
3,21,0.8252459653404751
3,22,0.7213028917261032
3,23,0.5956266332421106
3,24,0.49811995405840426
3,25,0.3251877090967222
3,26,0.2519893653862596
3,27,0.13985207397773078
3,28,0.0239326280288155
3,29,2.1976790137432485e-16
3,30,-0.10743663468598966
3,31,-0.1550246949373487
3,32,-0.321564661475877
3,33,-0.38691775694128017
3,34,-0.5751762878893659
3,35,-0.5804719023220223
3,36,-0.643920093048373
3,37,-0.7571389477260212
3,38,-0.8357191126935594
3,39,-0.8742846816593427
3,40,-0.9813118729385053
