m,feature,corr
0,sigma_Z2,0.1314516439450478
0,sum_phases_mod8,-0.2503930357476431
0,dist_from_base,-0.26915477540154104
0,degree_flip_graph,0.9554344375849534
1,sigma_Z2,-0.3671102180441284
1,sum_phases_mod8,0.7027404466741598
1,dist_from_base,0.2147133565184695
1,degree_flip_graph,-0.0028969617083089427
2,sigma_Z2,0.6416480007090127
2,sum_phases_mod8,-0.6643500024844476
2,dist_from_base,0.1171732403442295
2,degree_flip_graph,0.3686251294297024
3,sigma_Z2,0.8394070760375784
3,sum_phases_mod8,-0.7674590674795311
3,dist_from_base,0.0735257470009642
3,degree_flip_graph,0.14072428488479413
4,sigma_Z2,0.6416480007090113
4,sum_phases_mod8,-0.6643500024844462
4,dist_from_base,0.1171732403442302
4,degree_flip_graph,0.36862512942970316
5,sigma_Z2,-0.3671102180441284
5,sum_phases_mod8,0.7027404466741598
5,dist_from_base,0.2147133565184695
5,degree_flip_graph,-0.0028969617083089427
