orbit,matching_id,pairs,triangle_pairs,phases_mod8_per_pair,signature_sorted,sum_phases_mod8,orbit_size_under_A4,D_rank_gf2,gram_rank_gf2,rref_pivot_cols,factorization_ok_P2_equals_MtJM,sigma_Z2,is_special_orbit_size_4
orbit13,0,"[[0, 8], [1, 2], [3, 7], [4, 5], [6, 11], [9, 10]]","[['017', '48b'], ['026', '057'], ['128', '3ab'], ['138', '246'], ['37a', '59a'], ['49b', '569']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,1,"[[0, 1], [2, 7], [3, 8], [4, 9], [5, 10], [6, 11]]","[['017', '026'], ['057', '3ab'], ['128', '48b'], ['138', '49b'], ['246', '569'], ['37a', '59a']]","[0, 0, 6, 6, 0, 2]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,2,"[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 10]]","[['017', '026'], ['057', '128'], ['138', '246'], ['37a', '59a'], ['3ab', '48b'], ['49b', '569']]","[0, 0, 0, 2, 6, 0]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,3,"[[0, 1], [2, 3], [4, 8], [5, 9], [6, 11], [7, 10]]","[['017', '026'], ['057', '128'], ['138', '48b'], ['246', '49b'], ['37a', '59a'], ['3ab', '569']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,4,"[[0, 9], [1, 8], [2, 7], [3, 11], [4, 5], [6, 10]]","[['017', '49b'], ['026', '48b'], ['057', '3ab'], ['128', '59a'], ['138', '246'], ['37a', '569']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,3,2,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,5,"[[0, 9], [1, 2], [3, 10], [4, 5], [6, 11], [7, 8]]","[['017', '49b'], ['026', '057'], ['128', '569'], ['138', '246'], ['37a', '59a'], ['3ab', '48b']]","[0, 0, 6, 0, 2, 6]","0,0,0,2,6,6",6,12,5,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,6,"[[0, 8], [1, 3], [2, 7], [4, 5], [6, 11], [9, 10]]","[['017', '48b'], ['026', '128'], ['057', '3ab'], ['138', '246'], ['37a', '59a'], ['49b', '569']]","[0, 0, 0, 0, 2, 0]","0,0,0,0,0,2",2,12,3,2,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,7,"[[0, 9], [1, 8], [2, 7], [3, 11], [4, 6], [5, 10]]","[['017', '49b'], ['026', '48b'], ['057', '3ab'], ['128', '59a'], ['138', '37a'], ['246', '569']]","[0, 0, 0, 6, 0, 0]","0,0,0,0,0,6",6,12,4,4,"[0, 1, 2, 3, 5, 8]",True,-1,False
orbit13,8,"[[0, 1], [2, 7], [3, 11], [4, 8], [5, 10], [6, 9]]","[['017', '026'], ['057', '3ab'], ['128', '59a'], ['138', '48b'], ['246', '569'], ['37a', '49b']]","[0, 0, 6, 6, 0, 0]","0,0,0,0,6,6",4,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
orbit13,9,"[[0, 9], [1, 3], [2, 7], [4, 8], [5, 10], [6, 11]]","[['017', '49b'], ['026', '128'], ['057', '3ab'], ['138', '48b'], ['246', '569'], ['37a', '59a']]","[0, 0, 0, 6, 0, 2]","0,0,0,0,2,6",0,12,5,4,"[0, 1, 2, 3, 5, 8]",True,1,False
