m_index,orbit_size,sum_mod8,all_zero,phases
17,6,6,False,0 0 6 0 2 6
2,12,0,False,0 0 0 2 6 0
9,12,0,False,0 0 0 6 0 2
10,12,0,True,0 0 0 0 0 0
14,12,0,False,0 0 6 0 2 0
16,12,0,False,0 0 0 6 0 2
19,12,0,False,0 0 0 0 2 6
22,12,0,False,0 0 0 0 2 6
24,12,0,False,0 0 0 6 0 2
25,12,0,False,0 0 0 6 0 2
26,12,0,True,0 0 0 0 0 0
30,12,0,False,0 0 0 0 2 6
31,12,0,False,0 0 0 6 0 2
32,12,0,False,0 0 6 0 2 0
33,12,0,True,0 0 0 0 0 0
34,12,0,False,0 0 0 6 0 2
35,12,0,True,0 0 0 0 0 0
38,12,0,False,0 0 0 6 0 2
41,12,0,False,0 0 0 0 2 6
44,12,0,False,0 0 6 0 2 0
45,12,0,False,0 0 6 0 2 0
47,12,0,False,0 0 0 6 0 2
48,12,0,False,0 0 0 6 0 2
49,12,0,False,0 0 6 0 2 0
54,12,0,False,0 0 0 6 0 2
55,12,0,False,0 0 0 0 2 6
56,12,0,False,0 0 0 6 0 2
0,12,2,False,0 0 0 0 2 0
6,12,2,False,0 0 0 0 2 0
28,12,2,False,0 0 0 0 2 0
42,12,2,False,0 0 0 0 2 0
58,12,2,False,0 0 0 0 2 0
8,12,4,False,0 0 6 6 0 0
12,12,4,False,0 0 6 0 0 6
27,12,4,False,0 0 6 0 0 6
36,12,4,False,0 0 6 0 0 6
39,12,4,False,0 0 6 6 0 0
46,12,4,False,0 0 6 0 0 6
1,12,6,False,0 0 6 6 0 2
3,12,6,False,0 0 6 0 2 6
4,12,6,False,0 0 0 6 0 0
5,12,6,False,0 0 6 0 2 6
7,12,6,False,0 0 0 6 0 0
11,12,6,False,0 0 6 6 0 2
13,12,6,False,0 0 0 6 0 0
15,12,6,False,0 0 0 6 0 0
18,12,6,False,0 0 6 0 0 0
20,12,6,False,0 0 6 0 2 6
21,12,6,False,0 0 0 0 6 0
23,12,6,False,0 0 0 6 0 0
29,12,6,False,0 0 0 6 0 0
37,12,6,False,0 0 0 0 6 0
40,12,6,False,0 0 6 0 2 6
43,12,6,False,0 0 6 6 0 2
50,12,6,False,0 0 6 6 0 2
51,12,6,False,0 0 6 0 0 0
52,12,6,False,0 0 0 6 0 0
53,12,6,False,0 0 0 6 0 0
57,12,6,False,0 0 6 6 0 2
