matching_index,sigma_Z2,sum_phases_mod8,orbit_size,all_zero
17,-1,6,6,False
0,-1,2,12,False
1,-1,6,12,False
3,-1,6,12,False
4,-1,6,12,False
5,-1,6,12,False
6,-1,2,12,False
7,-1,6,12,False
11,-1,6,12,False
13,-1,6,12,False
15,-1,6,12,False
18,-1,6,12,False
20,-1,6,12,False
21,-1,6,12,False
23,-1,6,12,False
28,-1,2,12,False
29,-1,6,12,False
37,-1,6,12,False
40,-1,6,12,False
42,-1,2,12,False
43,-1,6,12,False
50,-1,6,12,False
51,-1,6,12,False
52,-1,6,12,False
53,-1,6,12,False
57,-1,6,12,False
58,-1,2,12,False
2,1,0,12,False
8,1,4,12,False
9,1,0,12,False
10,1,0,12,True
12,1,4,12,False
14,1,0,12,False
16,1,0,12,False
19,1,0,12,False
22,1,0,12,False
24,1,0,12,False
25,1,0,12,False
26,1,0,12,True
27,1,4,12,False
30,1,0,12,False
31,1,0,12,False
32,1,0,12,False
33,1,0,12,True
34,1,0,12,False
35,1,0,12,True
36,1,4,12,False
38,1,0,12,False
39,1,4,12,False
41,1,0,12,False
44,1,0,12,False
45,1,0,12,False
46,1,4,12,False
47,1,0,12,False
48,1,0,12,False
49,1,0,12,False
54,1,0,12,False
55,1,0,12,False
56,1,0,12,False
