orbit_id,triangle,sec,pos,cycle_id,projective_class
0,047,0,0,0,sec0_m0
0,04b,1,0,1,sec1_m0
0,07b,2,0,2,sec2_m0
0,158,0,1,0,sec0_m1
0,159,1,1,1,sec1_m1
0,189,2,1,2,sec2_m1
0,236,0,2,0,sec0_m2
0,23a,1,2,1,sec1_m2
0,26a,2,2,2,sec2_m2
0,36a,3,0,3,sec3_m0
0,47b,3,1,3,sec3_m1
0,589,3,2,3,sec3_m2
1,01a,0,0,4,sec0_m0
1,029,0,2,4,sec0_m2
1,038,1,0,5,sec1_m0
1,12b,0,1,4,sec0_m1
1,146,1,1,5,sec1_m1
1,257,1,2,5,sec1_m2
1,349,2,0,6,sec2_m0
1,35b,2,2,6,sec2_m2
1,45a,2,1,6,sec2_m1
1,679,3,0,7,sec3_m0
1,68b,3,2,7,sec3_m2
1,78a,3,1,7,sec3_m1
2,013,0,0,8,sec0_m0
2,025,0,2,8,sec0_m2
2,069,1,0,9,sec1_m0
2,124,0,1,8,sec0_m1
2,17a,1,1,9,sec1_m1
2,28b,1,2,9,sec1_m2
2,378,2,0,10,sec2_m0
2,39b,3,0,11,sec3_m0
2,468,2,1,10,sec2_m1
2,49a,3,1,11,sec3_m1
2,567,2,2,10,sec2_m2
2,5ab,3,2,11,sec3_m2
3,058,0,0,12,sec0_m0
3,06b,1,0,13,sec1_m0
3,0ab,2,0,14,sec2_m0
3,136,0,1,12,sec0_m1
3,179,1,1,13,sec1_m1
3,19b,2,1,14,sec2_m1
3,247,0,2,12,sec0_m2
3,28a,1,2,13,sec1_m2
3,29a,2,2,14,sec2_m2
3,347,3,0,15,sec3_m0
3,356,3,2,15,sec3_m2
3,458,3,1,15,sec3_m1
4,016,0,0,16,sec0_m0
4,028,0,2,16,sec0_m2
4,05a,1,0,17,sec1_m0
4,127,0,1,16,sec0_m1
4,13b,1,1,17,sec1_m1
4,249,1,2,17,sec1_m2
4,348,2,0,18,sec2_m0
4,357,2,2,18,sec2_m2
4,456,2,1,18,sec2_m1
4,69b,3,0,19,sec3_m0
4,79a,3,1,19,sec3_m1
4,8ab,3,2,19,sec3_m2
5,037,0,0,20,sec0_m0
5,059,1,0,21,sec1_m0
