,sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2
sec0_m0,13,13,13,13,13,13,10,10,10,10,10,10
sec0_m1,13,13,13,13,13,13,10,10,10,10,10,10
sec0_m2,13,13,13,13,13,13,10,10,10,10,10,10
sec1_m0,13,13,13,13,13,13,10,10,10,10,10,10
sec1_m1,13,13,13,13,13,13,10,10,10,10,10,10
sec1_m2,13,13,13,13,13,13,10,10,10,10,10,10
sec2_m0,10,10,10,10,10,10,11,11,11,11,11,11
sec2_m1,10,10,10,10,10,10,11,11,11,11,11,11
sec2_m2,10,10,10,10,10,10,11,11,11,11,11,11
sec3_m0,10,10,10,10,10,10,11,11,11,11,11,11
sec3_m1,10,10,10,10,10,10,11,11,11,11,11,11
sec3_m2,10,10,10,10,10,10,11,11,11,11,11,11
