orbit_id,class
0,sec0_m0
0,sec0_m1
0,sec0_m2
0,sec1_m0
0,sec1_m1
0,sec1_m2
0,sec2_m0
0,sec2_m1
0,sec2_m2
0,sec3_m0
0,sec3_m1
0,sec3_m2
1,sec0_m0
1,sec0_m1
1,sec0_m2
1,sec1_m0
1,sec1_m1
1,sec1_m2
1,sec2_m0
1,sec2_m1
1,sec2_m2
1,sec3_m0
1,sec3_m1
1,sec3_m2
2,sec0_m0
2,sec0_m1
2,sec0_m2
2,sec1_m0
2,sec1_m1
2,sec1_m2
2,sec2_m0
2,sec2_m1
2,sec2_m2
2,sec3_m0
2,sec3_m1
2,sec3_m2
3,sec0_m0
3,sec0_m1
3,sec0_m2
3,sec1_m0
3,sec1_m1
3,sec1_m2
3,sec2_m0
3,sec2_m1
3,sec2_m2
3,sec3_m0
3,sec3_m1
3,sec3_m2
4,sec0_m0
4,sec0_m1
4,sec0_m2
4,sec1_m0
4,sec1_m1
4,sec1_m2
4,sec2_m0
4,sec2_m1
4,sec2_m2
4,sec3_m0
4,sec3_m1
4,sec3_m2
5,sec0_m0
5,sec0_m1
5,sec0_m2
5,sec1_m0
5,sec1_m1
5,sec1_m2
6,sec0_m0
6,sec0_m1
6,sec0_m2
6,sec1_m0
6,sec1_m1
6,sec1_m2
6,sec2_m0
6,sec2_m1
6,sec2_m2
6,sec3_m0
6,sec3_m1
6,sec3_m2
7,sec2_m0
7,sec2_m1
7,sec2_m2
7,sec3_m0
7,sec3_m1
7,sec3_m2
8,sec0_m0
8,sec0_m1
8,sec0_m2
8,sec1_m0
8,sec1_m1
8,sec1_m2
9,sec0_m0
9,sec0_m1
9,sec0_m2
9,sec1_m0
9,sec1_m1
9,sec1_m2
9,sec2_m0
9,sec2_m1
9,sec2_m2
9,sec3_m0
9,sec3_m1
9,sec3_m2
10,sec0_m0
10,sec0_m1
10,sec0_m2
10,sec1_m0
10,sec1_m1
10,sec1_m2
10,sec2_m0
10,sec2_m1
10,sec2_m2
10,sec3_m0
10,sec3_m1
10,sec3_m2
11,sec0_m0
11,sec0_m1
11,sec0_m2
11,sec1_m0
11,sec1_m1
11,sec1_m2
12,sec0_m0
12,sec0_m1
12,sec0_m2
12,sec1_m0
12,sec1_m1
12,sec1_m2
12,sec2_m0
12,sec2_m1
12,sec2_m2
12,sec3_m0
12,sec3_m1
12,sec3_m2
13,sec0_m0
13,sec0_m1
13,sec0_m2
13,sec1_m0
13,sec1_m1
13,sec1_m2
13,sec2_m0
13,sec2_m1
13,sec2_m2
13,sec3_m0
13,sec3_m1
13,sec3_m2
