orbit_id,cell_id,cell_size,degree_in_component,neighbors,h1_unique_count,h1_span_dim,rep_missing_triangle
5,0,3,6,"3,4,6,8,9,10",6,6,037
7,0,3,6,"3,4,6,8,9,10",6,6,01b
11,0,3,6,"3,4,6,8,9,10",6,6,045
1,1,2,5,"2,4,8,10,12",12,8,01a
12,1,2,5,"1,2,4,8,10",12,8,03a
3,2,2,8,"2,4,5,6,7,8,9,11",12,9,058
9,2,2,8,"2,3,4,5,6,7,8,11",12,9,035
2,3,1,5,"1,3,6,9,12",12,8,013
4,4,1,8,"1,3,5,7,9,10,11,12",12,9,016
6,5,1,6,"2,3,5,7,9,11",12,8,015
8,6,1,7,"1,3,5,7,9,11,12",6,6,019
10,7,1,6,"1,4,5,7,11,12",12,8,034
