state_id,cycle_index,pos_in_Z6,anchor_triangle,anchor_role,anchor_tetrad
0,0,0,012,hole,H1
1,0,1,012,hole,H1
2,0,2,012,hole,H1
3,0,3,012,hole,H1
4,0,4,012,hole,H1
5,0,5,012,hole,H1
6,1,0,9ab,complement_of_012,H1
7,1,1,9ab,complement_of_012,H1
8,1,2,9ab,complement_of_012,H1
9,1,3,9ab,complement_of_012,H1
10,1,4,9ab,complement_of_012,H1
11,1,5,9ab,complement_of_012,H1
12,2,0,678,hole,H2
13,2,1,678,hole,H2
14,2,2,678,hole,H2
15,2,3,678,hole,H2
16,2,4,678,hole,H2
17,2,5,678,hole,H2
18,3,0,345,complement_of_678,H2
19,3,1,345,complement_of_678,H2
20,3,2,345,complement_of_678,H2
21,3,3,345,complement_of_678,H2
22,3,4,345,complement_of_678,H2
23,3,5,345,complement_of_678,H2
