state_id,cycle_index,pos_in_Z6,anchor_triangle,anchor_role,anchor_tetrad,coset_rep,elem_2T,elem_order
0,0,0,012,hole,H1,e,e,1
1,0,1,012,hole,H1,e,(0 1 2),6
2,0,2,012,hole,H1,e,(0 2 1)*,3
3,0,3,012,hole,H1,e,e*,2
4,0,4,012,hole,H1,e,(0 1 2)*,3
5,0,5,012,hole,H1,e,(0 2 1),6
6,1,0,9ab,complement_of_012,H1,(0 1)(2 3),(0 1)(2 3),4
7,1,1,9ab,complement_of_012,H1,(0 1)(2 3),(1 3 2)*,3
8,1,2,9ab,complement_of_012,H1,(0 1)(2 3),(0 3 2)*,3
9,1,3,9ab,complement_of_012,H1,(0 1)(2 3),(0 1)(2 3)*,4
10,1,4,9ab,complement_of_012,H1,(0 1)(2 3),(1 3 2),6
11,1,5,9ab,complement_of_012,H1,(0 1)(2 3),(0 3 2),6
12,2,0,678,hole,H2,(0 2)(1 3),(0 2)(1 3),4
13,2,1,678,hole,H2,(0 2)(1 3),(0 3 1)*,3
14,2,2,678,hole,H2,(0 2)(1 3),(1 2 3)*,3
15,2,3,678,hole,H2,(0 2)(1 3),(0 2)(1 3)*,4
16,2,4,678,hole,H2,(0 2)(1 3),(0 3 1),6
17,2,5,678,hole,H2,(0 2)(1 3),(1 2 3),6
18,3,0,345,complement_of_678,H2,(0 3)(1 2),(0 3)(1 2),4
19,3,1,345,complement_of_678,H2,(0 3)(1 2),(0 2 3),6
20,3,2,345,complement_of_678,H2,(0 3)(1 2),(0 1 3),6
21,3,3,345,complement_of_678,H2,(0 3)(1 2),(0 3)(1 2)*,4
22,3,4,345,complement_of_678,H2,(0 3)(1 2),(0 2 3)*,3
23,3,5,345,complement_of_678,H2,(0 3)(1 2),(0 1 3)*,3
