orbit_id,rep_triangle,h1_unique_count,projective_classes_count,projective_classes,unique_cycle_ids_count,unmapped_triangles
0,047,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
1,01a,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
2,013,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
3,058,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
4,016,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
5,037,6,6,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2",2,0
6,015,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
7,01b,6,6,"sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",2,0
8,019,6,6,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2",2,0
9,035,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
10,034,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
11,045,6,6,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2",2,0
12,03a,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
13,017,12,12,"sec0_m0,sec0_m1,sec0_m2,sec1_m0,sec1_m1,sec1_m2,sec2_m0,sec2_m1,sec2_m2,sec3_m0,sec3_m1,sec3_m2",4,0
