line_id,cards,point_ids
0,2♣ 3♣ 8♣ 9♣,2 13 17 21
1,1♡ 3♣ 6♢ 10♠,2 4 8 12
2,7♠ 7♡ 7♢ 7♣,9 15 26 37
3,3♢ 4♣ 8♠ 10♡,10 14 29 35
4,2♠ 3♢ 6♣ 7♡,9 19 24 35
5,5♢ 7♣ 8♡ 10♠,12 18 23 37
6,3♠ 3♡ 3♢ 3♣,2 31 35 39
7,6♠ 6♡ 6♢ 6♣,8 20 24 34
8,3♠ 4♡ 8♢ 10♣,3 31 36 38
9,6♠ 7♠ 8♠ 9♠,10 20 26 32
10,9♠ 9♡ 9♢ 9♣,11 21 25 32
11,2♣ 4♡ 5♢ 6♠,3 13 18 20
12,6♢ 7♢ 8♢ 9♢,8 15 25 38
13,3♣ 4♢ 5♡ 7♠,2 22 26 30
14,2♡ 4♣ 5♠ 6♢,8 16 29 33
15,8♠ 8♡ 8♢ 8♣,10 17 23 38
16,3♡ 4♠ 5♣ 7♢,7 15 27 39
17,1♠ 1♡ 1♢ 1♣,0 4 5 6
18,1♡ 2♢ 5♣ 8♠,1 4 7 10
19,10♠ 10♡ 10♢ 10♣,12 14 28 36
20,1♠ 4♢ 6♣ 8♡,0 22 23 24
21,1♢ 2♡ 7♠ 10♣,5 16 26 36
22,5♠ 7♡ 8♣ 10♢,9 17 28 33
23,4♠ 4♡ 4♢ 4♣,3 22 27 29
24,2♠ 4♠ 9♠ 10♠,12 19 27 32
25,1♢ 3♢ 5♢ 9♢,5 18 25 35
26,2♠ 2♡ 2♢ 2♣,1 13 16 19
27,1♡ 4♡ 7♡ 9♡,3 4 9 11
28,1♠ 2♣ 7♢ 10♡,0 13 14 15
29,2♡ 3♡ 8♡ 9♡,11 16 23 39
30,5♠ 5♡ 5♢ 5♣,7 18 30 33
31,1♠ 3♠ 5♠ 9♠,0 31 32 33
32,1♢ 4♠ 6♡ 8♣,5 17 27 34
33,5♡ 6♡ 9♡ 10♡,11 14 30 34
34,1♣ 4♣ 7♣ 9♣,6 21 29 37
35,1♣ 2♠ 5♡ 8♢,6 19 30 38
36,1♣ 3♡ 6♠ 10♢,6 20 28 39
37,5♣ 6♣ 9♣ 10♣,7 21 24 36
38,2♢ 4♢ 9♢ 10♢,1 22 25 28
39,2♢ 3♠ 6♡ 7♣,1 31 34 37
