basis_no,line_id,cards,type
1,17,1♠ 1♡ 1♢ 1♣,rank_spread
2,26,2♠ 2♡ 2♢ 2♣,rank_spread
3,6,3♠ 3♡ 3♢ 3♣,rank_spread
4,23,4♠ 4♡ 4♢ 4♣,rank_spread
5,30,5♠ 5♡ 5♢ 5♣,rank_spread
6,7,6♠ 6♡ 6♢ 6♣,rank_spread
7,2,7♠ 7♡ 7♢ 7♣,rank_spread
8,15,8♠ 8♡ 8♢ 8♣,rank_spread
9,10,9♠ 9♡ 9♢ 9♣,rank_spread
10,19,10♠ 10♡ 10♢ 10♣,rank_spread
11,1,1♡ 3♣ 6♢ 10♠,rainbow
12,3,3♢ 4♣ 8♠ 10♡,rainbow
13,4,2♠ 3♢ 6♣ 7♡,rainbow
14,5,5♢ 7♣ 8♡ 10♠,rainbow
15,8,3♠ 4♡ 8♢ 10♣,rainbow
16,11,2♣ 4♡ 5♢ 6♠,rainbow
17,13,3♣ 4♢ 5♡ 7♠,rainbow
18,14,2♡ 4♣ 5♠ 6♢,rainbow
19,16,3♡ 4♠ 5♣ 7♢,rainbow
20,18,1♡ 2♢ 5♣ 8♠,rainbow
21,20,1♠ 4♢ 6♣ 8♡,rainbow
22,21,1♢ 2♡ 7♠ 10♣,rainbow
23,22,5♠ 7♡ 8♣ 10♢,rainbow
24,28,1♠ 2♣ 7♢ 10♡,rainbow
25,32,1♢ 4♠ 6♡ 8♣,rainbow
26,35,1♣ 2♠ 5♡ 8♢,rainbow
27,36,1♣ 3♡ 6♠ 10♢,rainbow
28,39,2♢ 3♠ 6♡ 7♣,rainbow
29,9,6♠ 7♠ 8♠ 9♠,monochrome
30,24,2♠ 4♠ 9♠ 10♠,monochrome
31,31,1♠ 3♠ 5♠ 9♠,monochrome
32,27,1♡ 4♡ 7♡ 9♡,monochrome
33,29,2♡ 3♡ 8♡ 9♡,monochrome
34,33,5♡ 6♡ 9♡ 10♡,monochrome
35,12,6♢ 7♢ 8♢ 9♢,monochrome
36,25,1♢ 3♢ 5♢ 9♢,monochrome
37,38,2♢ 4♢ 9♢ 10♢,monochrome
38,0,2♣ 3♣ 8♣ 9♣,monochrome
39,34,1♣ 4♣ 7♣ 9♣,monochrome
40,37,5♣ 6♣ 9♣ 10♣,monochrome
