point_id,rank,suit,suit_name,card,coords
0,1,♠,S,1♠,"(0, 0, 0, 1)"
1,2,♠,S,2♠,"(0, 0, 1, 0)"
2,3,♠,S,3♠,"(0, 0, 1, 1)"
3,4,♠,S,4♠,"(0, 0, 1, 2)"
4,1,♡,H,1♡,"(0, 1, 0, 0)"
5,1,♢,D,1♢,"(0, 1, 0, 1)"
6,1,♣,C,1♣,"(0, 1, 0, 2)"
7,5,♠,S,5♠,"(0, 1, 1, 0)"
8,6,♠,S,6♠,"(0, 1, 1, 1)"
9,7,♠,S,7♠,"(0, 1, 1, 2)"
10,8,♠,S,8♠,"(0, 1, 2, 0)"
11,9,♠,S,9♠,"(0, 1, 2, 1)"
12,10,♠,S,10♠,"(0, 1, 2, 2)"
13,2,♡,H,2♡,"(1, 0, 0, 0)"
14,10,♡,H,10♡,"(1, 0, 0, 1)"
15,7,♡,H,7♡,"(1, 0, 0, 2)"
16,2,♢,D,2♢,"(1, 0, 1, 0)"
17,8,♡,H,8♡,"(1, 0, 1, 1)"
18,5,♡,H,5♡,"(1, 0, 1, 2)"
19,2,♣,C,2♣,"(1, 0, 2, 0)"
20,6,♡,H,6♡,"(1, 0, 2, 1)"
21,9,♡,H,9♡,"(1, 0, 2, 2)"
22,4,♡,H,4♡,"(1, 1, 0, 0)"
23,8,♢,D,8♢,"(1, 1, 0, 1)"
24,6,♢,D,6♢,"(1, 1, 0, 2)"
25,9,♢,D,9♢,"(1, 1, 1, 0)"
26,7,♢,D,7♢,"(1, 1, 1, 1)"
27,4,♢,D,4♢,"(1, 1, 1, 2)"
28,10,♢,D,10♢,"(1, 1, 2, 0)"
29,4,♣,C,4♣,"(1, 1, 2, 1)"
30,5,♢,D,5♢,"(1, 1, 2, 2)"
31,3,♡,H,3♡,"(1, 2, 0, 0)"
32,9,♣,C,9♣,"(1, 2, 0, 1)"
33,5,♣,C,5♣,"(1, 2, 0, 2)"
34,6,♣,C,6♣,"(1, 2, 1, 0)"
35,3,♢,D,3♢,"(1, 2, 1, 1)"
36,10,♣,C,10♣,"(1, 2, 1, 2)"
37,7,♣,C,7♣,"(1, 2, 2, 0)"
38,8,♣,C,8♣,"(1, 2, 2, 1)"
39,3,♣,C,3♣,"(1, 2, 2, 2)"
