id,metric,u,v,weight
54,intersection_dim>=1,1,26,2
54,intersection_dim>=1,17,21,3
57,intersection_dim>=1,0,13,3
57,intersection_dim>=1,0,25,2
57,intersection_dim>=1,10,18,3
57,intersection_dim>=1,13,25,2
54,dot_score>=3,1,6,7
54,dot_score>=3,1,12,5
54,dot_score>=3,1,14,8
54,dot_score>=3,1,17,7
54,dot_score>=3,1,21,7
54,dot_score>=3,1,25,3
54,dot_score>=3,1,26,5
54,dot_score>=3,6,12,4
54,dot_score>=3,6,14,6
54,dot_score>=3,6,17,7
54,dot_score>=3,6,21,7
54,dot_score>=3,6,25,4
54,dot_score>=3,6,26,4
54,dot_score>=3,12,14,3
54,dot_score>=3,12,17,4
54,dot_score>=3,12,21,4
54,dot_score>=3,12,26,4
54,dot_score>=3,14,17,6
54,dot_score>=3,14,21,6
54,dot_score>=3,14,26,5
54,dot_score>=3,17,21,6
54,dot_score>=3,17,25,5
54,dot_score>=3,17,26,6
54,dot_score>=3,21,25,5
54,dot_score>=3,21,26,6
54,dot_score>=3,25,26,5
57,dot_score>=3,0,10,6
57,dot_score>=3,0,12,5
57,dot_score>=3,0,15,4
57,dot_score>=3,0,18,6
57,dot_score>=3,0,25,5
57,dot_score>=3,0,28,3
57,dot_score>=3,3,10,7
57,dot_score>=3,3,12,4
57,dot_score>=3,3,15,4
57,dot_score>=3,3,18,7
57,dot_score>=3,3,28,5
57,dot_score>=3,3,29,3
57,dot_score>=3,10,12,4
57,dot_score>=3,10,13,6
57,dot_score>=3,10,18,5
57,dot_score>=3,10,25,4
57,dot_score>=3,10,28,3
57,dot_score>=3,10,29,5
57,dot_score>=3,12,13,5
57,dot_score>=3,12,15,3
57,dot_score>=3,12,18,4
57,dot_score>=3,12,25,6
57,dot_score>=3,12,28,4
57,dot_score>=3,12,29,5
57,dot_score>=3,13,15,4
57,dot_score>=3,13,18,6
57,dot_score>=3,13,25,5
57,dot_score>=3,13,28,3
57,dot_score>=3,15,25,3
57,dot_score>=3,15,28,5
57,dot_score>=3,15,29,5
57,dot_score>=3,18,25,4
57,dot_score>=3,18,28,3
57,dot_score>=3,18,29,5
57,dot_score>=3,25,28,5
57,dot_score>=3,28,29,5
