id,name,orbit_index,rep_triangle,tau_perm,tau_is_3cycle,g2_swaps_within_pairs,class1_bits,class1_wt,class1_pair,class2_bits,class2_wt,class2_pair,class3_bits,class3_wt,class3_pair,tau_perm_classes,g2_perm_classes,g2_order2_on_classes,dihedral_relation
54,N12_54,1,"(6, 7, 10)","[2, 0, 1]",1,0,100000000001,2,"(6, 7, 10)|(6, 9, 10)",010001000001,3,"(6, 8, 9)|(8, 9, 11)",001100110111,7,"(7, 8, 11)|(7, 10, 11)","[2, 0, 1]","[2, 1, 0]",1,1
54,N12_54,6,"(0, 8, 11)","[1, 2, 0]",1,0,001100111111,8,"(0, 8, 11)|(5, 8, 11)",000001000001,2,"(1, 6, 9)|(3, 6, 9)",101000000101,4,"(2, 7, 10)|(4, 7, 10)","[1, 2, 0]","[1, 0, 2]",1,1
54,N12_54,12,"(0, 4, 7)","[1, 2, 0]",1,0,010000010000,2,"(0, 4, 7)|(0, 4, 11)",001010000000,2,"(1, 5, 8)|(1, 5, 9)",100000001010,3,"(2, 3, 6)|(2, 3, 10)","[1, 2, 0]","[2, 1, 0]",1,1
54,N12_54,14,"(0, 6, 9)","[1, 2, 0]",1,0,000000000001,1,"(0, 6, 9)|(4, 6, 9)",001000100111,5,"(1, 7, 10)|(5, 7, 10)",010001000101,4,"(2, 8, 11)|(3, 8, 11)","[1, 2, 0]","[2, 1, 0]",1,1
54,N12_54,17,"(0, 7, 9)","[1, 2, 0]",1,0,001100000111,5,"(0, 7, 9)|(3, 8, 10)",001110101111,8,"(1, 8, 10)|(4, 6, 11)",000011000111,5,"(2, 6, 11)|(5, 7, 9)","[1, 2, 0]","[0, 2, 1]",1,1
54,N12_54,21,"(0, 7, 10)","[1, 2, 0]",1,0,001100000111,5,"(0, 7, 10)|(3, 7, 10)",001110101111,8,"(1, 8, 11)|(4, 8, 11)",000011000111,5,"(2, 6, 9)|(5, 6, 9)","[1, 2, 0]","[0, 2, 1]",1,1
54,N12_54,25,"(0, 1, 9)","[2, 0, 1]",1,0,000001000000,1,"(0, 1, 9)|(3, 4, 6)",011101111010,8,"(0, 2, 11)|(3, 5, 8)",100000100010,3,"(1, 2, 10)|(4, 5, 7)","[2, 0, 1]","[1, 0, 2]",1,1
54,N12_54,26,"(6, 7, 11)","[2, 0, 1]",1,0,010010111001,6,"(6, 7, 11)|(7, 9, 11)",111110001111,9,"(6, 8, 10)|(6, 10, 11)",001111001111,8,"(7, 8, 9)|(8, 9, 10)","[2, 0, 1]","[1, 0, 2]",1,1
57,N12_57,0,"(0, 5, 6)","[2, 0, 1]",1,0,010000000000,1,"(0, 5, 6)|(1, 3, 11)",000000001000,1,"(0, 5, 10)|(2, 4, 8)",101000000000,2,"(1, 3, 7)|(2, 4, 9)","[2, 0, 1]","[0, 2, 1]",1,1
57,N12_57,3,"(0, 6, 11)","[1, 2, 0]",1,0,000000000101,2,"(0, 6, 11)|(3, 6, 11)",000010100000,2,"(1, 7, 9)|(4, 7, 9)",000111010010,5,"(2, 8, 10)|(5, 8, 10)","[1, 2, 0]","[0, 2, 1]",1,1
57,N12_57,10,"(0, 9, 11)","[1, 2, 0]",1,0,111011010000,6,"(0, 9, 11)|(3, 6, 8)",001011001111,7,"(1, 9, 10)|(4, 6, 7)",110000101110,6,"(2, 10, 11)|(5, 7, 8)","[1, 2, 0]","[0, 2, 1]",1,1
57,N12_57,12,"(0, 3, 7)","[1, 2, 0]",1,0,111010000000,4,"(0, 3, 7)|(0, 3, 10)",001111001010,6,"(1, 4, 8)|(1, 4, 11)",010000001100,3,"(2, 5, 6)|(2, 5, 9)","[1, 2, 0]","[0, 2, 1]",1,1
57,N12_57,13,"(0, 1, 3)","[2, 0, 1]",1,0,010000000000,1,"(0, 1, 3)|(0, 3, 5)",000000001000,1,"(0, 2, 5)|(2, 4, 5)",101000000000,2,"(1, 2, 4)|(1, 3, 4)","[2, 0, 1]","[0, 2, 1]",1,1
57,N12_57,15,"(0, 4, 7)","[1, 2, 0]",1,0,001010000000,2,"(0, 4, 7)|(2, 3, 10)",000111001010,5,"(0, 4, 11)|(1, 5, 8)",110000000100,3,"(1, 5, 9)|(2, 3, 6)","[1, 2, 0]","[0, 2, 1]",1,1
57,N12_57,18,"(0, 3, 8)","[1, 2, 0]",1,0,111011010000,6,"(0, 3, 8)|(0, 3, 9)",001011001111,7,"(1, 4, 6)|(1, 4, 10)",110000101110,6,"(2, 5, 7)|(2, 5, 11)","[1, 2, 0]","[0, 2, 1]",1,1
57,N12_57,25,"(0, 1, 4)","[2, 0, 1]",1,0,001000000000,1,"(0, 1, 4)|(1, 4, 5)",110000000000,2,"(0, 2, 3)|(0, 3, 4)",100000001000,2,"(1, 2, 5)|(2, 3, 5)","[2, 0, 1]","[2, 1, 0]",1,1
57,N12_57,28,"(0, 5, 7)","[1, 2, 0]",1,0,110000100100,4,"(0, 5, 7)|(0, 5, 9)",101010010000,4,"(1, 3, 8)|(1, 3, 10)",000111001011,6,"(2, 4, 6)|(2, 4, 11)","[1, 2, 0]","[1, 0, 2]",1,1
57,N12_57,29,"(0, 8, 10)","[1, 2, 0]",1,0,000001010000,2,"(0, 8, 10)|(3, 7, 9)",000100000101,3,"(1, 6, 11)|(4, 8, 10)",100000100010,3,"(2, 7, 9)|(5, 6, 11)","[1, 2, 0]","[0, 2, 1]",1,1
