id,name,aut_order,missing_orbits,size_counts,max_orbit_size,gcd_orbit_size
1,N12_1,1,176,{'1': 176},1,1
2,N12_2,1,176,{'1': 176},1,1
3,N12_3,1,176,{'1': 176},1,1
4,N12_4,1,176,{'1': 176},1,1
6,N12_6,1,176,{'1': 176},1,1
8,N12_8,1,176,{'1': 176},1,1
9,N12_9,1,176,{'1': 176},1,1
10,N12_10,1,176,{'1': 176},1,1
11,N12_11,1,176,{'1': 176},1,1
13,N12_13,1,176,{'1': 176},1,1
14,N12_14,1,176,{'1': 176},1,1
16,N12_16,1,176,{'1': 176},1,1
17,N12_17,1,176,{'1': 176},1,1
18,N12_18,1,176,{'1': 176},1,1
19,N12_19,1,176,{'1': 176},1,1
20,N12_20,1,176,{'1': 176},1,1
21,N12_21,1,176,{'1': 176},1,1
22,N12_22,1,176,{'1': 176},1,1
23,N12_23,1,176,{'1': 176},1,1
24,N12_24,1,176,{'1': 176},1,1
25,N12_25,1,176,{'1': 176},1,1
26,N12_26,1,176,{'1': 176},1,1
27,N12_27,1,176,{'1': 176},1,1
28,N12_28,1,176,{'1': 176},1,1
29,N12_29,1,176,{'1': 176},1,1
30,N12_30,1,176,{'1': 176},1,1
31,N12_31,1,176,{'1': 176},1,1
33,N12_33,1,176,{'1': 176},1,1
34,N12_34,1,176,{'1': 176},1,1
35,N12_35,1,176,{'1': 176},1,1
36,N12_36,1,176,{'1': 176},1,1
37,N12_37,1,176,{'1': 176},1,1
39,N12_39,1,176,{'1': 176},1,1
40,N12_40,1,176,{'1': 176},1,1
41,N12_41,1,176,{'1': 176},1,1
42,N12_42,1,176,{'1': 176},1,1
48,N12_48,1,176,{'1': 176},1,1
49,N12_49,1,176,{'1': 176},1,1
52,N12_52,1,176,{'1': 176},1,1
5,N12_5,2,88,{'2': 88},2,2
12,N12_12,2,88,{'2': 88},2,2
15,N12_15,2,88,{'2': 88},2,2
32,N12_32,2,88,{'2': 88},2,2
44,N12_44,2,88,{'2': 88},2,2
45,N12_45,2,88,{'2': 88},2,2
46,N12_46,2,88,{'2': 88},2,2
53,N12_53,2,88,{'2': 88},2,2
55,N12_55,2,88,{'2': 88},2,2
47,N12_47,3,60,"{'1': 2, '3': 58}",3,1
7,N12_7,4,44,{'4': 44},4,4
38,N12_38,4,44,{'4': 44},4,4
43,N12_43,4,44,{'4': 44},4,4
50,N12_50,4,44,{'4': 44},4,4
51,N12_51,4,44,{'4': 44},4,4
56,N12_56,4,44,{'4': 44},4,4
59,N12_59,4,44,{'4': 44},4,4
54,N12_54,6,30,"{'2': 1, '6': 29}",6,2
57,N12_57,6,30,"{'2': 1, '6': 29}",6,2
58,N12_58,12,16,"{'4': 2, '12': 14}",12,4
