ovoid,line_bits,intersection_size
missing_support_ovoid,0010|1100|1110,0
missing_support_ovoid,0101|1001|1100,0
missing_support_ovoid,0111|1000|1111,1
missing_support_ovoid,0100|1001|1101,1
missing_support_ovoid,0100|1011|1111,1
missing_support_ovoid,0111|1010|1101,0
missing_support_ovoid,0010|1000|1010,1
missing_support_ovoid,0110|1000|1110,2
missing_support_ovoid,0001|0110|0111,2
missing_support_ovoid,0010|0100|0110,2
missing_support_ovoid,0011|1001|1010,1
missing_support_ovoid,0110|1011|1101,1
missing_support_ovoid,0101|1010|1111,0
missing_support_ovoid,0001|0010|0011,2
missing_support_ovoid,0011|0101|0110,2
missing_support_ovoid,0001|1110|1111,1
missing_support_ovoid,0011|1100|1111,1
missing_support_ovoid,0100|1000|1100,2
missing_support_ovoid,0011|1101|1110,1
missing_support_ovoid,0110|1010|1100,1
missing_support_ovoid,0010|0101|0111,0
missing_support_ovoid,0001|1010|1011,1
missing_support_ovoid,0010|1001|1011,0
missing_support_ovoid,0101|1011|1110,0
missing_support_ovoid,0111|1011|1100,0
missing_support_ovoid,0011|0100|0111,2
missing_support_ovoid,0100|1010|1110,1
missing_support_ovoid,0001|1100|1101,1
missing_support_ovoid,0001|1000|1001,2
missing_support_ovoid,0111|1001|1110,0
missing_support_ovoid,0011|1000|1011,2
missing_support_ovoid,0010|1101|1111,0
missing_support_ovoid,0110|1001|1111,1
missing_support_ovoid,0001|0100|0101,2
missing_support_ovoid,0101|1000|1101,1
sec0m2_completion_ovoid,0010|1100|1110,2
sec0m2_completion_ovoid,0101|1001|1100,2
sec0m2_completion_ovoid,0111|1000|1111,1
sec0m2_completion_ovoid,0100|1001|1101,1
sec0m2_completion_ovoid,0100|1011|1111,2
sec0m2_completion_ovoid,0111|1010|1101,0
sec0m2_completion_ovoid,0010|1000|1010,0
sec0m2_completion_ovoid,0110|1000|1110,1
sec0m2_completion_ovoid,0001|0110|0111,0
sec0m2_completion_ovoid,0010|0100|0110,0
sec0m2_completion_ovoid,0011|1001|1010,1
sec0m2_completion_ovoid,0110|1011|1101,1
sec0m2_completion_ovoid,0101|1010|1111,1
sec0m2_completion_ovoid,0001|0010|0011,0
sec0m2_completion_ovoid,0011|0101|0110,0
sec0m2_completion_ovoid,0001|1110|1111,2
sec0m2_completion_ovoid,0011|1100|1111,2
sec0m2_completion_ovoid,0100|1000|1100,1
sec0m2_completion_ovoid,0011|1101|1110,1
sec0m2_completion_ovoid,0110|1010|1100,1
sec0m2_completion_ovoid,0010|0101|0111,0
sec0m2_completion_ovoid,0001|1010|1011,1
sec0m2_completion_ovoid,0010|1001|1011,2
sec0m2_completion_ovoid,0101|1011|1110,2
sec0m2_completion_ovoid,0111|1011|1100,2
sec0m2_completion_ovoid,0011|0100|0111,0
sec0m2_completion_ovoid,0100|1010|1110,1
sec0m2_completion_ovoid,0001|1100|1101,1
sec0m2_completion_ovoid,0001|1000|1001,1
sec0m2_completion_ovoid,0111|1001|1110,2
sec0m2_completion_ovoid,0011|1000|1011,1
sec0m2_completion_ovoid,0010|1101|1111,1
sec0m2_completion_ovoid,0110|1001|1111,2
sec0m2_completion_ovoid,0001|0100|0101,0
sec0m2_completion_ovoid,0101|1000|1101,0
