a0,a1,a2,a3,support,weight,pg_point
1,0,0,0,1000,1,1000
0,0,0,1,0001,1,0001
2,0,0,2,1001,2,1001
2,0,1,0,1010,2,1010
1,0,1,1,1011,3,1011
0,0,1,2,0011,2,0011
0,0,2,0,0010,1,0010
2,0,2,1,1011,3,1011
1,0,2,2,1011,3,1011
2,1,0,0,1100,2,1100
1,1,0,1,1101,3,1101
0,1,0,2,0101,2,0101
0,1,1,0,0110,2,0110
2,1,1,1,1111,4,1111
1,1,1,2,1111,4,1111
1,1,2,0,1110,3,1110
0,1,2,1,0111,3,0111
2,1,2,2,1111,4,1111
0,2,0,0,0100,1,0100
2,2,0,1,1101,3,1101
1,2,0,2,1101,3,1101
1,2,1,0,1110,3,1110
0,2,1,1,0111,3,0111
2,2,1,2,1111,4,1111
2,2,2,0,1110,3,1110
1,2,2,1,1111,4,1111
0,2,2,2,0111,3,0111
