missing_point,line,other1,other1_tomo,other2,other2_tomo
0001,0001 1100 1101,1100,1,1101,2
0001,0001 0100 0101,0100,0,0101,1
0001,0001 1000 1001,1000,0,1001,1
0011,0011 1100 1111,1100,1,1111,3
0011,0011 1000 1011,1000,0,1011,2
0011,0011 0100 0111,0100,0,0111,1
0100,0001 0100 0101,0001,0,0101,1
0100,0010 0100 0110,0010,1,0110,0
0100,0011 0100 0111,0011,0,0111,1
0110,0110 1001 1111,1001,1,1111,3
0110,0110 1011 1101,1011,2,1101,2
0110,0010 0100 0110,0010,1,0100,0
1000,0010 1000 1010,0010,1,1010,1
1000,0011 1000 1011,0011,0,1011,2
1000,0001 1000 1001,0001,0,1001,1
