line_points,p1,p2,p3,tomotope_counts,num_points_hit,total_tomotope_hits,missing_points
0101 1010 1111,0101,1010,1111,"1,1,3",3,5,
0101 1011 1110,0101,1011,1110,"1,2,2",3,5,
0010 1100 1110,0010,1100,1110,"1,1,2",3,4,
0111 1001 1110,0111,1001,1110,"1,1,2",3,4,
0111 1010 1101,0111,1010,1101,"1,1,2",3,4,
0011 1100 1111,0011,1100,1111,"0,1,3",2,4,0011
0110 1001 1111,0110,1001,1111,"0,1,3",2,4,0110
0110 1011 1101,0110,1011,1101,"0,2,2",2,4,0110
0001 1100 1101,0001,1100,1101,"0,1,2",2,3,0001
0010 1000 1010,0010,1000,1010,"1,0,1",2,2,1000
0011 1000 1011,0011,1000,1011,"0,0,2",1,2,0011 1000
0001 0100 0101,0001,0100,0101,"0,0,1",1,1,0001 0100
0001 1000 1001,0001,1000,1001,"0,0,1",1,1,0001 1000
0010 0100 0110,0010,0100,0110,"1,0,0",1,1,0100 0110
0011 0100 0111,0011,0100,0111,"0,0,1",1,1,0011 0100
