line_id,point_ids,cards
0,2 13 17 21,"['2♡', '3♠', '8♡', '9♡']"
1,2 4 8 12,"['1♡', '3♠', '6♠', '10♠']"
2,9 15 26 37,"['7♠', '7♡', '7♢', '7♣']"
3,10 14 29 35,"['3♢', '4♣', '8♠', '10♡']"
4,9 19 24 35,"['2♣', '3♢', '6♢', '7♠']"
5,12 18 23 37,"['5♡', '7♣', '8♢', '10♠']"
6,2 31 35 39,"['3♠', '3♡', '3♢', '3♣']"
7,8 20 24 34,"['6♠', '6♡', '6♢', '6♣']"
8,3 31 36 38,"['3♡', '4♠', '8♣', '10♣']"
9,10 20 26 32,"['6♡', '7♢', '8♠', '9♣']"
10,11 21 25 32,"['9♠', '9♡', '9♢', '9♣']"
11,3 13 18 20,"['2♡', '4♠', '5♡', '6♡']"
12,8 15 25 38,"['6♠', '7♡', '8♣', '9♢']"
13,2 22 26 30,"['3♠', '4♡', '5♢', '7♢']"
14,8 16 29 33,"['2♢', '4♣', '5♣', '6♠']"
15,10 17 23 38,"['8♠', '8♡', '8♢', '8♣']"
16,7 15 27 39,"['3♣', '4♢', '5♠', '7♡']"
17,0 4 5 6,"['1♠', '1♡', '1♢', '1♣']"
18,1 4 7 10,"['1♡', '2♠', '5♠', '8♠']"
19,12 14 28 36,"['10♠', '10♡', '10♢', '10♣']"
20,0 22 23 24,"['1♠', '4♡', '6♢', '8♢']"
21,5 16 26 36,"['1♢', '2♢', '7♢', '10♣']"
22,9 17 28 33,"['5♣', '7♠', '8♡', '10♢']"
23,3 22 27 29,"['4♠', '4♡', '4♢', '4♣']"
24,12 19 27 32,"['2♣', '4♢', '9♣', '10♠']"
25,5 18 25 35,"['1♢', '3♢', '5♡', '9♢']"
26,1 13 16 19,"['2♠', '2♡', '2♢', '2♣']"
27,3 4 9 11,"['1♡', '4♠', '7♠', '9♠']"
28,0 13 14 15,"['1♠', '2♡', '7♡', '10♡']"
29,11 16 23 39,"['2♢', '3♣', '8♢', '9♠']"
30,7 18 30 33,"['5♠', '5♡', '5♢', '5♣']"
31,0 31 32 33,"['1♠', '3♡', '5♣', '9♣']"
32,5 17 27 34,"['1♢', '4♢', '6♣', '8♡']"
33,11 14 30 34,"['5♢', '6♣', '9♠', '10♡']"
34,6 21 29 37,"['1♣', '4♣', '7♣', '9♡']"
35,6 19 30 38,"['1♣', '2♣', '5♢', '8♣']"
36,6 20 28 39,"['1♣', '3♣', '6♡', '10♢']"
37,7 21 24 36,"['5♠', '6♢', '9♡', '10♣']"
38,1 22 25 28,"['2♠', '4♡', '9♢', '10♢']"
39,1 31 34 37,"['2♠', '3♡', '6♣', '7♣']"
